aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A339,3fddefa6,1,1779739459,2026-05-26 04:04:19.000 PHT,14.498955,120.99955,0,9.3,0.0,216,0,0
A339,3fddefa6,1,1779739469,2026-05-26 04:04:29.000 PHT,14.498741,120.999596,0,5.6,0.0,185,1,0
A339,3fddefa6,1,1779739575,2026-05-26 04:06:15.000 PHT,14.49852,120.999786,0,5.6,0.0,154,1,0
A339,3fddefa6,1,1779739588,2026-05-26 04:06:28.000 PHT,14.49831,120.999916,0,7.4,0.0,149,1,0
A339,3fddefa6,1,1779739602,2026-05-26 04:06:42.000 PHT,14.498101,121.000046,0,7.4,0.0,149,1,0
A339,3fddefa6,1,1779739617,2026-05-26 04:06:57.000 PHT,14.497902,121.000259,0,9.3,0.0,135,1,0
A339,3fddefa6,1,1779739627,2026-05-26 04:07:07.000 PHT,14.497948,121.000481,0,9.3,0.0,98,1,0
A339,3fddefa6,1,1779739637,2026-05-26 04:07:17.000 PHT,14.498108,121.000687,0,11.1,0.0,67,1,0
A339,3fddefa6,1,1779739643,2026-05-26 04:07:23.000 PHT,14.498257,121.000893,0,22.2,0.0,59,1,0
A339,3fddefa6,1,1779739649,2026-05-26 04:07:29.000 PHT,14.498497,121.00132,0,48.2,0.0,59,1,0
A339,3fddefa6,1,1779739651,2026-05-26 04:07:31.000 PHT,14.498669,121.001617,0,64.8,0.0,59,1,0
A339,3fddefa6,1,1779739653,2026-05-26 04:07:33.000 PHT,14.498904,121.00206,0,81.5,0.0,59,1,0
A339,3fddefa6,1,1779739655,2026-05-26 04:07:35.000 PHT,14.499092,121.002365,0,98.2,0.0,59,1,0
A339,3fddefa6,1,1779739656,2026-05-26 04:07:36.000 PHT,14.499265,121.002693,0,107.4,0.0,59,1,0
A339,3fddefa6,1,1779739657,2026-05-26 04:07:37.000 PHT,14.499416,121.002945,0,114.8,0.0,59,1,0
A339,3fddefa6,1,1779739659,2026-05-26 04:07:39.000 PHT,14.499649,121.00338,0,129.6,0.0,61,1,0
A339,3fddefa6,1,1779739660,2026-05-26 04:07:40.000 PHT,14.499905,121.003838,0,137.0,0.0,61,1,0
A339,3fddefa6,1,1779739665,2026-05-26 04:07:45.000 PHT,14.500824,121.005493,0,174.1,0.0,61,1,0
A339,3fddefa6,1,1779739666,2026-05-26 04:07:46.000 PHT,14.50106,121.005905,0,177.8,0.0,61,1,0
A339,3fddefa6,1,1779739668,2026-05-26 04:07:48.000 PHT,14.501534,121.00679,53,187.1,0.3,60,2,0
A339,3fddefa6,1,1779739670,2026-05-26 04:07:50.000 PHT,14.502045,121.007729,53,207.4,0.3,60,2,0
A339,3fddefa6,1,1779739672,2026-05-26 04:07:52.000 PHT,14.502604,121.00872,53,220.4,0.3,60,2,0
A339,3fddefa6,1,1779739675,2026-05-26 04:07:55.000 PHT,14.503326,121.010002,53,237.1,0.3,60,2,0
A339,3fddefa6,1,1779739677,2026-05-26 04:07:57.000 PHT,14.503816,121.010841,53,244.5,0.3,60,2,0
A339,3fddefa6,1,1779739679,2026-05-26 04:07:59.000 PHT,14.504562,121.012222,53,261.1,0.3,60,2,0
A339,3fddefa6,1,1779739681,2026-05-26 04:08:01.000 PHT,14.505432,121.013786,53,272.2,1.3,60,2,0
A339,3fddefa6,1,1779739683,2026-05-26 04:08:03.000 PHT,14.505936,121.014641,46,281.5,1.6,60,2,0
A339,3fddefa6,1,1779739685,2026-05-26 04:08:05.000 PHT,14.506981,121.016571,53,288.9,4.2,59,2,0
A339,3fddefa6,1,1779739687,2026-05-26 04:08:07.000 PHT,14.507726,121.017876,76,292.6,9.4,59,2,0
A339,3fddefa6,1,1779739690,2026-05-26 04:08:10.000 PHT,14.508517,121.019226,99,288.9,11.1,58,2,0
A339,3fddefa6,1,1779739692,2026-05-26 04:08:12.000 PHT,14.50914,121.020226,114,288.9,11.1,58,2,0
A339,3fddefa6,1,1779739698,2026-05-26 04:08:18.000 PHT,14.511612,121.02449,191,283.4,9.8,59,2,0
A339,3fddefa6,1,1779739706,2026-05-26 04:08:26.000 PHT,14.514476,121.029579,267,285.2,10.7,59,2,0
A339,3fddefa6,1,1779739714,2026-05-26 04:08:34.000 PHT,14.517594,121.034882,358,285.2,12.4,58,2,0
A339,3fddefa6,1,1779739723,2026-05-26 04:08:43.000 PHT,14.520806,121.04023,457,285.2,10.1,58,3,0
A339,3fddefa6,1,1779739731,2026-05-26 04:08:51.000 PHT,14.523926,121.045425,533,288.9,10.1,58,3,0
A339,3fddefa6,1,1779739740,2026-05-26 04:09:00.000 PHT,14.527267,121.050865,625,288.9,10.7,58,3,0
A339,3fddefa6,1,1779739749,2026-05-26 04:09:09.000 PHT,14.530723,121.056618,716,294.5,9.1,58,3,0
A339,3fddefa6,1,1779739755,2026-05-26 04:09:15.000 PHT,14.533143,121.060616,777,296.3,9.4,58,3,0
A339,3fddefa6,1,1779739764,2026-05-26 04:09:24.000 PHT,14.536697,121.066589,861,303.7,9.4,58,3,0
A339,3fddefa6,1,1779739770,2026-05-26 04:09:30.000 PHT,14.539078,121.070663,922,307.4,10.1,59,3,0
A339,3fddefa6,1,1779739779,2026-05-26 04:09:39.000 PHT,14.542465,121.07653,1006,311.1,7.5,59,3,0
A339,3fddefa6,1,1779739785,2026-05-26 04:09:45.000 PHT,14.545074,121.081268,1052,326.0,5.9,60,3,0
A339,3fddefa6,1,1779739792,2026-05-26 04:09:52.000 PHT,14.547947,121.086487,1090,340.8,4.6,60,3,0
A339,3fddefa6,1,1779739800,2026-05-26 04:10:00.000 PHT,14.551666,121.0933,1135,363.0,5.2,61,3,0
