aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A339,3ecf631a,1,1773917488,2026-03-19 18:51:28.000 PHT,14.498108,121.000671,0,13.0,0.0,73,0,0
A339,3ecf631a,1,1773917511,2026-03-19 18:51:51.000 PHT,14.498245,121.000885,0,7.4,0.0,61,1,0
A339,3ecf631a,1,1773917514,2026-03-19 18:51:54.000 PHT,14.498345,121.001091,0,31.5,0.0,61,1,0
A339,3ecf631a,1,1773917517,2026-03-19 18:51:57.000 PHT,14.498508,121.001373,0,57.4,0.0,61,1,0
A339,3ecf631a,1,1773917519,2026-03-19 18:51:59.000 PHT,14.498694,121.001709,0,74.1,0.0,59,1,0
A339,3ecf631a,1,1773917520,2026-03-19 18:52:00.000 PHT,14.49884,121.001953,0,83.3,0.0,59,1,0
A339,3ecf631a,1,1773917522,2026-03-19 18:52:02.000 PHT,14.499012,121.002266,0,98.2,0.0,59,1,0
A339,3ecf631a,1,1773917523,2026-03-19 18:52:03.000 PHT,14.499195,121.002602,0,107.4,0.0,61,1,0
A339,3ecf631a,1,1773917525,2026-03-19 18:52:05.000 PHT,14.499413,121.002991,0,114.8,0.0,61,1,0
A339,3ecf631a,1,1773917532,2026-03-19 18:52:12.000 PHT,14.500731,121.005356,0,170.4,0.0,59,1,0
A339,3ecf631a,1,1773917533,2026-03-19 18:52:13.000 PHT,14.500871,121.0056,0,170.4,0.0,59,1,0
A339,3ecf631a,1,1773917535,2026-03-19 18:52:15.000 PHT,14.501394,121.006554,30,194.5,0.3,60,2,0
A339,3ecf631a,1,1773917538,2026-03-19 18:52:18.000 PHT,14.502045,121.007729,30,207.4,0.3,60,2,0
A339,3ecf631a,1,1773917540,2026-03-19 18:52:20.000 PHT,14.50264,121.008766,30,220.4,0.3,60,2,0
A339,3ecf631a,1,1773917542,2026-03-19 18:52:22.000 PHT,14.503326,121.010048,30,233.4,0.3,60,2,0
A339,3ecf631a,1,1773917544,2026-03-19 18:52:24.000 PHT,14.503967,121.011139,30,250.0,0.7,60,2,0
A339,3ecf631a,1,1773917546,2026-03-19 18:52:26.000 PHT,14.504562,121.012222,30,261.1,0.7,60,2,0
A339,3ecf631a,1,1773917549,2026-03-19 18:52:29.000 PHT,14.505569,121.014076,23,272.2,1.3,60,2,0
A339,3ecf631a,1,1773917551,2026-03-19 18:52:31.000 PHT,14.506236,121.015274,15,285.2,2.6,60,2,0
A339,3ecf631a,1,1773917557,2026-03-19 18:52:37.000 PHT,14.508453,121.019188,76,288.9,10.7,59,2,0
A339,3ecf631a,1,1773917559,2026-03-19 18:52:39.000 PHT,14.509355,121.020767,107,287.1,10.7,58,2,0
A339,3ecf631a,1,1773917568,2026-03-19 18:52:48.000 PHT,14.512573,121.026009,198,281.5,10.4,57,2,0
A339,3ecf631a,1,1773917574,2026-03-19 18:52:54.000 PHT,14.514999,121.029747,267,283.4,11.4,55,2,0
A339,3ecf631a,1,1773917576,2026-03-19 18:52:56.000 PHT,14.515825,121.031029,290,283.4,11.4,55,2,0
A339,3ecf631a,1,1773917578,2026-03-19 18:52:58.000 PHT,14.516693,121.032349,312,283.4,11.4,55,2,0
A339,3ecf631a,1,1773917580,2026-03-19 18:53:00.000 PHT,14.517688,121.033821,343,283.4,11.1,55,2,0
A339,3ecf631a,1,1773917582,2026-03-19 18:53:02.000 PHT,14.518479,121.035126,366,283.4,10.7,56,2,0
A339,3ecf631a,1,1773917585,2026-03-19 18:53:05.000 PHT,14.519363,121.036476,389,283.4,10.1,56,2,0
A339,3ecf631a,1,1773917591,2026-03-19 18:53:11.000 PHT,14.521877,121.040375,450,288.9,9.1,57,3,0
A339,3ecf631a,1,1773917593,2026-03-19 18:53:13.000 PHT,14.522669,121.041626,465,288.9,9.4,57,3,0
A339,3ecf631a,1,1773917602,2026-03-19 18:53:22.000 PHT,14.526031,121.047127,556,288.9,10.7,58,3,0
A339,3ecf631a,1,1773917610,2026-03-19 18:53:30.000 PHT,14.529099,121.052238,640,288.9,10.1,58,3,0
A339,3ecf631a,1,1773917619,2026-03-19 18:53:39.000 PHT,14.532486,121.058067,732,290.8,9.4,59,3,0
A339,3ecf631a,1,1773917627,2026-03-19 18:53:47.000 PHT,14.535471,121.063171,808,294.5,10.7,59,3,0
A339,3ecf631a,1,1773917635,2026-03-19 18:53:55.000 PHT,14.538757,121.068863,899,290.8,10.4,59,3,0
A339,3ecf631a,1,1773917642,2026-03-19 18:54:02.000 PHT,14.541244,121.073189,968,294.5,8.1,59,3,0
A339,3ecf631a,1,1773917651,2026-03-19 18:54:11.000 PHT,14.544342,121.078804,1013,314.8,4.6,60,3,0
A339,3ecf631a,1,1773917660,2026-03-19 18:54:20.000 PHT,14.547947,121.08567,1059,338.9,3.9,66,3,1
A339,3ecf631a,1,1773917662,2026-03-19 18:54:22.000 PHT,14.548692,121.087646,1067,342.6,3.6,70,3,1
A339,3ecf631a,1,1773917664,2026-03-19 18:54:24.000 PHT,14.549204,121.089478,1074,350.0,3.6,75,3,1
A339,3ecf631a,1,1773917667,2026-03-19 18:54:27.000 PHT,14.549652,121.091736,1082,353.7,4.2,80,3,1
A339,3ecf631a,1,1773917669,2026-03-19 18:54:29.000 PHT,14.549835,121.093674,1090,359.3,4.2,84,3,1
A339,3ecf631a,1,1773917671,2026-03-19 18:54:31.000 PHT,14.549835,121.095474,1097,368.5,4.9,90,3,1
A339,3ecf631a,1,1773917673,2026-03-19 18:54:33.000 PHT,14.549716,121.097862,1113,374.1,4.2,93,3,1
A339,3ecf631a,1,1773917675,2026-03-19 18:54:35.000 PHT,14.549576,121.099693,1120,379.7,3.6,96,3,1
A339,3ecf631a,1,1773917677,2026-03-19 18:54:37.000 PHT,14.549251,121.101768,1128,385.2,3.6,99,3,1
A339,3ecf631a,1,1773917680,2026-03-19 18:54:40.000 PHT,14.548782,121.104141,1135,396.3,4.6,104,3,1
A339,3ecf631a,1,1773917682,2026-03-19 18:54:42.000 PHT,14.548233,121.106133,1143,400.0,4.9,107,3,1
A339,3ecf631a,1,1773917684,2026-03-19 18:54:44.000 PHT,14.547363,121.108688,1158,407.4,4.9,110,3,1
A339,3ecf631a,1,1773917686,2026-03-19 18:54:46.000 PHT,14.546768,121.110153,1166,413.0,4.9,114,3,1
A339,3ecf631a,1,1773917688,2026-03-19 18:54:48.000 PHT,14.545666,121.112411,1173,418.6,4.9,118,3,1
A339,3ecf631a,1,1773917691,2026-03-19 18:54:51.000 PHT,14.544315,121.114777,1189,426.0,5.2,122,3,1
A339,3ecf631a,1,1773917693,2026-03-19 18:54:53.000 PHT,14.542969,121.116737,1196,429.7,5.5,124,3,1
A339,3ecf631a,1,1773917695,2026-03-19 18:54:55.000 PHT,14.541336,121.118919,1212,437.1,5.9,126,3,1
A339,3ecf631a,1,1773917697,2026-03-19 18:54:57.000 PHT,14.539707,121.121086,1227,446.3,5.2,128,3,1
A339,3ecf631a,1,1773917699,2026-03-19 18:54:59.000 PHT,14.538264,121.122871,1234,451.9,4.9,129,3,1
A339,3ecf631a,1,1773917702,2026-03-19 18:55:02.000 PHT,14.536697,121.124741,1250,457.4,4.9,130,3,1
A339,3ecf631a,1,1773917704,2026-03-19 18:55:04.000 PHT,14.535051,121.126625,1257,464.9,5.5,132,3,1
A339,3ecf631a,1,1773917706,2026-03-19 18:55:06.000 PHT,14.533237,121.128601,1273,472.3,5.9,133,3,1
A339,3ecf631a,1,1773917708,2026-03-19 18:55:08.000 PHT,14.531188,121.130775,1280,477.8,6.5,134,3,1
A339,3ecf631a,1,1773917711,2026-03-19 18:55:11.000 PHT,14.529007,121.133026,1303,481.5,8.1,135,3,1
A339,3ecf631a,1,1773917713,2026-03-19 18:55:13.000 PHT,14.527084,121.134926,1318,487.1,9.1,135,3,1
A339,3ecf631a,1,1773917715,2026-03-19 18:55:15.000 PHT,14.525208,121.136772,1341,488.9,9.4,136,3,0
A339,3ecf631a,1,1773917717,2026-03-19 18:55:17.000 PHT,14.523367,121.13858,1356,492.6,10.4,136,3,0
A339,3ecf631a,1,1773917719,2026-03-19 18:55:19.000 PHT,14.521924,121.139977,1379,494.5,11.4,136,3,0
A339,3ecf631a,1,1773917721,2026-03-19 18:55:21.000 PHT,14.519623,121.142212,1402,496.3,12.0,136,3,0
A339,3ecf631a,1,1773917724,2026-03-19 18:55:24.000 PHT,14.517781,121.14402,1433,498.2,12.7,136,3,0
A339,3ecf631a,1,1773917726,2026-03-19 18:55:26.000 PHT,14.516006,121.145767,1455,500.0,13.0,136,3,0
A339,3ecf631a,1,1773917728,2026-03-19 18:55:28.000 PHT,14.513731,121.147926,1486,500.0,14.0,136,3,0
A339,3ecf631a,1,1773917730,2026-03-19 18:55:30.000 PHT,14.512101,121.149567,1509,500.0,14.6,136,3,0
A339,3ecf631a,1,1773917739,2026-03-19 18:55:39.000 PHT,14.503922,121.157654,1638,501.9,13.7,135,3,0
A339,3ecf631a,1,1773917752,2026-03-19 18:55:52.000 PHT,14.492177,121.169563,1806,509.3,13.0,135,3,0
A339,3ecf631a,1,1773917764,2026-03-19 18:56:04.000 PHT,14.480713,121.181236,1974,514.9,13.0,135,3,0
A339,3ecf631a,1,1773917777,2026-03-19 18:56:17.000 PHT,14.469223,121.193077,2141,518.6,13.0,134,3,0
A339,3ecf631a,1,1773917790,2026-03-19 18:56:30.000 PHT,14.457124,121.205559,2309,526.0,12.0,135,3,0
A339,3ecf631a,1,1773917803,2026-03-19 18:56:43.000 PHT,14.444687,121.218315,2461,537.1,11.4,134,3,0
A339,3ecf631a,1,1773917818,2026-03-19 18:56:58.000 PHT,14.430681,121.232689,2637,542.6,14.0,134,3,0
A339,3ecf631a,1,1773917830,2026-03-19 18:57:10.000 PHT,14.418299,121.245644,2835,538.9,16.3,134,3,0
A339,3ecf631a,1,1773917843,2026-03-19 18:57:23.000 PHT,14.406335,121.258034,3018,535.2,15.0,135,3,0
A339,3ecf631a,1,1773917857,2026-03-19 18:57:37.000 PHT,14.393829,121.270782,3200,535.2,10.7,135,3,0
A339,3ecf631a,1,1773917869,2026-03-19 18:57:49.000 PHT,14.38115,121.283813,3338,544.5,10.1,134,3,0
