latitude,longitude,altitude_feet,altitude_meters,speed_kmh,speed_kts,speed_mph,verticalSpeed_fpm,verticalSpeed_ms,heading,squawk,timestamp
14.515766,121.013588,0,0,9.3,5,5.8,0,0,135,0,1778166765
14.515549,121.013802,0,0,11.1,6,6.9,0,0,135,0,1778166777
14.515331,121.014038,0,0,13,7,8.1,0,0,135,0,1778166787
14.515104,121.014275,0,0,13,7,8.1,0,0,135,0,1778166797
14.514894,121.014488,0,0,14.8,8,9.2,0,0,135,0,1778166805
14.514686,121.014694,0,0,16.7,9,10.4,0,0,135,4213,1778166812
14.514464,121.014931,0,0,18.5,10,11.5,0,0,135,4213,1778166819
14.514233,121.015175,0,0,18.5,10,11.5,0,0,135,4213,1778166826
14.514033,121.015381,0,0,18.5,10,11.5,0,0,135,4213,1778166833
14.513778,121.015648,0,0,18.5,10,11.5,0,0,135,4213,1778166840
14.513556,121.015877,0,0,18.5,10,11.5,0,0,135,4213,1778166847
14.513306,121.016136,0,0,18.5,10,11.5,0,0,135,4213,1778166854
14.513042,121.016403,0,0,18.5,10,11.5,0,0,135,4213,1778166862
14.51273,121.016731,0,0,16.7,9,10.4,0,0,135,4213,1778166872
14.512505,121.01696,0,0,14.8,8,9.2,0,0,135,4213,1778166879
14.512299,121.017174,0,0,13,7,8.1,0,0,135,4213,1778166888
14.512009,121.017479,0,0,11.1,6,6.9,0,0,135,4213,1778166902
14.511799,121.017677,0,0,11.1,6,6.9,0,0,135,4213,1778166913
14.511463,121.018036,0,0,13,7,8.1,0,0,135,4213,1778166929
14.511269,121.018242,0,0,14.8,8,9.2,0,0,135,4213,1778166937
14.511043,121.018478,0,0,14.8,8,9.2,0,0,135,4213,1778166945
14.510777,121.018745,0,0,14.8,8,9.2,0,0,135,4213,1778166956
14.510582,121.018951,0,0,14.8,8,9.2,0,0,135,4213,1778166963
14.510332,121.019196,0,0,0,0,0,0,0,135,4213,1778166972
14.510078,121.019211,0,0,13,7,8.1,0,0,174,4213,1778166980
14.509844,121.018921,0,0,13,7,8.1,0,0,230,4213,1778166991
14.509701,121.018669,0,0,14.8,8,9.2,0,0,239,4213,1778166999
14.509576,121.018417,0,0,16.7,9,10.4,0,0,239,4213,1778167006
14.509403,121.01812,0,0,18.5,10,11.5,0,0,239,4213,1778167013
14.509254,121.017838,0,0,18.5,10,11.5,0,0,239,4213,1778167020
14.509071,121.017532,0,0,20.4,11,12.7,0,0,239,4213,1778167027
14.508888,121.017197,0,0,22.2,12,13.8,0,0,239,4213,1778167034
14.50868,121.016823,0,0,22.2,12,13.8,0,0,239,4213,1778167041
14.508506,121.01651,0,0,24.1,13,15,0,0,239,4213,1778167048
14.508247,121.016052,0,0,25.9,14,16.1,0,0,239,4213,1778167056
14.508053,121.015686,0,0,25.9,14,16.1,0,0,239,4213,1778167062
14.507812,121.015266,0,0,24.1,13,15,0,0,239,4213,1778167069
14.507632,121.014931,0,0,22.2,12,13.8,0,0,239,4213,1778167076
14.507435,121.014587,0,0,20.4,11,12.7,0,0,239,4213,1778167083
14.507263,121.014259,0,0,22.2,12,13.8,0,0,239,4213,1778167090
14.507062,121.013901,0,0,22.2,12,13.8,0,0,239,4213,1778167097
14.506865,121.01355,0,0,24.1,13,15,0,0,239,4213,1778167104
14.506632,121.01313,0,0,27.8,15,17.3,0,0,239,4213,1778167113
14.506306,121.012535,0,0,25.9,14,16.1,0,0,239,4213,1778167121
14.506062,121.0121,0,0,25.9,14,16.1,0,0,239,4213,1778167128
14.505829,121.011681,0,0,25.9,14,16.1,0,0,239,4213,1778167135
14.505538,121.011177,0,0,27.8,15,17.3,0,0,239,4213,1778167143
14.505281,121.010719,0,0,31.5,17,19.6,0,0,239,4213,1778167150
14.504986,121.010162,0,0,31.5,17,19.6,0,0,239,4213,1778167158
14.504654,121.009583,0,0,31.5,17,19.6,0,0,239,4213,1778167165
14.504379,121.009087,0,0,31.5,17,19.6,0,0,239,4213,1778167172
14.504083,121.008553,0,0,31.5,17,19.6,0,0,239,4213,1778167179
14.503839,121.008102,0,0,29.6,16,18.4,0,0,239,4213,1778167186
14.503567,121.007622,0,0,27.8,15,17.3,0,0,239,4213,1778167193
14.503304,121.007149,0,0,29.6,16,18.4,0,0,239,4213,1778167201
14.502989,121.006584,0,0,31.5,17,19.6,0,0,239,4213,1778167208
14.502698,121.006058,0,0,33.3,18,20.7,0,0,239,4213,1778167215
14.502411,121.005539,0,0,31.5,17,19.6,0,0,239,4213,1778167222
14.502116,121.005005,0,0,25.9,14,16.1,0,0,239,4213,1778167230
14.501896,121.004623,0,0,22.2,12,13.8,0,0,239,4213,1778167237
14.501685,121.00425,0,0,18.5,10,11.5,0,0,239,4213,1778167245
14.501541,121.003975,0,0,16.7,9,10.4,0,0,239,4213,1778167252
14.501371,121.00367,0,0,18.5,10,11.5,0,0,239,4213,1778167259
14.501208,121.003372,0,0,22.2,12,13.8,0,0,239,4213,1778167266
14.500969,121.002953,0,0,24.1,13,15,0,0,239,4213,1778167274
