latitude,longitude,altitude_feet,altitude_meters,speed_kmh,speed_kts,speed_mph,verticalSpeed_fpm,verticalSpeed_ms,heading,squawk,timestamp
14.523479,121.004196,0,0,1.9,1,1.2,0,0,135,0,1778445476
14.523205,121.004486,0,0,50,27,31.1,0,0,135,0,1778445513
14.522026,121.005699,0,0,114.8,62,71.3,0,0,135,0,1778445521
14.519922,121.007896,175,53,175.9,95,109.3,64,0.3,134,0,1778445528
14.517408,121.010498,175,53,235.2,127,146.1,64,0.3,134,0,1778445535
14.514175,121.013786,150,46,270.4,146,168,448,2.3,134,0,1778445542
14.50996,121.018112,475,145,275.9,149,171.5,3008,15.3,135,0,1778445550
14.506851,121.021271,775,236,272.2,147,169.2,2880,14.6,136,0,1778445557
14.502411,121.025391,1200,366,264.8,143,164.6,2880,14.6,138,0,1778445566
14.501627,121.026062,1275,389,261.1,141,162.3,2560,13,139,0,1778445568
14.50058,121.027,1350,411,257.4,139,160,2176,11.1,139,0,1778445570
14.499346,121.028038,1450,442,259.3,140,161.1,1792,9.1,140,0,1778445572
14.498276,121.028954,1500,457,257.4,139,160,1408,7.2,140,0,1778445574
14.497559,121.029556,1550,472,261.1,141,162.3,1152,5.9,140,0,1778445576
14.496321,121.030594,1575,480,263,142,163.4,1024,5.2,140,0,1778445578
14.49511,121.031609,1625,495,266.7,144,165.7,1024,5.2,140,0,1778445580
14.493805,121.032684,1675,511,270.4,146,168,896,4.6,141,0,1778445582
14.492706,121.03363,1700,518,272.2,147,169.2,704,3.6,141,0,1778445585
14.491572,121.034546,1725,526,277.8,150,172.6,704,3.6,140,0,1778445587
14.490509,121.035431,1750,533,281.5,152,174.9,640,3.3,140,0,1778445589
14.489198,121.036522,1800,549,285.2,154,177.2,640,3.3,141,0,1778445591
14.488081,121.037437,1800,549,290.8,157,180.7,320,1.6,141,0,1778445593
14.486963,121.038399,1825,556,298.2,161,185.3,256,1.3,140,0,1778445595
14.48566,121.039459,1825,556,307.4,166,191,320,1.6,140,4264,1778445598
14.484123,121.040764,1850,564,313,169,194.5,512,2.6,140,4264,1778445600
14.48012,121.044136,1925,587,329.7,178,204.8,768,3.9,140,4264,1778445606
14.474762,121.048645,2075,632,344.5,186,214,1728,8.8,140,4264,1778445614
14.470367,121.052383,2300,701,344.5,186,214,2112,10.7,140,4264,1778445621
14.464371,121.057358,2625,800,342.6,185,212.9,2432,12.4,141,4264,1778445630
14.458603,121.062088,2950,899,337.1,182,209.4,2304,11.7,141,4264,1778445638
14.45419,121.065674,3200,975,337.1,182,209.4,2048,10.4,140,4264,1778445645
14.449023,121.070107,3400,1036,342.6,185,212.9,1088,5.5,138,4264,1778445653
14.44772,121.071312,3450,1052,346.3,187,215.2,896,4.6,137,4264,1778445655
14.446137,121.072853,3475,1059,351.9,190,218.6,704,3.6,135,4264,1778445657
14.44488,121.074158,3500,1067,355.6,192,220.9,640,3.3,133,4264,1778445659
14.443344,121.075844,3525,1074,359.3,194,223.3,640,3.3,132,4264,1778445662
14.442134,121.077332,3550,1082,363,196,225.6,704,3.6,130,4264,1778445664
14.44075,121.079094,3600,1097,368.5,199,229,768,3.9,129,4264,1778445666
