latitude,longitude,altitude_feet,altitude_meters,speed_kmh,speed_kts,speed_mph,verticalSpeed_fpm,verticalSpeed_ms,heading,squawk,timestamp
14.532579,120.994919,1275,389,0,0,0,3520,17.9,282,0,1778531817
14.535431,120.991722,1600,488,74.1,40,46,3456,17.6,316,0,1778531823
14.536267,120.990974,1725,526,296.3,160,184.1,3456,17.6,314,0,1778531825
14.537564,120.989532,1825,556,296.3,160,184.1,3456,17.6,313,0,1778531827
14.538727,120.988304,1925,587,288.9,156,179.5,2816,14.3,313,0,1778531830
14.540116,120.9869,2025,617,285.2,154,177.2,2432,12.4,314,0,1778531832
14.540962,120.986038,2125,648,285.2,154,177.2,2432,12.4,314,0,1778531834
14.542314,120.984642,2200,671,285.2,154,177.2,2432,12.4,314,0,1778531837
14.543555,120.983482,2225,678,285.2,154,177.2,2432,12.4,316,0,1778531839
14.544509,120.982529,2275,693,292.6,158,181.8,1216,6.2,316,0,1778531841
14.545486,120.981445,2325,709,292.6,158,181.8,1216,6.2,314,0,1778531843
14.546572,120.980278,2350,716,300,162,186.4,1088,5.5,313,0,1778531845
14.547898,120.978851,2400,732,300,162,186.4,1088,5.5,313,0,1778531848
14.54939,120.977455,2450,747,307.4,166,191,1088,5.5,315,0,1778531851
14.550865,120.975922,2500,762,314.8,170,195.6,1088,5.5,315,0,1778531853
14.552141,120.974594,2525,770,314.8,170,195.6,1088,5.5,315,0,1778531855
14.553229,120.973511,2525,770,329.7,178,204.8,512,2.6,315,0,1778531857
14.55459,120.972084,2550,777,329.7,178,204.8,512,2.6,314,0,1778531859
14.556451,120.970238,2575,785,340.8,184,211.7,512,2.6,315,0,1778531861
14.55736,120.969292,2625,800,340.8,184,211.7,512,2.6,315,0,1778531863
14.558617,120.967934,2650,808,351.9,190,218.6,512,2.6,314,0,1778531866
14.560108,120.966377,2675,815,351.9,190,218.6,512,2.6,314,0,1778531868
14.561691,120.964836,2700,823,359.3,194,223.3,512,2.6,315,0,1778531871
14.56325,120.963249,2750,838,370.4,200,230.2,512,2.6,315,0,1778531873
14.564906,120.961594,2775,846,370.4,200,230.2,512,2.6,315,0,1778531875
14.56641,120.960007,2825,861,381.5,206,237.1,512,2.6,314,0,1778531878
14.56845,120.957924,2875,876,392.6,212,244,512,2.6,315,0,1778531881
14.570211,120.956223,2900,884,392.6,212,244,512,2.6,316,0,1778531883
14.571794,120.954704,2900,884,407.4,220,253.2,320,1.6,316,0,1778531886
14.573945,120.952568,2925,892,407.4,220,253.2,640,3.3,316,0,1778531888
14.575916,120.950554,2950,899,422.3,228,262.4,640,3.3,315,0,1778531890
14.577662,120.948807,3000,914,437.1,236,271.6,1280,6.5,315,0,1778531893
14.579469,120.947006,3050,930,437.1,236,271.6,1280,6.5,315,0,1778531895
14.581338,120.945198,3100,945,448.2,242,278.5,1344,6.8,316,0,1778531897
14.583959,120.942703,3150,960,459.3,248,285.4,1408,7.2,316,0,1778531901
14.585783,120.940804,3225,983,459.3,248,285.4,1408,7.2,315,0,1778531903
14.587605,120.938957,3275,998,470.4,254,292.3,1536,7.8,315,0,1778531906
14.589967,120.936592,3325,1013,470.4,254,292.3,1536,7.8,315,0,1778531908
14.596502,120.930107,3550,1082,485.2,262,301.5,1984,10.1,316,0,1778531916
14.603013,120.923523,3875,1181,496.3,268,308.4,2496,12.7,315,0,1778531923
14.60977,120.916824,4200,1280,500,270,310.7,2752,14,316,0,1778531930
14.615177,120.910904,4500,1372,507.4,274,315.3,2304,11.7,312,0,1778531936
14.616969,120.908371,4600,1402,507.4,274,315.3,2304,11.7,309,0,1778531939
14.618894,120.905403,4650,1417,511.2,276,317.6,1984,10.1,305,0,1778531941
14.62037,120.902779,4775,1455,511.2,276,317.6,1984,10.1,303,0,1778531944
14.621653,120.899933,4825,1471,511.2,276,317.6,1984,10.1,299,0,1778531946
14.622796,120.896568,4900,1494,511.2,276,317.6,1408,7.2,293,0,1778531949
14.623689,120.89312,4975,1516,511.2,276,317.6,1408,7.2,289,0,1778531952
