aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A21N,3f9bbfbc,3,1778304978,2026-05-09 13:36:18.000 PHT,0,0,0.0,0.0,14.52388,121.003784,0,14.8,0.0,135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A21N,3f9bbfbc,3,1778304987,2026-05-09 13:36:27.000 PHT,1,9,9.0,0.0027829313543599257,14.52367,121.004005,0,11.1,0.0,135,1,23.788814063826507,-23.350966849419585,0.0,-3.700000000000001,0.0,0.0,-0.4111111111111112,33.33429656322745,6.37754061950631e-05
A21N,3f9bbfbc,3,1778305185,2026-05-09 13:39:45.000 PHT,2,207,198.0,0.0640074211502783,14.523367,121.004311,0,33.3,0.0,135,1,56.72721085377363,-57.04307616006818,0.0,22.199999999999996,0.0,0.0,0.1121212121212121,47.117896489008885,0.00015392169087648003
A21N,3f9bbfbc,3,1778305192,2026-05-09 13:39:52.000 PHT,3,214,7.0,0.06617192331478046,14.522145,121.005585,0,109.3,0.0,135,1,193.86335670408235,-192.92346420550427,0.0,76.0,0.0,0.0,10.857142857142858,193.05388623506224,0.0005232737181143553
A21N,3f9bbfbc,3,1778305200,2026-05-09 13:40:00.000 PHT,4,222,8.0,0.0686456400742115,14.519806,121.008011,61,190.8,0.7,135,2,455.0054089719091,-453.00875687131304,61.0,81.50000000000001,0.0,0.0,10.187500000000002,368.5641469801552,0.0012284131872497596
A21N,3f9bbfbc,3,1778305207,2026-05-09 13:40:07.000 PHT,5,229,7.0,0.07081014223871367,14.517105,121.010803,61,253.7,1.0,135,2,755.5482525024518,-753.346668582379,0.0,62.89999999999998,0.0,0.0,8.985714285714282,424.88687386056984,0.002041309686085756
A21N,3f9bbfbc,3,1778305215,2026-05-09 13:40:15.000 PHT,6,237,8.0,0.07328385899814471,14.512521,121.015564,107,292.6,12.7,135,2,1268.0510929732898,-1263.0649163728017,46.0,38.900000000000034,0.0,0.0,4.862500000000004,722.8221579490863,0.0034242180262259864
A21N,3f9bbfbc,3,1778305222,2026-05-09 13:40:22.000 PHT,7,244,7.0,0.07544836116264687,14.509323,121.018852,191,294.5,16.6,135,2,1621.9976185074213,-1618.6667829595306,84.0,1.8999999999999773,0.0,0.0,0.2714285714285682,501.7277877901925,0.004384127091802857
A21N,3f9bbfbc,3,1778305231,2026-05-09 13:40:31.000 PHT,8,253,9.0,0.0782312925170068,14.504654,121.023453,328,298.2,16.9,136,2,2117.2954410673833,-2137.8366125700404,137.0,3.6999999999999886,1.0,0.1111111111111111,0.4111111111111099,717.5349652203691,0.005756919938332296
A21N,3f9bbfbc,3,1778305233,2026-05-09 13:40:33.000 PHT,9,255,2.0,0.07884972170686456,14.503281,121.024773,373,300.0,16.6,136,2,2259.395589794843,-2290.5074577306414,45.0,1.8000000000000114,0.0,0.0,0.9000000000000057,208.568276967442,0.006155954204970355
