aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A320,3f9b6726,3,1778296774,2026-05-09 11:19:34.000 PHT,0,0,0.0,0.0,14.497972,121.000313,0,11.1,0.0,109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A320,3f9b6726,3,1778296783,2026-05-09 11:19:43.000 PHT,1,9,9.0,0.0028938906752411574,14.498085,121.000542,0,9.3,0.0,64,1,24.65281465506009,12.565044066205099,0.0,-1.799999999999999,-45.0,-5.0,-0.19999999999999987,27.67022954010563,5.2061595864651445e-05
A320,3f9b6726,3,1778296861,2026-05-09 11:21:01.000 PHT,2,87,78.0,0.02797427652733119,14.498234,121.000793,0,25.9,0.0,61,1,51.67400461425738,29.13311102108422,0.0,16.599999999999998,-3.0,-0.038461538461538464,0.21282051282051279,31.696145270730415,0.00011169796075856374
A320,3f9b6726,3,1778296868,2026-05-09 11:21:08.000 PHT,3,94,7.0,0.03022508038585209,14.498857,121.001938,0,90.7,0.0,59,1,174.93779051398096,98.40764600639889,0.0,64.80000000000001,-2.0,-0.2857142857142857,9.257142857142858,141.39632970622048,0.00037773545651698017
A320,3f9b6726,3,1778296873,2026-05-09 11:21:13.000 PHT,4,99,5.0,0.031832797427652736,14.49955,121.003181,0,133.3,0.0,59,1,308.7512606602948,175.46583660842253,0.0,42.60000000000001,0.0,0.0,8.520000000000001,154.4150615199695,0.0006682677239351439
A320,3f9b6726,3,1778296874,2026-05-09 11:21:14.000 PHT,5,100,1.0,0.03215434083601286,14.499836,121.0037,0,148.2,0.0,59,1,364.6233768939934,207.26762955540732,0.0,14.899999999999977,0.0,0.0,14.899999999999977,64.28878160872756,0.000789227203577091
A320,3f9b6726,3,1778296877,2026-05-09 11:21:17.000 PHT,6,103,3.0,0.033118971061093246,14.500219,121.004372,0,166.7,0.0,59,1,436.96634414597975,249.8553452845456,0.0,18.5,0.0,0.0,6.166666666666667,83.9477218768551,0.0009471750212407064
A320,3f9b6726,3,1778296878,2026-05-09 11:21:18.000 PHT,7,104,1.0,0.033440514469453377,14.500763,121.005356,0,181.5,0.0,59,1,542.8969125931258,310.3454689316901,0.0,14.800000000000011,0.0,0.0,14.800000000000011,121.98500003263776,0.0011766900588389248
A320,3f9b6726,3,1778296881,2026-05-09 11:21:21.000 PHT,8,107,3.0,0.03440514469453376,14.501452,121.006584,0,203.7,0.0,59,1,675.0944368647275,386.95887921278927,0.0,22.19999999999999,0.0,0.0,7.399999999999996,152.79333454765256,0.0014641710435016205
A320,3f9b6726,3,1778296884,2026-05-09 11:21:24.000 PHT,9,110,3.0,0.03536977491961415,14.502163,121.007874,0,213.0,0.0,59,1,813.9660096534585,466.0185812584426,0.0,9.300000000000011,0.0,0.0,3.1000000000000036,159.79908677831727,0.0017648333659205533
A320,3f9b6726,3,1778296886,2026-05-09 11:21:26.000 PHT,10,112,2.0,0.0360128617363344,14.502768,121.00898,0,231.5,0.0,61,1,933.0291989272273,533.291604799774,0.0,18.5,2.0,1.0,9.25,136.75415604122344,0.002022136602032503
A320,3f9b6726,3,1778296888,2026-05-09 11:21:28.000 PHT,11,114,2.0,0.036655948553054665,14.50351,121.010307,0,250.0,0.0,59,1,1075.8830273917017,615.7983543332109,0.0,18.5,-2.0,-1.0,9.25,164.96843518869122,0.0023325250645051137
A320,3f9b6726,3,1778296890,2026-05-09 11:21:30.000 PHT,12,116,2.0,0.03729903536977492,14.504162,121.011482,0,259.3,0.0,59,1,1202.3734090230353,688.2975466456702,0.0,9.300000000000011,0.0,0.0,4.650000000000006,145.79420440670944,0.0026068371708874998
A320,3f9b6726,3,1778296893,2026-05-09 11:21:33.000 PHT,13,119,3.0,0.038263665594855306,14.504986,121.012947,0,268.5,0.0,59,1,1360.0821378264916,779.9222927578822,0.0,9.199999999999989,0.0,0.0,3.066666666666663,182.3928383936514,0.0029500096851340406
A320,3f9b6726,3,1778296896,2026-05-09 11:21:36.000 PHT,14,122,3.0,0.03922829581993569,14.506302,121.015312,0,296.3,0.0,59,1,1614.6755888194878,926.2550183452206,0.0,27.80000000000001,0.0,0.0,9.266666666666671,293.6513175596131,0.003502515265102303
A320,3f9b6726,3,1778296899,2026-05-09 11:21:39.000 PHT,15,125,3.0,0.04019292604501608,14.506795,121.016235,30,307.4,1.0,59,2,1714.0366768454512,981.0741929003127,30.0,11.099999999999966,0.0,0.0,3.6999999999999886,113.48018970900317,0.003716028483946802
A320,3f9b6726,3,1778296901,2026-05-09 11:21:41.000 PHT,16,127,2.0,0.04083601286173633,14.50795,121.018196,53,313.0,6.2,59,2,1925.1374184486954,1109.5045105699985,23.0,5.600000000000023,0.0,0.0,2.8000000000000114,247.09913178036894,0.004180946027135593
A320,3f9b6726,3,1778296905,2026-05-09 11:21:45.000 PHT,17,131,4.0,0.04212218649517685,14.509689,121.021271,99,309.3,12.0,60,2,2256.1578945355263,1302.8727550960734,46.0,-3.6999999999999886,1.0,0.25,-0.9249999999999972,383.3613172334524,0.004902241162726009
A320,3f9b6726,3,1778296907,2026-05-09 11:21:47.000 PHT,18,133,2.0,0.042765273311897105,14.510422,121.022644,122,309.3,13.7,60,2,2403.9592791504633,1384.378748907342,23.0,0.0,0.0,0.0,0.0,168.78514146329024,0.0052198107661903925
