aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A320,3f9ba395,3,1778300377,2026-05-09 12:19:37.000 PHT,0,0,0.0,0.0,14.498171,121.000687,0,14.8,0.0,67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A320,3f9ba395,3,1778300385,2026-05-09 12:19:45.000 PHT,1,8,8.0,0.0025974025974025974,14.498291,121.000923,0,13.0,0.0,61,1,25.406370923539242,13.343409628088192,0.0,-1.8000000000000007,-6.0,-0.75,-0.2250000000000001,28.697217008049343,5.367880824403482e-05
A320,3f9ba395,3,1778300392,2026-05-09 12:19:52.000 PHT,2,15,7.0,0.00487012987012987,14.49844,121.00119,0,24.1,0.0,61,1,54.15000117909816,29.91147658296731,0.0,11.100000000000001,0.0,0.0,1.5857142857142859,33.17675641944028,0.0001157366985787896
A320,3f9ba395,3,1778300395,2026-05-09 12:19:55.000 PHT,3,18,3.0,0.005844155844155844,14.498659,121.001572,0,59.3,0.0,61,1,95.27381184746845,54.263199154201736,0.0,35.199999999999996,0.0,0.0,11.733333333333333,47.79303656277557,0.0002051346790287329
A320,3f9ba395,3,1778300398,2026-05-09 12:19:58.000 PHT,4,21,3.0,0.006818181818181818,14.498943,121.002106,0,87.0,0.0,61,1,152.76096313207174,85.84260194054745,0.0,27.700000000000003,0.0,0.0,9.233333333333334,65.58986952752373,0.0003278220472195807
A320,3f9ba395,3,1778300402,2026-05-09 12:20:02.000 PHT,5,25,4.0,0.008116883116883116,14.499475,121.003044,0,120.4,0.0,61,1,253.74006894807985,144.99838462456486,0.0,33.400000000000006,0.0,0.0,8.350000000000001,117.03071368340696,0.0005467307043451854
A320,3f9ba395,3,1778300404,2026-05-09 12:20:04.000 PHT,6,27,2.0,0.008766233766233766,14.499619,121.003311,0,129.6,0.0,61,1,282.4835488130054,161.01047617819995,0.0,9.199999999999989,0.0,0.0,4.599999999999994,32.902501245449486,0.000608275594032858
A320,3f9ba395,3,1778300406,2026-05-09 12:20:06.000 PHT,7,29,2.0,0.009415584415584415,14.500056,121.004105,0,144.5,0.0,61,1,367.96029636527214,209.60272624034928,0.0,14.900000000000006,0.0,0.0,7.450000000000003,98.32334926687292,0.0007921916932743744
A320,3f9ba395,3,1778300410,2026-05-09 12:20:10.000 PHT,8,33,4.0,0.010714285714285714,14.500929,121.005638,46,174.1,0.0,61,2,532.9923458603914,306.67603128432836,46.0,29.599999999999994,0.0,0.0,7.399999999999999,191.46490920183885,0.0011503312349457587
A320,3f9ba395,3,1778300412,2026-05-09 12:20:12.000 PHT,9,35,2.0,0.011363636363636364,14.501404,121.006493,46,185.2,0.3,60,2,625.0353954251195,359.4936943950835,0.0,11.099999999999994,-1.0,-0.5,5.549999999999997,106.12081897142025,0.0013488326816424537
A320,3f9ba395,3,1778300414,2026-05-09 12:20:14.000 PHT,10,37,2.0,0.012012987012987014,14.501906,121.007469,46,207.4,0.3,60,2,730.1042454795048,415.3136246723441,0.0,22.200000000000017,0.0,0.0,11.100000000000009,118.97611341752737,0.0015713802539721548
A320,3f9ba395,3,1778300416,2026-05-09 12:20:16.000 PHT,11,39,2.0,0.012662337662337663,14.502465,121.00843,38,218.5,0.7,60,2,833.557953504394,477.471674522867,-8.0,11.099999999999994,0.0,0.0,5.549999999999997,120.69093999503455,0.0017971354490828372
A320,3f9ba395,3,1778300418,2026-05-09 12:20:18.000 PHT,12,41,2.0,0.013311688311688311,14.503163,121.009727,38,233.4,0.3,60,2,973.18249113591,555.0858405261347,0.0,14.900000000000006,0.0,0.0,7.450000000000003,159.74654633559996,0.0020959450592966176
A320,3f9ba395,3,1778300425,2026-05-09 12:20:25.000 PHT,13,48,7.0,0.015584415584415584,14.505341,121.013649,46,274.1,0.3,60,2,1395.3904247177638,797.2687252746445,8.0,40.70000000000002,0.0,0.0,5.814285714285717,486.7361821351985,0.0030063963472713503
A320,3f9ba395,3,1778300432,2026-05-09 12:20:32.000 PHT,14,55,7.0,0.017857142857142856,14.507726,121.017776,69,296.3,11.1,58,2,1839.6619806767146,1062.4689916316154,23.0,22.19999999999999,-2.0,-0.2857142857142857,3.17142857142857,517.4057222942718,0.003974215719568331
A320,3f9ba395,3,1778300441,2026-05-09 12:20:41.000 PHT,15,64,9.0,0.02077922077922078,14.511264,121.023514,160,292.6,12.0,56,2,2457.3485065803093,1455.8771854979864,91.0,-3.6999999999999886,-2.0,-0.2222222222222222,-0.4111111111111099,732.3307579405073,0.005344057342735861
A320,3f9ba395,3,1778300447,2026-05-09 12:20:47.000 PHT,16,70,6.0,0.022727272727272728,14.513901,121.027618,236,290.8,11.4,56,2,2899.130793613845,1749.0986120735533,76.0,-1.8000000000000114,0.0,0.0,-0.3000000000000019,530.2374737286499,0.0063358788029178065
A320,3f9ba395,3,1778300451,2026-05-09 12:20:51.000 PHT,17,74,4.0,0.024025974025974027,14.515594,121.030174,282,294.5,10.1,55,2,3174.2728798216635,1937.3518829091738,46.0,3.6999999999999886,-1.0,-0.25,0.9249999999999972,333.38143425798285,0.006959476487551686
A320,3f9ba395,3,1778300453,2026-05-09 12:20:53.000 PHT,18,76,2.0,0.024675324675324677,14.516464,121.031448,297,296.3,9.8,55,2,3311.4123592600663,2034.0916027121941,15.0,1.8000000000000114,0.0,0.0,0.9000000000000057,167.82741199635075,0.007273401543912302
A320,3f9ba395,3,1778300456,2026-05-09 12:20:56.000 PHT,19,79,3.0,0.02564935064935065,14.517334,121.032776,320,296.3,9.4,55,3,3454.36437193179,2130.8313225152147,23.0,0.0,0.0,0.0,0.0,172.60945037124972,0.007596271513672355
A320,3f9ba395,3,1778300458,2026-05-09 12:20:58.000 PHT,20,81,2.0,0.026298701298701297,14.518339,121.034302,343,296.3,9.4,56,3,3618.629275983048,2242.5823781500553,23.0,0.0,1.0,0.5,0.0,198.67434778162036,0.007967896476977576
A320,3f9ba395,3,1778300460,2026-05-09 12:21:00.000 PHT,21,83,2.0,0.026948051948051947,14.519224,121.035706,366,298.2,8.1,56,3,3769.76127796801,2340.990024156808,23.0,1.8999999999999773,0.0,0.0,0.9499999999999886,180.3470304815563,0.0083052397693214
