aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A320,3f9e55bf,3,1778356968,2026-05-10 04:02:48.000 PHT,0,0,0.0,0.0,14.510078,121.017883,0,13.0,0.0,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A320,3f9e55bf,3,1778356986,2026-05-10 04:03:06.000 PHT,1,18,18.0,0.005438066465256798,14.510286,121.017899,0,5.6,0.0,337,1,1.7223728823920206,23.12857668878051,0.0,-7.4,-104.0,-5.777777777777778,-0.41111111111111115,23.19262011922751,4.3227158971553814e-05
A320,3f9e55bf,3,1778357115,2026-05-10 04:05:15.000 PHT,2,147,129.0,0.044410876132930516,14.510605,121.017532,0,35.2,0.0,317,1,-37.78452791440088,58.59980728312705,0.0,29.6,-20.0,-0.15503875968992248,0.2294573643410853,53.09427319337664,0.0001421859905313597
A320,3f9e55bf,3,1778357122,2026-05-10 04:05:22.000 PHT,3,154,7.0,0.04652567975830816,14.511726,121.01638,0,103.7,0.0,315,1,-161.794876558769,183.24949222477784,0.0,68.5,-2.0,-0.2857142857142857,9.785714285714286,175.82974049579192,0.00046990317406930186
A320,3f9e55bf,3,1778357129,2026-05-10 04:05:29.000 PHT,4,161,7.0,0.048640483383685804,14.513752,121.014282,0,166.7,0.0,315,1,-387.6385125161332,408.53072477815726,0.0,62.999999999999986,0.0,0.0,8.999999999999998,318.99363052875583,0.001064453867647381
A320,3f9e55bf,3,1778357142,2026-05-10 04:05:42.000 PHT,5,174,13.0,0.05256797583081571,14.5196,121.008247,0,277.8,0.0,315,1,-1037.2772453812852,1058.7995539835463,0.0,111.10000000000002,0.0,0.0,8.546153846153848,919.1733677220169,0.002777639056930839
A320,3f9e55bf,3,1778357149,2026-05-10 04:05:49.000 PHT,6,181,7.0,0.054682779456193355,14.522716,121.005058,76,303.7,6.5,315,2,-1380.5507487221637,1405.2834239915,76.0,25.899999999999977,0.0,0.0,3.6999999999999966,487.73733956089563,0.00368669975835985
A320,3f9e55bf,3,1778357156,2026-05-10 04:05:56.000 PHT,7,188,7.0,0.056797583081571,14.526352,121.001335,160,303.7,15.3,315,2,-1781.2995001182514,1809.5887357203442,84.0,0.0,0.0,0.0,0.0,569.2646681944035,0.004747713743947776
A320,3f9e55bf,3,1778357164,2026-05-10 04:06:04.000 PHT,8,196,8.0,0.059214501510574016,14.531327,120.996384,305,290.8,15.9,315,2,-2314.2208948237258,2362.7842598821076,145.0,-12.899999999999977,0.0,0.0,-1.6124999999999972,768.134719900537,0.006179388193751873
A320,3f9e55bf,3,1778357171,2026-05-10 04:06:11.000 PHT,9,203,7.0,0.06132930513595166,14.533997,120.993713,373,290.8,13.7,316,2,-2601.7201477880653,2659.6751241057436,68.0,0.0,1.0,0.14285714285714285,0.0,413.2796787991283,0.0069496722877146755
