aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A320,3f9f05af,3,1778375789,2026-05-10 09:16:29.000 PHT,0,0,0.0,0.0,14.498783,120.999626,0,7.4,0.0,168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A320,3f9f05af,3,1778375816,2026-05-10 09:16:56.000 PHT,1,27,27.0,0.007964601769911504,14.498577,120.999763,0,5.6,0.0,151,1,14.748583743523762,-22.906186528141436,0.0,-1.8000000000000007,-17.0,-0.6296296296296297,-0.0666666666666667,27.243606657369245,4.788048974219004e-05
A320,3f9f05af,3,1778375830,2026-05-10 09:17:10.000 PHT,2,41,14.0,0.012094395280235988,14.498357,120.999901,0,11.1,0.0,149,1,29.604836078308146,-47.36910417934174,0.0,5.5,-2.0,-0.14285714285714285,0.39285714285714285,28.620666677852793,9.818115494111637e-05
A320,3f9f05af,3,1778375838,2026-05-10 09:17:18.000 PHT,3,49,8.0,0.014454277286135693,14.498142,121.000031,0,13.0,0.0,146,1,43.599870651558,-71.27604642965169,0.0,1.9000000000000004,-3.0,-0.375,0.23750000000000004,27.702037018903304,0.00014686733353717196
A320,3f9f05af,3,1778375844,2026-05-10 09:17:24.000 PHT,4,55,6.0,0.016224188790560472,14.498019,121.000252,0,16.7,0.0,118,1,67.39142371349405,-84.95304129834481,0.0,3.6999999999999993,-28.0,-4.666666666666667,0.6166666666666666,27.44265379679915,0.00019509764753859266
A320,3f9f05af,3,1778375850,2026-05-10 09:17:30.000 PHT,5,61,6.0,0.01799410029498525,14.498055,121.000488,0,16.7,0.0,81,1,92.79776760554924,-80.9500184096708,0.0,0.0,-37.0,-6.166666666666667,0.0,25.719817379862583,0.00024030008595709053
A320,3f9f05af,3,1778375857,2026-05-10 09:17:37.000 PHT,6,68,7.0,0.020058997050147492,14.498206,121.000732,0,16.7,0.0,59,1,119.0653085836102,-64.15956129450628,0.0,0.0,-22.0,-3.142857142857143,0.0,31.17542441384464,0.00029509072390853606
A320,3f9f05af,3,1778375863,2026-05-10 09:17:43.000 PHT,7,74,6.0,0.02182890855457227,14.498322,121.000946,0,16.7,0.0,61,1,142.10322440331942,-51.26093198734256,0.0,0.0,2.0,0.3333333333333333,0.0,26.403087348310148,0.0003414940055607087
A320,3f9f05af,3,1778375870,2026-05-10 09:17:50.000 PHT,8,81,7.0,0.023893805309734513,14.498451,121.001183,0,16.7,0.0,61,1,167.6171636263213,-36.91676663743952,0.0,0.0,0.0,0.0,0.0,29.269773479371445,0.0003929354724142241
A320,3f9f05af,3,1778375876,2026-05-10 09:17:56.000 PHT,9,87,6.0,0.02566371681415929,14.49859,121.001419,0,16.7,0.0,59,1,193.02342974304702,-21.460650484694785,0.0,0.0,-2.0,-0.3333333333333333,0.0,29.73841830515102,0.00044520057998666756
