aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A320,3f9f3f89,3,1778382962,2026-05-10 11:16:02.000 PHT,0,0,0.0,0.0,14.510124,121.017853,0,16.7,0.0,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A320,3f9f3f89,3,1778382974,2026-05-10 11:16:14.000 PHT,1,12,12.0,0.003630862329803328,14.510342,121.017876,0,9.3,0.0,348,1,2.475910448920565,24.24052749126855,0.0,-7.399999999999999,-71.0,-5.916666666666667,-0.6166666666666666,24.36664329787777,4.480605235959799e-05
A320,3f9f3f89,3,1778382989,2026-05-10 11:16:29.000 PHT,2,27,15.0,0.008169440242057489,14.510553,121.017593,0,35.2,0.0,315,1,-27.988539577161593,47.702689420300345,0.0,25.900000000000002,-33.0,-2.2,1.7266666666666668,38.45198007872895,0.00011551260851818895
A320,3f9f3f89,3,1778382992,2026-05-10 11:16:32.000 PHT,3,30,3.0,0.009077155824508321,14.510811,121.017326,0,68.5,0.0,315,1,-56.730583701210186,76.39102012081375,0.0,33.3,0.0,0.0,11.1,40.60941707836316,0.00019018631903556528
A320,3f9f3f89,3,1778382994,2026-05-10 11:16:34.000 PHT,4,32,2.0,0.009682299546142208,14.51117,121.016968,0,88.9,0.0,315,1,-95.26855002880927,116.31005392440512,0.0,20.400000000000006,0.0,0.0,10.200000000000003,55.486061717000545,0.00029221561195570835
A320,3f9f3f89,3,1778382997,2026-05-10 11:16:37.000 PHT,5,35,3.0,0.01059001512859304,14.511647,121.016479,0,111.1,0.0,315,1,-147.90830137147907,169.3501071957993,0.0,22.19999999999999,0.0,0.0,7.399999999999996,74.727427260769,0.00042962645585457583
A320,3f9f3f89,3,1778382999,2026-05-10 11:16:39.000 PHT,6,37,2.0,0.011195158850226929,14.512264,121.015823,0,140.8,0.0,315,1,-218.52506066364603,237.95747169990406,0.0,29.700000000000017,0.0,0.0,14.850000000000009,98.45654858481838,0.0006106710592128437
A320,3f9f3f89,3,1778383000,2026-05-10 11:16:40.000 PHT,7,38,1.0,0.011497730711043872,14.512579,121.015503,0,151.9,0.0,315,1,-252.97218087878585,272.9839219736798,0.0,11.099999999999994,0.0,0.0,11.099999999999994,49.12693303832964,0.0007010070118129943
A320,3f9f3f89,3,1778383002,2026-05-10 11:16:42.000 PHT,8,40,2.0,0.012102874432677761,14.512985,121.015076,0,170.4,0.0,315,1,-298.9374902455192,318.1291245483991,0.0,18.5,0.0,0.0,9.25,64.42745435193149,0.0008194779828777562
A320,3f9f3f89,3,1778383003,2026-05-10 11:16:43.000 PHT,9,41,1.0,0.012405446293494705,14.513306,121.014748,0,181.5,0.0,315,1,-334.2456731041524,353.8227453033847,0.0,11.099999999999994,0.0,0.0,11.099999999999994,50.20658852839757,0.0009117992356206853
