aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_envelope_type,attack_envelope_params,attack_envelope,attack_delta_altitude,attack_std_altitude,altitude_offset,bin_id
A320,3f9f05af,3,1778375789,2026-05-10 09:16:29.000 PHT,0,0,0.0,0.0,14.498783,120.999626,0.0,7.4,0.0,168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375816,2026-05-10 09:16:56.000 PHT,1,27,27.0,0.0079646017699115,14.498577,120.999763,0.0,5.6,0.0,151,1,14.748583743523762,-22.906186528141436,0.0,-1.8000000000000007,-17.0,-0.6296296296296297,-0.0666666666666667,27.243606657369245,4.788048974219004e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375830,2026-05-10 09:17:10.000 PHT,2,41,14.0,0.0120943952802359,14.498357,120.999901,0.0,11.1,0.0,149,1,29.604836078308143,-47.36910417934174,0.0,5.5,-2.0,-0.1428571428571428,0.3928571428571428,28.620666677852793,9.818115494111636e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375838,2026-05-10 09:17:18.000 PHT,3,49,8.0,0.0144542772861356,14.498142,121.000031,0.0,13.0,0.0,146,1,43.599870651558,-71.27604642965169,0.0,1.9000000000000004,-3.0,-0.375,0.2375,27.702037018903304,0.0001468673335371,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375844,2026-05-10 09:17:24.000 PHT,4,55,6.0,0.0162241887905604,14.498019,121.000252,0.0,16.7,0.0,118,1,67.39142371349405,-84.95304129834481,0.0,3.6999999999999993,-28.0,-4.666666666666667,0.6166666666666666,27.44265379679915,0.0001950976475385,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375850,2026-05-10 09:17:30.000 PHT,5,61,6.0,0.0179941002949852,14.498055,121.000488,0.0,16.7,0.0,81,1,92.79776760554924,-80.9500184096708,0.0,0.0,-37.0,-6.166666666666667,0.0,25.719817379862583,0.000240300085957,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375857,2026-05-10 09:17:37.000 PHT,6,68,7.0,0.0200589970501474,14.498206,121.000732,0.0,16.7,0.0,59,1,119.0653085836102,-64.15956129450628,0.0,0.0,-22.0,-3.142857142857143,0.0,31.17542441384464,0.0002950907239085,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375863,2026-05-10 09:17:43.000 PHT,7,74,6.0,0.0218289085545722,14.498322,121.000946,0.0,16.7,0.0,61,1,142.10322440331942,-51.26093198734256,0.0,0.0,2.0,0.3333333333333333,0.0,26.403087348310148,0.0003414940055607,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375870,2026-05-10 09:17:50.000 PHT,8,81,7.0,0.0238938053097345,14.498451,121.001183,0.0,16.7,0.0,61,1,167.6171636263213,-36.91676663743952,0.0,0.0,0.0,0.0,0.0,29.269773479371445,0.0003929354724142,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375876,2026-05-10 09:17:56.000 PHT,9,87,6.0,0.0256637168141592,14.49859,121.001419,0.0,16.7,0.0,59,1,193.02342974304705,-21.460650484694785,0.0,0.0,-2.0,-0.3333333333333333,0.0,29.73841830515102,0.0004452005799866,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
