sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.497972,121.000313,0,11.1,0.0,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,9,9.0,0.0028938906752411,14.498085,121.000542,0,9.3,0.0,64,24.65281465506009,12.5650440662051,0.0,-1.799999999999999,-45.0,-5.0,-0.1999999999999998,27.67022954010563,5.2061595864651445e-05,0
2,87,78.0,0.0279742765273311,14.498234,121.000793,0,25.9,0.0,61,51.67400461425738,29.13311102108422,0.0,16.599999999999998,-3.0,-0.0384615384615384,0.2128205128205127,31.696145270730415,0.0001116979607585,0
3,94,7.0,0.030225080385852,14.498857,121.001938,0,90.7,0.0,59,174.93779051398096,98.40764600639888,0.0,64.80000000000001,-2.0,-0.2857142857142857,9.257142857142858,141.39632970622048,0.0003777354565169,0
4,99,5.0,0.0318327974276527,14.49955,121.003181,0,133.3,0.0,59,308.7512606602948,175.4658366084225,0.0,42.60000000000001,0.0,0.0,8.520000000000001,154.4150615199695,0.0006682677239351,0
5,100,1.0,0.0321543408360128,14.499836,121.0037,0,148.2,0.0,59,364.6233768939934,207.26762955540732,0.0,14.899999999999975,0.0,0.0,14.899999999999975,64.28878160872756,0.000789227203577,0
6,103,3.0,0.0331189710610932,14.500219,121.004372,0,166.7,0.0,59,436.96634414597975,249.8553452845456,0.0,18.5,0.0,0.0,6.166666666666667,83.9477218768551,0.0009471750212407,0
7,104,1.0,0.0334405144694533,14.500763,121.005356,0,181.5,0.0,59,542.8969125931258,310.3454689316901,0.0,14.800000000000011,0.0,0.0,14.800000000000011,121.98500003263776,0.0011766900588389,0
8,107,3.0,0.0344051446945337,14.501452,121.006584,0,203.7,0.0,59,675.0944368647275,386.95887921278927,0.0,22.19999999999999,0.0,0.0,7.399999999999996,152.79333454765256,0.0014641710435016,0
9,110,3.0,0.0353697749196141,14.502163,121.007874,0,213.0,0.0,59,813.9660096534585,466.0185812584426,0.0,9.300000000000011,0.0,0.0,3.1000000000000036,159.79908677831727,0.0017648333659205,0
10,112,2.0,0.0360128617363344,14.502768,121.00898,0,231.5,0.0,61,933.0291989272272,533.291604799774,0.0,18.5,2.0,1.0,9.25,136.75415604122344,0.0020221366020325,0
11,114,2.0,0.0366559485530546,14.50351,121.010307,0,250.0,0.0,59,1075.8830273917015,615.7983543332109,0.0,18.5,-2.0,-1.0,9.25,164.96843518869122,0.0023325250645051,0
12,116,2.0,0.0372990353697749,14.504162,121.011482,0,259.3,0.0,59,1202.3734090230353,688.2975466456702,0.0,9.300000000000011,0.0,0.0,4.650000000000006,145.79420440670944,0.0026068371708874,0
13,119,3.0,0.0382636655948553,14.504986,121.012947,0,268.5,0.0,59,1360.0821378264916,779.9222927578822,0.0,9.199999999999989,0.0,0.0,3.066666666666663,182.3928383936514,0.002950009685134,0
14,122,3.0,0.0392282958199356,14.506302,121.015312,0,296.3,0.0,59,1614.6755888194878,926.2550183452206,0.0,27.80000000000001,0.0,0.0,9.266666666666673,293.6513175596131,0.0035025152651023,0
15,125,3.0,0.040192926045016,14.506795,121.016235,30,307.4,1.0,59,1714.0366768454512,981.0741929003128,30.0,11.099999999999966,0.0,0.0,3.6999999999999886,113.48018970900316,0.0037160284839468,0
