sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.510078,121.017883,0,13.0,0.0,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,18,18.0,0.0054380664652567,14.510286,121.017899,0,5.6,0.0,337,1.7223728823920206,23.12857668878051,0.0,-7.4,-104.0,-5.777777777777778,-0.4111111111111111,23.19262011922751,4.3227158971553814e-05,0
2,147,129.0,0.0444108761329305,14.510605,121.017532,0,35.2,0.0,317,-37.78452791440088,58.59980728312705,0.0,29.6,-20.0,-0.1550387596899224,0.2294573643410853,53.09427319337664,0.0001421859905313,0
3,154,7.0,0.0465256797583081,14.511726,121.01638,0,103.7,0.0,315,-161.794876558769,183.24949222477784,0.0,68.5,-2.0,-0.2857142857142857,9.785714285714286,175.82974049579192,0.0004699031740693,0
4,161,7.0,0.0486404833836858,14.513752,121.014282,0,166.7,0.0,315,-387.6385125161332,408.53072477815726,0.0,62.999999999999986,0.0,0.0,8.999999999999998,318.99363052875583,0.0010644538676473,0
5,174,13.0,0.0525679758308157,14.5196,121.008247,0,277.8,0.0,315,-1037.2772453812852,1058.7995539835465,0.0,111.10000000000002,0.0,0.0,8.546153846153848,919.1733677220168,0.0027776390569308,0
6,181,7.0,0.0546827794561933,14.522716,121.005058,76,303.7,6.5,315,-1380.5507487221637,1405.2834239915,76.0,25.899999999999977,0.0,0.0,3.6999999999999966,487.7373395608956,0.0036866997583598,0
7,188,7.0,0.056797583081571,14.526352,121.001335,160,303.7,15.3,315,-1781.2995001182514,1809.588735720344,84.0,0.0,0.0,0.0,0.0,569.2646681944035,0.0047477137439477,0
8,196,8.0,0.059214501510574,14.531327,120.996384,305,290.8,15.9,315,-2314.2208948237258,2362.7842598821076,145.0,-12.899999999999975,0.0,0.0,-1.6124999999999972,768.134719900537,0.0061793881937518,0
9,203,7.0,0.0613293051359516,14.533997,120.993713,373,290.8,13.7,316,-2601.7201477880653,2659.6751241057436,68.0,0.0,1.0,0.1428571428571428,0.0,413.2796787991283,0.0069496722877146,0
10,211,8.0,0.0637462235649546,14.538962,120.98877,442,298.2,6.8,316,-3133.762040108786,3211.7586974653727,69.0,7.399999999999977,0.0,0.0,0.9249999999999972,766.7237383728935,0.0083787169043007,0
11,218,7.0,0.0658610271903323,14.542648,120.985092,472,316.7,3.6,315,-3529.6374355598928,3621.62376320595,30.0,18.5,-1.0,-0.1428571428571428,2.642857142857143,569.8305859803512,0.0094407856658464,0
12,227,9.0,0.0685800604229607,14.547482,120.980141,511,338.9,6.2,315,-4062.5208098509406,4159.140781055037,39.0,22.19999999999999,0.0,0.0,2.4666666666666655,756.893980085077,0.0108515092595392,0
13,233,6.0,0.0703927492447129,14.551758,120.975761,549,351.9,6.2,314,-4533.936903936604,4634.610944133567,38.0,13.0,-1.0,-0.1666666666666666,2.1666666666666665,669.5553913487121,0.0120994483536693,0
14,242,9.0,0.0731117824773413,14.557723,120.969589,602,374.1,6.2,314,-5198.209825526191,5297.889597726439,53.0,22.200000000000045,0.0,0.0,2.4666666666666717,938.719916343164,0.0138490650353951,0
15,249,7.0,0.075226586102719,14.562517,120.96463,648,390.8,5.5,314,-5731.918359504704,5830.958812366282,46.0,16.69999999999999,0.0,0.0,2.385714285714284,754.325060979664,0.0152550005941879,0
16,256,7.0,0.0773413897280966,14.567359,120.959618,655,414.8,1.3,315,-6271.319246622912,6369.365390856864,7.0,24.0,1.0,0.1428571428571428,3.4285714285714284,762.124390896331,0.0166754727975015,0
17,260,4.0,0.0785498489425981,14.570618,120.956207,671,429.7,4.2,314,-6638.4112740050305,6731.750157338133,16.0,14.899999999999975,-1.0,-0.25,3.7249999999999943,515.8277389287679,0.0176368892980083,0
18,264,4.0,0.0797583081570997,14.574016,120.952728,701,442.6,7.5,315,-7012.814705334332,7109.591039971793,30.0,12.900000000000034,1.0,0.25,3.2250000000000085,531.9223911548019,0.0186283035342944,0
19,266,2.0,0.0803625377643504,14.575692,120.950989,716,446.3,8.1,315,-7199.960817207641,7295.953994443043,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,264.11100972207805,0.0191205622159225,0
20,269,3.0,0.0812688821752265,14.577759,120.948868,747,453.7,9.4,314,-7428.214346985809,7525.794225285633,31.0,7.399999999999977,-1.0,-0.3333333333333333,2.4666666666666592,323.9229663327084,0.01972430036574,0
21,271,2.0,0.0818731117824773,14.579788,120.946754,770,459.3,11.1,315,-7655.712976757731,7751.409043079618,23.0,5.600000000000023,1.0,0.5,2.8000000000000114,320.40180430060013,0.0203214756593495,0
22,273,2.0,0.082477341389728,14.581092,120.94545,792,459.3,11.4,315,-7796.041288155814,7896.407427704182,22.0,0.0,0.0,0.0,0.0,201.78375964595196,0.0206975667870985,0
23,275,2.0,0.0830815709969788,14.582908,120.943573,823,464.9,12.4,314,-7998.031918005354,8098.337693408142,31.0,5.599999999999966,-1.0,-0.5,2.799999999999983,285.61487687751156,0.021229905075052,0
24,278,3.0,0.0839879154078549,14.584583,120.941833,846,464.9,13.0,315,-8185.278162615144,8284.589452799426,23.0,0.0,1.0,0.3333333333333333,0.0,264.103490482897,0.0217221497420778,0
25,280,2.0,0.0845921450151057,14.586818,120.939575,876,468.6,13.7,315,-8428.264537680856,8533.110457121198,30.0,3.7000000000000455,0.0,0.0,1.8500000000000227,347.5704941167551,0.0223699629225538,0
26,282,2.0,0.0851963746223564,14.58868,120.937645,907,470.4,14.0,315,-8635.953390526265,8740.155696515965,31.0,1.7999999999999543,0.0,0.0,0.8999999999999773,293.26121151838714,0.0229165526974618,0
27,285,3.0,0.0861027190332326,14.590942,120.935272,945,472.3,14.6,314,-8891.311976893428,8991.678968004244,38.0,1.900000000000034,-1.0,-0.3333333333333333,0.6333333333333447,358.4289422419152,0.0235846042063748,0
28,287,2.0,0.0867069486404833,14.592823,120.933357,975,474.1,15.0,314,-9097.382116346676,9200.836913923667,30.0,1.8000000000000114,0.0,0.0,0.9000000000000057,293.61876813170795,0.0241318604069168,0
29,289,2.0,0.0873111782477341,14.594778,120.931335,1013,474.1,16.9,314,-9314.96510484461,9418.22329578002,38.0,0.0,0.0,0.0,0.0,307.5694260542783,0.0247051182969908,0
30,291,2.0,0.0879154078549848,14.596547,120.929405,1044,474.1,19.5,313,-9522.648468089776,9614.927392713204,31.0,0.0,-1.0,-0.5,0.0,286.04860961578225,0.0252382649901151,0
31,293,2.0,0.0885196374622356,14.598267,120.927368,1082,472.3,22.1,311,-9741.847320820132,9806.182930714976,38.0,-1.8000000000000114,-2.0,-1.0,-0.9000000000000057,290.9024393108972,0.0257804584087397,0
32,295,2.0,0.0891238670694864,14.599731,120.925285,1113,474.1,23.4,308,-9966.001060701596,9968.972528176875,31.0,1.8000000000000114,-3.0,-1.5,0.9000000000000057,277.01936138633175,0.0262967760956283,0
33,297,2.0,0.0897280966767371,14.600739,120.923767,1151,474.1,24.4,305,-10129.354992248149,10081.05716905232,38.0,0.0,-3.0,-1.5,0.0,198.10111289267468,0.0266660033866989,0
34,299,2.0,0.0903323262839879,14.60204,120.921547,1189,474.1,24.4,301,-10368.254769103696,10225.72196843628,38.0,0.0,-4.0,-2.0,0.0,279.27009707960514,0.0271865160679054,0
35,302,3.0,0.091238670694864,14.603073,120.919411,1212,476.0,24.1,296,-10598.119017948991,10340.58648631724,23.0,1.8999999999999773,-5.0,-1.6666666666666667,0.6333333333333258,256.94460563376026,0.0276654177727371,0
36,304,2.0,0.0918429003021148,14.604136,120.916969,1250,476.0,23.7,292,-10860.914841784152,10458.786856605662,38.0,0.0,-4.0,-2.0,0.0,288.12711615035903,0.0282024384538771,0
37,306,2.0,0.0924471299093655,14.605087,120.913918,1280,481.5,23.4,290,-11189.255980729096,10564.533377907492,30.0,5.5,-2.0,-1.0,2.75,344.90515722260994,0.0288452838928454,0
38,308,2.0,0.0930513595166163,14.605682,120.911362,1318,477.8,23.7,286,-11464.330583929215,10630.694450646688,38.0,-3.6999999999999886,-4.0,-2.0,-1.8499999999999943,282.87627914631594,0.0293725178933627,0
39,310,2.0,0.093655589123867,14.606232,120.908096,1356,479.7,24.1,280,-11815.819349976642,10691.851744775042,38.0,1.8999999999999773,-6.0,-3.0,0.9499999999999886,356.7085532281613,0.0300373628853317,0
40,313,3.0,0.0945619335347432,14.606417,120.905556,1394,477.8,23.7,274,-12089.181630385809,10712.422834618244,38.0,-1.8999999999999773,-6.0,-2.0,-0.6333333333333258,274.08063748463826,0.0305482032831249,0
41,315,2.0,0.0951661631419939,14.606461,120.903076,1425,481.5,23.4,271,-12356.09013894892,10717.315418148411,31.0,3.6999999999999886,-3.0,-1.5,1.8499999999999943,266.8961913806702,0.0310456530768267,0
42,317,2.0,0.0957703927492447,14.606277,120.899918,1463,481.5,22.8,267,-12695.974819141496,10696.855523385531,38.0,0.0,-4.0,-2.0,0.0,340.42056061354975,0.031680139978918,0
43,319,2.0,0.0963746223564954,14.605865,120.89711,1494,481.5,22.1,263,-12998.197758062888,10651.04315032925,31.0,0.0,-4.0,-2.0,0.0,305.59847821752896,0.0322497243523723,0
44,321,2.0,0.0969788519637462,14.605682,120.895973,1524,481.5,21.5,260,-13120.572858750167,10630.694450646688,30.0,0.0,-3.0,-1.5,0.0,124.02380616362863,0.0324808839521817,0
45,324,3.0,0.0978851963746223,14.60488,120.892929,1554,483.4,20.2,256,-13448.20802860614,10541.515996299384,30.0,1.8999999999999773,-4.0,-1.3333333333333333,0.6333333333333258,339.46339774055,0.0331135868630093,0
46,326,2.0,0.0984894259818731,14.604126,120.890427,1585,483.4,19.2,253,-13717.509894011384,10457.674905803528,31.0,0.0,-3.0,-1.5,0.0,281.97383747161774,0.0336391388634105,0
47,328,2.0,0.0990936555891238,14.603165,120.888016,1608,487.1,17.9,247,-13977.0253022816,10350.816433698856,23.0,3.7000000000000455,-6.0,-3.0,1.8500000000000227,280.5757188026747,0.0341620850048077,0
48,330,2.0,0.0996978851963746,14.601575,120.884834,1646,488.9,17.2,244,-14319.541835846738,10174.01625612766,38.0,1.7999999999999543,-3.0,-1.5,0.8999999999999773,385.34638284472607,0.0348803061141395,0
49,332,2.0,0.1003021148036253,14.600179,120.882378,1676,488.9,16.9,240,-14583.917610768704,10018.787924121478,30.0,0.0,-4.0,-2.0,0.0,306.4921294474574,0.0354515561037934,0
