aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3f928d9c,3,1778113982,2026-05-07 08:33:02.000 PHT,14.498415,120.999878,0,9.3,0.0,151,0,0
A320,3f928d9c,3,1778113994,2026-05-07 08:33:14.000 PHT,14.498194,121.0,0,7.4,0.0,149,1,0
A320,3f928d9c,3,1778114008,2026-05-07 08:33:28.000 PHT,14.498028,121.000206,0,7.4,0.0,123,1,0
A320,3f928d9c,3,1778114018,2026-05-07 08:33:38.000 PHT,14.498031,121.00042,0,9.3,0.0,90,1,0
A320,3f928d9c,3,1778114028,2026-05-07 08:33:48.000 PHT,14.498142,121.000648,0,11.1,0.0,64,1,0
A320,3f928d9c,3,1778114036,2026-05-07 08:33:56.000 PHT,14.498268,121.000862,0,13.0,0.0,61,1,0
A320,3f928d9c,3,1778114042,2026-05-07 08:34:02.000 PHT,14.498404,121.001106,0,29.6,0.0,59,1,0
A320,3f928d9c,3,1778114045,2026-05-07 08:34:05.000 PHT,14.498567,121.001381,0,48.2,0.0,59,1,0
A320,3f928d9c,3,1778114048,2026-05-07 08:34:08.000 PHT,14.498775,121.001778,0,74.1,0.0,59,1,0
A320,3f928d9c,3,1778114056,2026-05-07 08:34:16.000 PHT,14.499905,121.003807,0,137.0,0.0,61,1,0
A320,3f928d9c,3,1778114064,2026-05-07 08:34:24.000 PHT,14.501394,121.0065,30,196.3,0.3,60,2,0
A320,3f928d9c,3,1778114072,2026-05-07 08:34:32.000 PHT,14.503955,121.011078,30,246.3,0.3,60,2,0
A320,3f928d9c,3,1778114080,2026-05-07 08:34:40.000 PHT,14.506562,121.015755,23,288.9,1.6,60,2,0
A320,3f928d9c,3,1778114088,2026-05-07 08:34:48.000 PHT,14.509542,121.021149,114,283.4,12.4,60,2,0
A320,3f928d9c,3,1778114095,2026-05-07 08:34:55.000 PHT,14.511795,121.025246,191,277.8,10.7,61,2,0
A320,3f928d9c,3,1778114103,2026-05-07 08:35:03.000 PHT,14.514615,121.030594,267,283.4,7.8,61,2,0
