sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.52388,121.003784,0,14.8,0.0,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,9,9.0,0.0027829313543599,14.52367,121.004005,0,11.1,0.0,135,23.788814063826507,-23.350966849419585,0.0,-3.700000000000001,0.0,0.0,-0.4111111111111112,33.33429656322745,6.37754061950631e-05,0
2,207,198.0,0.0640074211502783,14.523367,121.004311,0,33.3,0.0,135,56.72721085377363,-57.04307616006818,0.0,22.199999999999996,0.0,0.0,0.1121212121212121,47.117896489008885,0.0001539216908764,0
3,214,7.0,0.0661719233147804,14.522145,121.005585,0,109.3,0.0,135,193.86335670408235,-192.92346420550427,0.0,76.0,0.0,0.0,10.857142857142858,193.05388623506224,0.0005232737181143,0
4,222,8.0,0.0686456400742115,14.519806,121.008011,61,190.8,0.7,135,455.0054089719091,-453.00875687131304,61.0,81.50000000000001,0.0,0.0,10.187500000000002,368.5641469801552,0.0012284131872497,0
5,229,7.0,0.0708101422387136,14.517105,121.010803,61,253.7,1.0,135,755.5482525024518,-753.346668582379,0.0,62.89999999999998,0.0,0.0,8.985714285714282,424.88687386056984,0.0020413096860857,0
6,237,8.0,0.0732838589981447,14.512521,121.015564,107,292.6,12.7,135,1268.0510929732898,-1263.0649163728017,46.0,38.900000000000034,0.0,0.0,4.862500000000004,722.8221579490863,0.0034242180262259,0
7,244,7.0,0.0754483611626468,14.509323,121.018852,191,294.5,16.6,135,1621.9976185074213,-1618.6667829595306,84.0,1.8999999999999773,0.0,0.0,0.2714285714285682,501.7277877901925,0.0043841270918028,0
8,253,9.0,0.0782312925170068,14.504654,121.023453,328,298.2,16.9,136,2117.2954410673833,-2137.8366125700404,137.0,3.6999999999999886,1.0,0.1111111111111111,0.4111111111111099,717.5349652203691,0.0057569199383322,0
9,255,2.0,0.0788497217068645,14.503281,121.024773,373,300.0,16.6,136,2259.395589794843,-2290.507457730642,45.0,1.8000000000000114,0.0,0.0,0.9000000000000057,208.568276967442,0.0061559542049703,0
10,257,2.0,0.0794681508967223,14.502139,121.025871,404,300.0,16.6,136,2377.5977479970543,-2417.4922393575876,31.0,0.0,0.0,0.0,0.0,173.48431278617488,0.0064878655892536,0
