sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.498171,121.000687,0,14.8,0.0,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,8,8.0,0.0025974025974025,14.498291,121.000923,0,13.0,0.0,61,25.40637092353924,13.343409628088192,0.0,-1.8000000000000007,-6.0,-0.75,-0.2250000000000001,28.697217008049343,5.367880824403482e-05,0
2,15,7.0,0.0048701298701298,14.49844,121.00119,0,24.1,0.0,61,54.15000117909816,29.91147658296731,0.0,11.1,0.0,0.0,1.585714285714286,33.17675641944028,0.0001157366985787,0
3,18,3.0,0.0058441558441558,14.498659,121.001572,0,59.3,0.0,61,95.27381184746844,54.263199154201736,0.0,35.199999999999996,0.0,0.0,11.733333333333333,47.79303656277557,0.0002051346790287,0
4,21,3.0,0.0068181818181818,14.498943,121.002106,0,87.0,0.0,61,152.76096313207174,85.84260194054745,0.0,27.700000000000003,0.0,0.0,9.233333333333334,65.58986952752373,0.0003278220472195,0
5,25,4.0,0.0081168831168831,14.499475,121.003044,0,120.4,0.0,61,253.74006894807985,144.99838462456486,0.0,33.400000000000006,0.0,0.0,8.350000000000001,117.03071368340696,0.0005467307043451,0
6,27,2.0,0.0087662337662337,14.499619,121.003311,0,129.6,0.0,61,282.4835488130054,161.01047617819995,0.0,9.199999999999989,0.0,0.0,4.599999999999994,32.902501245449486,0.0006082755940328,0
7,29,2.0,0.0094155844155844,14.500056,121.004105,0,144.5,0.0,61,367.96029636527214,209.60272624034928,0.0,14.900000000000006,0.0,0.0,7.450000000000003,98.32334926687292,0.0007921916932743,0
8,33,4.0,0.0107142857142857,14.500929,121.005638,46,174.1,0.0,61,532.9923458603914,306.67603128432836,46.0,29.59999999999999,0.0,0.0,7.399999999999999,191.46490920183885,0.0011503312349457,0
9,35,2.0,0.0113636363636363,14.501404,121.006493,46,185.2,0.3,60,625.0353954251195,359.4936943950835,0.0,11.099999999999994,-1.0,-0.5,5.549999999999997,106.12081897142023,0.0013488326816424,0
10,37,2.0,0.012012987012987,14.501906,121.007469,46,207.4,0.3,60,730.1042454795048,415.3136246723441,0.0,22.200000000000017,0.0,0.0,11.100000000000009,118.97611341752736,0.0015713802539721,0
11,39,2.0,0.0126623376623376,14.502465,121.00843,38,218.5,0.7,60,833.557953504394,477.471674522867,-8.0,11.099999999999994,0.0,0.0,5.549999999999997,120.69093999503455,0.0017971354490828,0
12,41,2.0,0.0133116883116883,14.503163,121.009727,38,233.4,0.3,60,973.18249113591,555.0858405261347,0.0,14.900000000000006,0.0,0.0,7.450000000000003,159.74654633559996,0.0020959450592966,0
13,48,7.0,0.0155844155844155,14.505341,121.013649,46,274.1,0.3,60,1395.3904247177638,797.2687252746445,8.0,40.70000000000002,0.0,0.0,5.814285714285717,486.7361821351985,0.0030063963472713,0
14,55,7.0,0.0178571428571428,14.507726,121.017776,69,296.3,11.1,58,1839.6619806767144,1062.4689916316154,23.0,22.19999999999999,-2.0,-0.2857142857142857,3.17142857142857,517.4057222942718,0.0039742157195683,0
15,64,9.0,0.0207792207792207,14.511264,121.023514,160,292.6,12.0,56,2457.3485065803093,1455.8771854979864,91.0,-3.6999999999999886,-2.0,-0.2222222222222222,-0.4111111111111099,732.3307579405073,0.0053440573427358,0
