aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A20N,3fa2a9a0,4,1778466801,2026-05-11 10:33:21.000 PHT,0,0,0.0,0.0,14.510251,121.018066,0,16.7,0.0,239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A20N,3fa2a9a0,4,1778466809,2026-05-11 10:33:29.000 PHT,1,8,8.0,0.003221908981071285,14.51025,121.01786,0,11.1,0.0,278,1,-22.17554402017263,-0.1111950803195366,0.0,-5.6,39.0,4.875,-0.7,22.175822801791778,5.6984170440661966e-05
A20N,3fa2a9a0,4,1778466857,2026-05-11 10:34:17.000 PHT,2,56,48.0,0.022553362867498993,14.510479,121.017685,0,31.5,0.0,315,1,-41.013970392908696,25.35247829304927,0.0,20.4,37.0,0.7708333333333334,0.425,31.674680797076952,0.00013837711018981785
A20N,3fa2a9a0,4,1778466864,2026-05-11 10:34:24.000 PHT,3,63,7.0,0.025372533225936366,14.51145,121.016678,0,105.6,0.0,315,1,-149.41539647926766,133.32290119985507,0.0,74.1,0.0,0.0,10.585714285714285,152.99832939612153,0.0005315297321859086
A20N,3fa2a9a0,4,1778466872,2026-05-11 10:34:32.000 PHT,4,71,8.0,0.028594442207007652,14.513429,121.014633,0,174.1,0.0,315,1,-369.5538640253175,353.37796498210656,0.0,68.5,0.0,0.0,8.5625,311.2638873023964,0.001331369925922919
A20N,3fa2a9a0,4,1778466878,2026-05-11 10:34:38.000 PHT,5,77,6.0,0.031010873942811115,14.515686,121.012276,38,235.2,0.0,315,2,-623.2758414892128,604.3452610691402,38.0,61.099999999999994,0.0,0.0,10.183333333333332,356.87456796528147,0.0022484137438067843
A20N,3fa2a9a0,4,1778466887,2026-05-11 10:34:47.000 PHT,6,86,9.0,0.034635521546516314,14.519943,121.007866,15,298.2,2.0,314,2,-1097.9883321386453,1077.7027176233673,-23.0,63.0,-1.0,-0.1111111111111111,7.0,670.3874897024873,0.003971076993596434
A20N,3fa2a9a0,4,1778466895,2026-05-11 10:34:55.000 PHT,7,94,8.0,0.037857430527587596,14.524338,121.003326,107,298.2,14.3,314,2,-1586.6850292258443,1566.405095249666,92.0,0.0,0.0,0.0,0.0,691.1256540493745,0.005747030130409983
A20N,3fa2a9a0,4,1778466904,2026-05-11 10:35:04.000 PHT,8,103,9.0,0.04148207813129279,14.528721,120.998695,236,290.8,16.9,313,2,-2085.167657242961,2053.7731319135446,129.0,-7.399999999999977,-1.0,-0.1111111111111111,-0.8222222222222197,697.1458781141793,0.0075384531542832395
A20N,3fa2a9a0,4,1778466910,2026-05-11 10:35:10.000 PHT,9,109,6.0,0.04389850986709625,14.532305,120.994987,343,285.2,13.0,314,2,-2484.290668490478,2452.296299470017,107.0,-5.600000000000023,1.0,0.16666666666666666,-0.9333333333333371,564.0213387109516,0.00898779230099929
