aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A320,3f9b2814,4,1778285777,2026-05-09 08:16:17.000 PHT,0,0,0.0,0.0,14.51033,121.017883,0,7.4,0.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A320,3f9b2814,4,1778285814,2026-05-09 08:16:54.000 PHT,1,37,37.0,0.016192560175054705,14.510479,121.01767,0,5.6,0.0,315,1,-22.92906597100175,16.568066954525456,0.0,-1.8000000000000007,-53.0,-1.4324324324324325,-0.048648648648648665,28.288564985021694,7.686352427769477e-05
A320,3f9b2814,4,1778285822,2026-05-09 08:17:02.000 PHT,2,45,8.0,0.019693654266958426,14.510696,121.017448,0,38.9,0.0,315,1,-46.82694276348668,40.69739936512081,0.0,33.3,0.0,0.0,4.1625,33.96076192455104,0.00016913910807131856
A320,3f9b2814,4,1778285829,2026-05-09 08:17:09.000 PHT,3,52,7.0,0.022757111597374178,14.511784,121.016319,0,114.8,0.0,315,1,-168.36128393673107,161.67764665940985,0.0,75.9,0.0,0.0,10.842857142857143,171.48416798194532,0.0006350827682004057
A320,3f9b2814,4,1778285837,2026-05-09 08:17:17.000 PHT,4,60,8.0,0.0262582056892779,14.514038,121.013977,30,194.5,0.0,314,2,-420.4704776058487,412.31135750583854,30.0,79.7,-1.0,-0.125,9.9625,355.4944686197223,0.0016010051376739406
A320,3f9b2814,4,1778285844,2026-05-09 08:17:24.000 PHT,5,67,7.0,0.029321663019693654,14.516647,121.01133,30,248.2,0.0,315,2,-705.4088071967542,702.4193218352877,0.0,53.69999999999999,1.0,0.14285714285714285,7.67142857142857,406.63562870829264,0.0027058843542741725
A320,3f9b2814,4,1778285853,2026-05-09 08:17:33.000 PHT,6,76,9.0,0.03326039387308534,14.520905,121.006874,38,305.6,8.5,314,2,-1185.0710900216584,1175.8879734694808,8.0,57.400000000000034,-1.0,-0.1111111111111111,6.377777777777782,673.9795330538767,0.004537169971942852
A320,3f9b2814,4,1778285859,2026-05-09 08:17:39.000 PHT,7,82,6.0,0.03588621444201313,14.524521,121.003136,114,307.4,13.7,315,2,-1587.437603324744,1577.9693835940561,76.0,1.7999999999999545,1.0,0.16666666666666666,0.29999999999999244,568.8306638403187,0.006082753127650389
A320,3f9b2814,4,1778285867,2026-05-09 08:17:47.000 PHT,8,90,8.0,0.03938730853391685,14.529007,120.998543,229,307.4,15.3,315,2,-2081.8289827355416,2076.790513521652,115.0,0.0,0.0,0.0,0.0,702.3144490285457,0.007991028210959287
A320,3f9b2814,4,1778285874,2026-05-09 08:17:54.000 PHT,9,97,7.0,0.04245076586433261,14.532398,120.995132,328,303.7,17.2,315,2,-2448.9828426336567,2453.8530305934296,99.0,-3.6999999999999886,0.0,0.0,-0.5285714285714269,526.2874017665442,0.009421016070157748
