aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A320,3f9ba290,4,1778300826,2026-05-09 12:27:06.000 PHT,0,0,0.0,0.0,14.523914,121.00383,0,7.4,0.0,213,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A320,3f9ba290,4,1778300839,2026-05-09 12:27:19.000 PHT,1,13,13.0,0.005747126436781609,14.523708,121.003952,0,5.6,0.0,154,1,13.13228436130332,-22.906186528141436,0.0,-1.8000000000000007,-59.0,-4.538461538461538,-0.13846153846153852,26.403603424682633,7.736817599357075e-05
A320,3f9ba290,4,1778300933,2026-05-09 12:28:53.000 PHT,2,107,94.0,0.04730327144120248,14.523445,121.004234,0,14.8,0.0,135,1,43.487262587096815,-52.15049262954519,0.0,9.200000000000001,-19.0,-0.20212765957446807,0.09787234042553193,42.15037991093074,0.0002008777575719782
A320,3f9ba290,4,1778300940,2026-05-09 12:29:00.000 PHT,3,114,7.0,0.050397877984084884,14.522646,121.005066,0,83.3,0.0,135,1,133.0454298130479,-140.99536173589084,0.0,68.5,0.0,0.0,9.785714285714286,126.15101672655315,0.0005705270780410143
A320,3f9ba290,4,1778300947,2026-05-09 12:29:07.000 PHT,4,121,7.0,0.05349248452696728,14.520969,121.00679,0,148.2,0.0,135,1,318.62133106100606,-327.46951128781325,0.0,64.89999999999999,0.0,0.0,9.27142857142857,263.07990001352215,0.0013414071612341224
A320,3f9ba290,4,1778300955,2026-05-09 12:29:15.000 PHT,5,129,8.0,0.05702917771883289,14.51857,121.009293,46,207.4,0.3,134,2,588.0533008671183,-594.2265087678429,46.0,59.20000000000002,-1.0,-0.125,7.400000000000002,379.14761953273984,0.0024523903586309756
A320,3f9ba290,4,1778300964,2026-05-09 12:29:24.000 PHT,6,138,9.0,0.0610079575596817,14.514404,121.01355,53,264.8,8.5,134,2,1046.2990854969992,-1057.4652130207728,7.0,57.400000000000006,0.0,0.0,6.377777777777778,651.5974932517729,0.004361709655850297
A320,3f9ba290,4,1778300970,2026-05-09 12:29:30.000 PHT,7,144,6.0,0.0636604774535809,14.511703,121.016396,130,264.8,15.0,134,2,1352.6619919206992,-1357.8031247314852,77.0,0.0,0.0,0.0,0.0,429.0235562101157,0.005618839959936841
A320,3f9ba290,4,1778300979,2026-05-09 12:29:39.000 PHT,8,153,9.0,0.06763925729442971,14.507629,121.020607,259,255.6,14.6,135,2,1805.9700101287417,-1810.8118816031517,129.0,-9.200000000000017,1.0,0.1111111111111111,-1.0222222222222241,640.862808977484,0.00749670434818748
A320,3f9ba290,4,1778300985,2026-05-09 12:29:45.000 PHT,9,159,6.0,0.07029177718832891,14.5047,121.023605,343,253.7,13.3,135,2,2128.705566114484,-2136.5022716069134,84.0,-1.9000000000000057,0.0,0.0,-0.3166666666666676,458.51108699904864,0.008840239391619613
