aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_envelope_type,attack_envelope_params,attack_envelope,attack_delta_altitude,attack_std_altitude,altitude_offset,bin_id
A20N,3fa2a9a0,4,1778466801,2026-05-11 10:33:21.000 PHT,0,0,0.0,0.0,14.510251,121.018066,0.0,16.7,0.0,239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A20N,3fa2a9a0,4,1778466809,2026-05-11 10:33:29.000 PHT,1,8,8.0,0.0032219089810712,14.51025,121.01786,0.0,11.1,0.0,278,1,-22.17554402017263,-0.1111950803195366,0.0,-5.6,39.0,4.875,-0.7,22.175822801791774,5.6984170440661966e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A20N,3fa2a9a0,4,1778466857,2026-05-11 10:34:17.000 PHT,2,56,48.0,0.0225533628674989,14.510479,121.017685,0.0,31.5,0.0,315,1,-41.013970392908696,25.35247829304927,0.0,20.4,37.0,0.7708333333333334,0.425,31.674680797076952,0.0001383771101898,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A20N,3fa2a9a0,4,1778466864,2026-05-11 10:34:24.000 PHT,3,63,7.0,0.0253725332259363,14.51145,121.016678,0.0,105.6,0.0,315,1,-149.41539647926766,133.32290119985507,0.0,74.1,0.0,0.0,10.585714285714284,152.99832939612153,0.0005315297321859,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A20N,3fa2a9a0,4,1778466872,2026-05-11 10:34:32.000 PHT,4,71,8.0,0.0285944422070076,14.513429,121.014633,0.0,174.1,0.0,315,1,-369.5538640253175,353.37796498210656,0.0,68.5,0.0,0.0,8.5625,311.2638873023964,0.0013313699259229,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,2
A20N,3fa2a9a0,4,1778466878,2026-05-11 10:34:38.000 PHT,5,77,6.0,0.0310108739428111,14.515686,121.012276,38.0,235.2,0.0,315,2,-623.2758414892128,604.3452610691402,38.0,61.099999999999994,0.0,0.0,10.183333333333332,356.87456796528147,0.0022484137438067,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,4
A20N,3fa2a9a0,4,1778466887,2026-05-11 10:34:47.000 PHT,6,86,9.0,0.0346355215465163,14.519943,121.007866,15.0,298.2,2.0,314,2,-1097.988332138645,1077.702717623367,-23.0,63.0,-1.0,-0.1111111111111111,7.0,670.3874897024873,0.0039710769935964,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,7
A20N,3fa2a9a0,4,1778466895,2026-05-11 10:34:55.000 PHT,7,94,8.0,0.0378574305275875,14.524338,121.003326,107.0,298.2,14.3,314,2,-1586.6850292258443,1566.405095249666,92.0,0.0,0.0,0.0,0.0,691.1256540493745,0.0057470301304099,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,11
A20N,3fa2a9a0,4,1778466904,2026-05-11 10:35:04.000 PHT,8,103,9.0,0.0414820781312927,14.528721,120.998695,236.0,290.8,16.9,313,2,-2085.167657242961,2053.7731319135446,129.0,-7.399999999999977,-1.0,-0.1111111111111111,-0.8222222222222197,697.1458781141793,0.0075384531542832,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,15
A20N,3fa2a9a0,4,1778466910,2026-05-11 10:35:10.000 PHT,9,109,6.0,0.0438985098670962,14.532305,120.994987,343.0,285.2,13.0,314,2,-2484.290668490478,2452.296299470017,107.0,-5.600000000000023,1.0,0.1666666666666666,-0.9333333333333372,564.0213387109516,0.0089877923009992,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,17
A20N,3fa2a9a0,4,1778466917,2026-05-11 10:35:17.000 PHT,10,116,7.0,0.0467176802255336,14.535553,120.991623,419.0,283.4,13.0,314,2,-2846.3805121638884,2813.4579200688327,76.0,-1.8000000000000114,0.0,0.0,-0.2571428571428588,511.4165633942263,0.0103019554269906,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,20
A20N,3fa2a9a0,4,1778466925,2026-05-11 10:35:25.000 PHT,11,124,8.0,0.0499395892066049,14.539856,120.987221,541.0,279.7,12.7,315,3,-3320.1888141177023,3291.930350313868,122.0,-3.6999999999999886,1.0,0.125,-0.4624999999999986,673.3726420992851,0.0120322894827067,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,24
A20N,3fa2a9a0,4,1778466932,2026-05-11 10:35:32.000 PHT,12,131,7.0,0.0527587595650422,14.542923,120.984146,602.0,290.8,7.2,315,3,-3651.15978568009,3632.9656613900543,61.0,11.100000000000025,0.0,0.0,1.585714285714289,475.2340832206618,0.0132534761885848,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,26
A20N,3fa2a9a0,4,1778466940,2026-05-11 10:35:40.000 PHT,13,139,8.0,0.0559806685461135,14.547729,120.979218,663.0,313.0,6.5,315,3,-4181.565855398127,4167.369216992317,61.0,22.19999999999999,0.0,0.0,2.7749999999999986,752.9397400173447,0.0151882700792192,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,30
A20N,3fa2a9a0,4,1778466947,2026-05-11 10:35:47.000 PHT,14,146,7.0,0.0587998389045509,14.551346,120.975525,716.0,329.7,7.5,315,3,-4579.039791519574,4569.561822196858,53.0,16.69999999999999,0.0,0.0,2.385714285714284,565.4598223908089,0.0166413056298938,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,33
A20N,3fa2a9a0,4,1778466955,2026-05-11 10:35:55.000 PHT,15,154,8.0,0.0620217478856222,14.556839,120.969986,785.0,348.2,6.8,315,3,-5175.183882693473,5180.356397919933,69.0,18.5,0.0,0.0,2.3125,853.4983866946991,0.0188345003524955,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,37
A20N,3fa2a9a0,4,1778466962,2026-05-11 10:36:02.000 PHT,16,161,7.0,0.0648409182440596,14.560776,120.965958,831.0,366.7,6.8,314,3,-5608.69550195034,5618.131428799141,46.0,18.5,-1.0,-0.1428571428571428,2.642857142857143,616.1003270718609,0.0204176644298877,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,40
A20N,3fa2a9a0,4,1778466970,2026-05-11 10:36:10.000 PHT,17,169,8.0,0.0680628272251308,14.566708,120.959808,892.0,392.6,7.2,314,3,-6270.572589088035,6277.740644744652,61.0,25.90000000000003,0.0,0.0,3.2375000000000043,934.4329708052736,0.0228188329524572,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,45
A20N,3fa2a9a0,4,1778466977,2026-05-11 10:36:17.000 PHT,18,176,7.0,0.0708819975835682,14.571362,120.954994,937.0,413.0,7.8,314,3,-6788.653719907435,6795.242548151429,45.0,20.399999999999977,0.0,0.0,2.914285714285711,732.2677399921806,0.024700506975418,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,49
A20N,3fa2a9a0,4,1778466986,2026-05-11 10:36:26.000 PHT,19,185,9.0,0.0745066451872734,14.578113,120.94796,1021.0,437.1,9.8,314,3,-7545.63172741573,7545.920534807908,84.0,24.100000000000023,0.0,0.0,2.6777777777777803,1066.0822977567211,0.0274399685909857,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,54
A20N,3fa2a9a0,4,1778466994,2026-05-11 10:36:34.000 PHT,20,193,8.0,0.0777285541683447,14.584351,120.941498,1097.0,453.7,10.1,314,3,-8241.031717184262,8239.555445304672,76.0,16.599999999999966,0.0,0.0,2.0749999999999957,982.1964881094478,0.0299638727809185,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,59
A20N,3fa2a9a0,4,1778467001,2026-05-11 10:36:41.000 PHT,21,200,7.0,0.0805477245267821,14.589661,120.935936,1166.0,468.6,9.8,314,3,-8839.5647712942,8830.001321344833,69.0,14.900000000000034,0.0,0.0,2.1285714285714334,840.7534500591178,0.0321243174383709,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,64
