aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_envelope_type,attack_envelope_params,attack_envelope,attack_delta_altitude,attack_std_altitude,altitude_offset,bin_id
A320,3f9b27d4,4,1778286561,2026-05-09 08:29:21.000 PHT,0,0,0.0,0.0,14.510251,121.018173,0.0,18.5,0.0,236,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9b27d4,4,1778286568,2026-05-09 08:29:28.000 PHT,1,7,7.0,0.0028865979381443,14.510158,121.017967,0.0,11.1,0.0,250,1,-22.17554862516635,-10.341142461582676,0.0,-7.4,14.0,2.0,-1.0571428571428572,24.468228056761745,6.704888430900555e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9b27d4,4,1778286613,2026-05-09 08:30:13.000 PHT,2,52,45.0,0.0214432989690721,14.510461,121.017693,0.0,18.5,0.0,315,1,-51.67114590362702,23.350966849065923,0.0,7.4,65.0,1.4444444444444444,0.1644444444444444,44.77889848251639,0.0001897539358098,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9b27d4,4,1778286621,2026-05-09 08:30:21.000 PHT,3,60,8.0,0.0247422680412371,14.511532,121.016594,0.0,96.3,0.0,315,1,-169.97612921016358,142.4408977793375,0.0,77.8,0.0,0.0,9.725,167.86451983774128,0.0006497434677071,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A320,3f9b27d4,4,1778286628,2026-05-09 08:30:28.000 PHT,4,67,7.0,0.0276288659793814,14.513477,121.014595,0.0,166.7,0.0,315,1,-385.1627096171354,358.7153288332004,0.0,70.39999999999999,0.0,0.0,10.057142857142855,305.09006425708606,0.0014857643015308,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,2
A320,3f9b27d4,4,1778286637,2026-05-09 08:30:37.000 PHT,5,76,9.0,0.031340206185567,14.516739,121.01123,30.0,235.2,0.0,315,2,-747.3909971809312,721.4336805550747,30.0,68.5,0.0,0.0,7.611111111111111,512.6149417186883,0.0028904536743219,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,5
A320,3f9b27d4,4,1778286645,2026-05-09 08:30:45.000 PHT,6,84,8.0,0.0346391752577319,14.521086,121.006744,30.0,298.2,5.9,315,2,-1230.2819844202606,1204.7986943302797,0.0,63.0,0.0,0.0,7.875,683.2464368351158,0.0047627147629314,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,9
A320,3f9b27d4,4,1778286654,2026-05-09 08:30:54.000 PHT,7,93,9.0,0.0383505154639175,14.525415,121.002167,130.0,301.9,14.3,313,2,-1722.959210991257,1686.1621966611474,100.0,3.6999999999999886,-2.0,-0.2222222222222222,0.4111111111111099,688.7972416139501,0.0066501864040408,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,13
A320,3f9b27d4,4,1778286660,2026-05-09 08:31:00.000 PHT,8,99,6.0,0.0408247422680412,14.529053,120.998306,213.0,303.7,12.0,314,2,-2138.5573673571807,2090.6898985506305,83.0,1.8000000000000114,1.0,0.1666666666666666,0.3000000000000019,579.9693276116897,0.008239443143826,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,16
A320,3f9b27d4,4,1778286662,2026-05-09 08:31:02.000 PHT,9,101,2.0,0.0416494845360824,14.530117,120.997154,236.0,303.7,13.0,314,2,-2262.557467679994,2209.001463919373,23.0,0.0,0.0,0.0,0.0,171.387337579527,0.0087090860514669,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,17
A320,3f9b27d4,4,1778286665,2026-05-09 08:31:05.000 PHT,10,104,3.0,0.0428865979381443,14.531204,120.996033,267.0,303.7,14.0,314,2,-2383.219908883151,2329.8705161333423,31.0,0.0,0.0,0.0,0.0,170.78871732758404,0.009177088594308,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,18
A320,3f9b27d4,4,1778286667,2026-05-09 08:31:07.000 PHT,11,106,2.0,0.0437113402061855,14.532303,120.994896,297.0,303.7,16.3,314,2,-2505.60397555581,2452.0739093097313,30.0,0.0,0.0,0.0,0.0,172.9495846256815,0.0096510124380762,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,19
A320,3f9b27d4,4,1778286669,2026-05-09 08:31:09.000 PHT,12,108,2.0,0.0445360824742268,14.533401,120.993713,335.0,301.9,16.9,314,3,-2632.9390013730554,2574.166107406155,38.0,-1.8000000000000114,0.0,0.0,-0.9000000000000057,176.4105444775053,0.010134420151954,1,modified_altitude,1,3.0,0.3,1,20,120,140,120,0.4,beta,alpha=2.18;beta=2.00,0.0,203.95230496499232,212.23379174672337,0.0,20
A320,3f9b27d4,4,1778286677,2026-05-09 08:31:17.000 PHT,13,116,8.0,0.0478350515463917,14.537796,120.989166,473.4499655681118,294.5,14.0,315,3,-3122.359068766051,3062.8684850324535,130.0,-7.399999999999977,1.0,0.125,-0.9249999999999972,691.6375768405288,0.0120296750010491,1,modified_altitude,1,3.0,0.3,1,20,120,140,120,0.4,beta,alpha=2.18;beta=2.00,0.0414310863981763,203.95230496499232,212.23379174672337,8.449965568111798,24
A320,3f9b27d4,4,1778286686,2026-05-09 08:31:26.000 PHT,14,125,9.0,0.0515463917525773,14.542268,120.984581,590.7138226494621,288.9,9.8,315,3,-3615.8591147437087,3560.1328838369905,107.0,-5.600000000000023,0.0,0.0,-0.6222222222222248,700.5818895815052,0.0139494394382027,1,modified_altitude,1,3.0,0.3,1,20,120,140,120,0.4,beta,alpha=2.18;beta=2.00,0.09175587720214459,203.95230496499232,212.23379174672337,18.71382264946218,27
A320,3f9b27d4,4,1778286692,2026-05-09 08:31:32.000 PHT,15,131,6.0,0.054020618556701,14.54548,120.981346,654.5452319663638,294.5,4.9,315,3,-3964.047286521279,3917.291481547132,53.0,5.600000000000023,0.0,0.0,0.9333333333333372,498.7965407807413,0.0153162630381363,1,modified_altitude,1,3.0,0.3,1,20,120,140,120,0.4,beta,alpha=2.18;beta=2.00,0.14486343741707217,203.95230496499232,212.23379174672337,29.545231966363783,30
A320,3f9b27d4,4,1778286700,2026-05-09 08:31:40.000 PHT,16,139,8.0,0.0573195876288659,14.550201,120.976616,703.6002914233909,313.0,5.5,315,3,-4473.13531488053,4442.243455329661,38.0,18.5,0.0,0.0,2.3125,731.2639460145914,0.0173201037576987,1,modified_altitude,1,3.0,0.3,1,20,120,140,120,0.4,beta,alpha=2.18;beta=2.00,0.1990675782279579,203.95230496499232,212.23379174672337,40.600291423390935,34
A320,3f9b27d4,4,1778286708,2026-05-09 08:31:48.000 PHT,17,147,8.0,0.0606185567010309,14.554916,120.971687,783.6955773473404,331.5,6.2,314,3,-5003.632373884467,4966.528258630625,69.0,18.5,-1.0,-0.125,2.3125,745.8561489793416,0.0193639306555054,1,modified_altitude,1,3.0,0.3,1,20,120,140,120,0.4,beta,alpha=2.18;beta=2.00,0.2534689537154964,203.95230496499232,212.23379174672337,51.69557734734044,38
A320,3f9b27d4,4,1778286715,2026-05-09 08:31:55.000 PHT,18,154,7.0,0.0635051546391752,14.558654,120.967857,824.7127716537173,344.5,5.2,315,3,-5415.837832818558,5382.175468543574,30.0,13.0,1.0,0.1428571428571428,1.8571428571428572,585.3857335127705,0.0209680296622413,1,modified_altitude,1,3.0,0.3,1,20,120,140,120,0.4,beta,alpha=2.18;beta=2.00,0.3074874376363712,203.95230496499232,212.23379174672337,62.71277165371724,41
A320,3f9b27d4,4,1778286723,2026-05-09 08:32:03.000 PHT,19,162,8.0,0.0668041237113402,14.564147,120.962219,888.5673696097309,364.8,6.5,315,3,-6022.6175308675065,5992.970044266296,53.0,20.30000000000001,0.0,0.0,2.5375000000000014,860.9602624910017,0.0233272697715167,1,modified_altitude,1,3.0,0.3,1,20,120,140,120,0.4,beta,alpha=2.18;beta=2.00,0.3607086942329898,203.95230496499232,212.23379174672337,73.5673696097309,46
A320,3f9b27d4,4,1778286730,2026-05-09 08:32:10.000 PHT,20,169,7.0,0.0696907216494845,14.568512,120.957718,937.1950040657096,379.7,5.2,314,3,-6507.019089895839,6478.336569485838,38.0,14.899999999999975,-1.0,-0.1428571428571428,2.1285714285714255,685.7301714925965,0.0252063368959911,1,modified_altitude,1,3.0,0.3,1,20,120,140,120,0.4,beta,alpha=2.18;beta=2.00,0.41281712447506463,203.95230496499232,212.23379174672337,84.19500406570958,50
A320,3f9b27d4,4,1778286739,2026-05-09 08:32:19.000 PHT,21,178,9.0,0.0734020618556701,14.574509,120.950905,986.5444152923005,405.6,2.3,310,3,-7240.23188377751,7145.17346564646,39.0,25.90000000000003,-4.0,-0.4444444444444444,2.8777777777777818,991.0903134173903,0.0279221649326574,1,modified_altitude,1,3.0,0.3,1,20,120,140,120,0.4,beta,alpha=2.18;beta=2.00,0.46356139641828903,203.95230496499232,212.23379174672337,94.54441529230058,55
