latitude,longitude,altitude_feet,altitude_meters,speed_kmh,speed_kts,speed_mph,verticalSpeed_fpm,verticalSpeed_ms,heading,squawk,timestamp
14.523411,121.007988,0,0,0,0,0,0,0,45,0,1778465643
14.523204,121.007782,0,0,5.6,3,3.5,0,0,33,0,1778465695
14.522999,121.007629,0,0,5.6,3,3.5,0,0,11,0,1778465715
14.522793,121.007584,0,0,3.7,2,2.3,0,0,343,4072,1778465734
14.522587,121.007645,0,0,3.7,2,2.3,0,0,320,4072,1778465753
14.522378,121.007835,0,0,3.7,2,2.3,0,0,315,4072,1778465778
14.522175,121.008049,0,0,3.7,2,2.3,0,0,315,4072,1778465804
14.521969,121.008247,0,0,5.6,3,3.5,0,0,315,4072,1778465828
14.521785,121.008453,0,0,3.7,2,2.3,0,0,315,4072,1778465850
14.52158,121.008652,0,0,0,0,0,0,0,315,4072,1778465875
14.521786,121.008438,0,0,11.1,6,6.9,0,0,315,4072,1778466441
14.522052,121.008179,0,0,16.7,9,10.4,0,0,315,4072,1778466451
14.52218,121.00795,0,0,14.8,8,9.2,0,0,295,4072,1778466457
14.522106,121.007713,0,0,16.7,9,10.4,0,0,253,4072,1778466463
14.521889,121.007553,0,0,18.5,10,11.5,0,0,213,4072,1778466469
14.52168,121.007538,0,0,20.4,11,12.7,0,0,182,4072,1778466473
14.521477,121.007706,0,0,20.4,11,12.7,0,0,140,4072,1778466478
14.521282,121.007919,0,0,22.2,12,13.8,0,0,135,4072,1778466483
14.52104,121.008163,0,0,24.1,13,15,0,0,135,4072,1778466490
14.520836,121.008392,0,0,24.1,13,15,0,0,135,4072,1778466494
14.520597,121.008636,0,0,25.9,14,16.1,0,0,135,4072,1778466500
14.520275,121.008957,0,0,27.8,15,17.3,0,0,135,4072,1778466506
14.519863,121.009377,0,0,27.8,15,17.3,0,0,135,4072,1778466514
14.51948,121.009781,0,0,29.6,16,18.4,0,0,135,4072,1778466521
14.519096,121.010178,0,0,31.5,17,19.6,0,0,135,4072,1778466528
14.518642,121.010635,0,0,33.3,18,20.7,0,0,135,4072,1778466536
14.518192,121.011116,0,0,33.3,18,20.7,0,0,135,4072,1778466543
14.517757,121.011551,0,0,35.2,19,21.9,0,0,135,4072,1778466550
14.517242,121.012093,0,0,31.5,17,19.6,0,0,135,4072,1778466558
14.517013,121.012344,0,0,14.8,8,9.2,0,0,135,4072,1778466564
14.516796,121.012558,0,0,11.1,6,6.9,0,0,135,4072,1778466590
14.516582,121.012779,0,0,16.7,9,10.4,0,0,135,4072,1778466598
14.516327,121.013031,0,0,18.5,10,11.5,0,0,135,4072,1778466606
14.516098,121.013268,0,0,18.5,10,11.5,0,0,135,4072,1778466613
14.515849,121.013535,0,0,22.2,12,13.8,0,0,135,4072,1778466620
14.515526,121.01387,0,0,27.8,15,17.3,0,0,135,4072,1778466627
14.515127,121.014275,0,0,27.8,15,17.3,0,0,135,4072,1778466635
14.514793,121.014626,0,0,29.6,16,18.4,0,0,135,4072,1778466641
14.514371,121.015053,0,0,29.6,16,18.4,0,0,135,4072,1778466649
14.514033,121.015419,0,0,29.6,16,18.4,0,0,135,4072,1778466655
14.513626,121.015823,0,0,31.5,17,19.6,0,0,135,4072,1778466662
14.513203,121.016273,0,0,31.5,17,19.6,0,0,135,4072,1778466669
14.512814,121.016663,0,0,31.5,17,19.6,0,0,135,4072,1778466676
14.512392,121.017113,0,0,31.5,17,19.6,0,0,135,4072,1778466683
14.511898,121.017624,0,0,31.5,17,19.6,0,0,135,4072,1778466692
14.51152,121.018013,0,0,18.5,10,11.5,0,0,135,4072,1778466700
14.511303,121.018227,0,0,7.4,4,4.6,0,0,135,4072,1778466709
14.51112,121.018433,0,0,13,7,8.1,0,0,135,4072,1778466770
14.510915,121.018608,0,0,14.8,8,9.2,0,0,140,4072,1778466778
14.510708,121.018654,0,0,14.8,8,9.2,0,0,168,4072,1778466783
14.510507,121.018539,0,0,16.7,9,10.4,0,0,210,4072,1778466789
14.510376,121.018303,0,0,18.5,10,11.5,0,0,239,4072,1778466795
14.510251,121.018066,0,0,16.7,9,10.4,0,0,239,4072,1778466801
14.51025,121.01786,0,0,11.1,6,6.9,0,0,278,4072,1778466809
14.510479,121.017685,0,0,31.5,17,19.6,0,0,315,4072,1778466857
14.51145,121.016678,0,0,105.6,57,65.6,0,0,315,4072,1778466864
14.513429,121.014633,0,0,174.1,94,108.2,0,0,315,4072,1778466872
14.515686,121.012276,125,38,235.2,127,146.1,0,0,315,4072,1778466878
14.519943,121.007866,50,15,298.2,161,185.3,384,2,314,4072,1778466887
14.524338,121.003326,350,107,298.2,161,185.3,2816,14.3,314,4072,1778466895
14.528721,120.998695,775,236,290.8,157,180.7,3328,16.9,313,4072,1778466904
14.532305,120.994987,1125,343,285.2,154,177.2,2560,13,314,4072,1778466910
14.535553,120.991623,1375,419,283.4,153,176.1,2560,13,314,4072,1778466917
14.539856,120.987221,1775,541,279.7,151,173.8,2496,12.7,315,4072,1778466925
14.542923,120.984146,1975,602,290.8,157,180.7,1408,7.2,315,4072,1778466932
14.547729,120.979218,2175,663,313,169,194.5,1280,6.5,315,4072,1778466940
14.551346,120.975525,2350,716,329.7,178,204.8,1472,7.5,315,4072,1778466947
14.556839,120.969986,2575,785,348.2,188,216.3,1344,6.8,315,4072,1778466955
14.560776,120.965958,2725,831,366.7,198,227.9,1344,6.8,314,4072,1778466962
14.566708,120.959808,2925,892,392.6,212,244,1408,7.2,314,4072,1778466970
14.571362,120.954994,3075,937,413,223,256.6,1536,7.8,314,4072,1778466977
14.578113,120.94796,3350,1021,437.1,236,271.6,1920,9.8,314,4072,1778466986
14.584351,120.941498,3600,1097,453.7,245,281.9,1984,10.1,314,4072,1778466994
14.589661,120.935936,3825,1166,468.6,253,291.1,1920,9.8,314,4072,1778467001
14.597168,120.928123,4075,1242,492.6,266,306.1,1728,8.8,314,4072,1778467009
14.603256,120.921875,4300,1311,507.4,274,315.3,2048,10.4,314,4072,1778467016
14.610992,120.913826,4650,1417,520.4,281,323.4,3008,15.3,314,4072,1778467025
14.616704,120.907959,4975,1516,522.3,282,324.5,3584,18.2,314,4072,1778467031
14.625037,120.899193,5525,1684,520.4,281,323.4,3904,19.8,314,4072,1778467040
14.631546,120.89109,6025,1836,520.4,281,323.4,3712,18.9,303,4072,1778467048
14.632998,120.888733,6150,1875,520.4,281,323.4,3456,17.6,300,4072,1778467050
14.634567,120.885696,6300,1920,522.3,282,324.5,3328,16.9,296,4072,1778467052
14.635652,120.883194,6425,1958,524.1,283,325.7,3200,16.3,293,4072,1778467054
14.636629,120.880638,6525,1989,526,284,326.8,3136,15.9,290,4072,1778467056
14.637374,120.878181,6625,2019,527.8,285,328,3008,15.3,287,4072,1778467059
14.638275,120.87471,6750,2057,531.5,287,330.3,2880,14.6,283,4072,1778467061
14.638824,120.872147,6850,2088,531.5,287,330.3,2816,14.3,282,4072,1778467063
14.639282,120.869507,6950,2118,533.4,288,331.4,2752,14,280,4072,1778467065
14.639701,120.86676,7025,2141,535.2,289,332.6,2752,14,278,4072,1778467067
14.640213,120.863197,7150,2179,538.9,291,334.9,2752,14,278,4072,1778467069
14.640539,120.860985,7225,2202,538.9,291,334.9,2688,13.7,277,4072,1778467071
14.64093,120.85804,7325,2233,540.8,292,336,2688,13.7,277,4072,1778467073
14.641377,120.854477,7450,2271,544.5,294,338.3,2688,13.7,277,4072,1778467075
14.641708,120.851601,7525,2294,546.3,295,339.5,2752,14,277,4072,1778467077
14.642075,120.848663,7625,2324,546.3,295,339.5,2752,14,277,4072,1778467080
14.642355,120.846382,7700,2347,548.2,296,340.6,2752,14,277,4072,1778467082
14.64267,120.843498,7800,2377,550,297,341.8,2816,14.3,277,4072,1778467084
14.643147,120.839729,7925,2416,551.9,298,342.9,2816,14.3,277,4072,1778467086
14.643448,120.837013,8025,2446,551.9,298,342.9,2816,14.3,277,4072,1778467088
14.645828,120.818214,8725,2659,550,297,341.8,3328,16.9,276,4072,1778467101
14.646218,120.802872,9300,2835,548.2,296,340.6,2880,14.6,265,4072,1778467112
14.645986,120.800507,9375,2858,548.2,296,340.6,2880,14.6,263,4072,1778467114
14.645427,120.796844,9500,2896,550,297,341.8,2816,14.3,260,4072,1778467116
14.644915,120.794197,9575,2918,550,297,341.8,2688,13.7,258,4072,1778467119
14.64417,120.791016,9700,2957,551.9,298,342.9,2624,13.3,255,4072,1778467121
14.643356,120.788239,9775,2979,551.9,298,342.9,2496,12.7,251,4072,1778467123
14.642355,120.785522,9875,3010,551.9,298,342.9,2368,12,248,4072,1778467125
14.641205,120.7827,9950,3033,551.9,298,342.9,2304,11.7,245,4072,1778467127
14.639655,120.779549,10050,3063,553.7,299,344.1,2304,11.7,242,4072,1778467129
14.638211,120.777092,10125,3086,555.6,300,345.2,2304,11.7,238,4072,1778467131
14.636536,120.774551,10200,3109,555.6,300,345.2,2304,11.7,235,4072,1778467133
14.634767,120.772224,10275,3132,557.5,301,346.4,2048,10.4,230,4072,1778467136
14.632462,120.769577,10350,3155,559.3,302,347.5,1792,9.1,226,4072,1778467138
14.630035,120.767166,10425,3178,563,304,349.8,1472,7.5,223,4072,1778467140
14.628575,120.765862,10450,3185,564.9,305,351,1152,5.9,220,4072,1778467142
14.625689,120.76355,10525,3208,570.4,308,354.4,1024,5.2,216,4072,1778467144
14.623268,120.761909,10550,3216,572.3,309,355.6,960,4.9,213,4072,1778467147
14.620009,120.759987,10600,3231,576,311,357.9,896,4.6,209,4072,1778467149
14.61795,120.758972,10625,3239,583.4,315,362.5,832,4.2,204,4072,1778467151
14.614749,120.757622,10650,3246,585.2,316,363.6,832,4.2,202,4072,1778467153
14.611677,120.756561,10675,3254,590.8,319,367.1,768,3.9,197,4072,1778467155
