aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A20N,3fa2a9a0,4,1778466801,2026-05-11 10:33:21.000 PHT,14.510251,121.018066,0,16.7,0.0,239,0,0
A20N,3fa2a9a0,4,1778466809,2026-05-11 10:33:29.000 PHT,14.51025,121.01786,0,11.1,0.0,278,1,0
A20N,3fa2a9a0,4,1778466857,2026-05-11 10:34:17.000 PHT,14.510479,121.017685,0,31.5,0.0,315,1,0
A20N,3fa2a9a0,4,1778466864,2026-05-11 10:34:24.000 PHT,14.51145,121.016678,0,105.6,0.0,315,1,0
A20N,3fa2a9a0,4,1778466872,2026-05-11 10:34:32.000 PHT,14.513429,121.014633,0,174.1,0.0,315,1,0
A20N,3fa2a9a0,4,1778466878,2026-05-11 10:34:38.000 PHT,14.515686,121.012276,38,235.2,0.0,315,2,0
A20N,3fa2a9a0,4,1778466887,2026-05-11 10:34:47.000 PHT,14.519943,121.007866,15,298.2,2.0,314,2,0
A20N,3fa2a9a0,4,1778466895,2026-05-11 10:34:55.000 PHT,14.524338,121.003326,107,298.2,14.3,314,2,0
A20N,3fa2a9a0,4,1778466904,2026-05-11 10:35:04.000 PHT,14.528721,120.998695,236,290.8,16.9,313,2,0
A20N,3fa2a9a0,4,1778466910,2026-05-11 10:35:10.000 PHT,14.532305,120.994987,343,285.2,13.0,314,2,0
A20N,3fa2a9a0,4,1778466917,2026-05-11 10:35:17.000 PHT,14.535553,120.991623,419,283.4,13.0,314,2,0
A20N,3fa2a9a0,4,1778466925,2026-05-11 10:35:25.000 PHT,14.539856,120.987221,541,279.7,12.7,315,3,0
A20N,3fa2a9a0,4,1778466932,2026-05-11 10:35:32.000 PHT,14.542923,120.984146,602,290.8,7.2,315,3,0
A20N,3fa2a9a0,4,1778466940,2026-05-11 10:35:40.000 PHT,14.547729,120.979218,663,313.0,6.5,315,3,0
A20N,3fa2a9a0,4,1778466947,2026-05-11 10:35:47.000 PHT,14.551346,120.975525,716,329.7,7.5,315,3,0
A20N,3fa2a9a0,4,1778466955,2026-05-11 10:35:55.000 PHT,14.556839,120.969986,785,348.2,6.8,315,3,0
A20N,3fa2a9a0,4,1778466962,2026-05-11 10:36:02.000 PHT,14.560776,120.965958,831,366.7,6.8,314,3,0
A20N,3fa2a9a0,4,1778466970,2026-05-11 10:36:10.000 PHT,14.566708,120.959808,892,392.6,7.2,314,3,0
A20N,3fa2a9a0,4,1778466977,2026-05-11 10:36:17.000 PHT,14.571362,120.954994,937,413.0,7.8,314,3,0
A20N,3fa2a9a0,4,1778466986,2026-05-11 10:36:26.000 PHT,14.578113,120.94796,1021,437.1,9.8,314,3,0
A20N,3fa2a9a0,4,1778466994,2026-05-11 10:36:34.000 PHT,14.584351,120.941498,1097,453.7,10.1,314,3,0
A20N,3fa2a9a0,4,1778467001,2026-05-11 10:36:41.000 PHT,14.589661,120.935936,1166,468.6,9.8,314,3,0
A20N,3fa2a9a0,4,1778467009,2026-05-11 10:36:49.000 PHT,14.597168,120.928123,1242,492.6,8.8,314,3,0
A20N,3fa2a9a0,4,1778467016,2026-05-11 10:36:56.000 PHT,14.603256,120.921875,1311,507.4,10.4,314,3,0
A20N,3fa2a9a0,4,1778467025,2026-05-11 10:37:05.000 PHT,14.610992,120.913826,1417,520.4,15.3,314,3,0
A20N,3fa2a9a0,4,1778467031,2026-05-11 10:37:11.000 PHT,14.616704,120.907959,1516,522.3,18.2,314,3,0
A20N,3fa2a9a0,4,1778467040,2026-05-11 10:37:20.000 PHT,14.625037,120.899193,1684,520.4,19.8,314,3,0
A20N,3fa2a9a0,4,1778467048,2026-05-11 10:37:28.000 PHT,14.631546,120.89109,1836,520.4,18.9,303,3,0
A20N,3fa2a9a0,4,1778467050,2026-05-11 10:37:30.000 PHT,14.632998,120.888733,1875,520.4,17.6,300,3,0
A20N,3fa2a9a0,4,1778467052,2026-05-11 10:37:32.000 PHT,14.634567,120.885696,1920,522.3,16.9,296,3,0
A20N,3fa2a9a0,4,1778467054,2026-05-11 10:37:34.000 PHT,14.635652,120.883194,1958,524.1,16.3,293,3,0
A20N,3fa2a9a0,4,1778467056,2026-05-11 10:37:36.000 PHT,14.636629,120.880638,1989,526.0,15.9,290,3,0
A20N,3fa2a9a0,4,1778467059,2026-05-11 10:37:39.000 PHT,14.637374,120.878181,2019,527.8,15.3,287,3,0
A20N,3fa2a9a0,4,1778467061,2026-05-11 10:37:41.000 PHT,14.638275,120.87471,2057,531.5,14.6,283,3,0
A20N,3fa2a9a0,4,1778467063,2026-05-11 10:37:43.000 PHT,14.638824,120.872147,2088,531.5,14.3,282,3,0
A20N,3fa2a9a0,4,1778467065,2026-05-11 10:37:45.000 PHT,14.639282,120.869507,2118,533.4,14.0,280,3,0
A20N,3fa2a9a0,4,1778467067,2026-05-11 10:37:47.000 PHT,14.639701,120.86676,2141,535.2,14.0,278,3,0
A20N,3fa2a9a0,4,1778467069,2026-05-11 10:37:49.000 PHT,14.640213,120.863197,2179,538.9,14.0,278,3,0
A20N,3fa2a9a0,4,1778467071,2026-05-11 10:37:51.000 PHT,14.640539,120.860985,2202,538.9,13.7,277,3,0
A20N,3fa2a9a0,4,1778467073,2026-05-11 10:37:53.000 PHT,14.64093,120.85804,2233,540.8,13.7,277,3,0
A20N,3fa2a9a0,4,1778467075,2026-05-11 10:37:55.000 PHT,14.641377,120.854477,2271,544.5,13.7,277,3,0
A20N,3fa2a9a0,4,1778467077,2026-05-11 10:37:57.000 PHT,14.641708,120.851601,2294,546.3,14.0,277,3,0
A20N,3fa2a9a0,4,1778467080,2026-05-11 10:38:00.000 PHT,14.642075,120.848663,2324,546.3,14.0,277,3,0
A20N,3fa2a9a0,4,1778467082,2026-05-11 10:38:02.000 PHT,14.642355,120.846382,2347,548.2,14.0,277,3,0
A20N,3fa2a9a0,4,1778467084,2026-05-11 10:38:04.000 PHT,14.64267,120.843498,2377,550.0,14.3,277,3,0
A20N,3fa2a9a0,4,1778467086,2026-05-11 10:38:06.000 PHT,14.643147,120.839729,2416,551.9,14.3,277,3,0
A20N,3fa2a9a0,4,1778467088,2026-05-11 10:38:08.000 PHT,14.643448,120.837013,2446,551.9,14.3,277,3,0
A20N,3fa2a9a0,4,1778467101,2026-05-11 10:38:21.000 PHT,14.645828,120.818214,2659,550.0,16.9,276,3,0
A20N,3fa2a9a0,4,1778467112,2026-05-11 10:38:32.000 PHT,14.646218,120.802872,2835,548.2,14.6,265,3,0
A20N,3fa2a9a0,4,1778467114,2026-05-11 10:38:34.000 PHT,14.645986,120.800507,2858,548.2,14.6,263,3,0
A20N,3fa2a9a0,4,1778467116,2026-05-11 10:38:36.000 PHT,14.645427,120.796844,2896,550.0,14.3,260,3,0
A20N,3fa2a9a0,4,1778467119,2026-05-11 10:38:39.000 PHT,14.644915,120.794197,2918,550.0,13.7,258,3,0
A20N,3fa2a9a0,4,1778467121,2026-05-11 10:38:41.000 PHT,14.64417,120.791016,2957,551.9,13.3,255,3,0
A20N,3fa2a9a0,4,1778467123,2026-05-11 10:38:43.000 PHT,14.643356,120.788239,2979,551.9,12.7,251,3,0
A20N,3fa2a9a0,4,1778467125,2026-05-11 10:38:45.000 PHT,14.642355,120.785522,3010,551.9,12.0,248,3,1
A20N,3fa2a9a0,4,1778467127,2026-05-11 10:38:47.000 PHT,14.641205,120.7827,3033,551.9,11.7,245,3,1
A20N,3fa2a9a0,4,1778467129,2026-05-11 10:38:49.000 PHT,14.639655,120.779549,3063,553.7,11.7,242,3,1
A20N,3fa2a9a0,4,1778467131,2026-05-11 10:38:51.000 PHT,14.638211,120.777092,3086,555.6,11.7,238,3,1
A20N,3fa2a9a0,4,1778467133,2026-05-11 10:38:53.000 PHT,14.636536,120.774551,3109,555.6,11.7,235,3,1
A20N,3fa2a9a0,4,1778467136,2026-05-11 10:38:56.000 PHT,14.634767,120.772224,3132,557.5,10.4,230,3,1
A20N,3fa2a9a0,4,1778467138,2026-05-11 10:38:58.000 PHT,14.632462,120.769577,3155,559.3,9.1,226,3,1
A20N,3fa2a9a0,4,1778467140,2026-05-11 10:39:00.000 PHT,14.630035,120.767166,3178,563.0,7.5,223,3,1
A20N,3fa2a9a0,4,1778467142,2026-05-11 10:39:02.000 PHT,14.628575,120.765862,3185,564.9,5.9,220,3,1
A20N,3fa2a9a0,4,1778467144,2026-05-11 10:39:04.000 PHT,14.625689,120.76355,3208,570.4,5.2,216,3,1
A20N,3fa2a9a0,4,1778467147,2026-05-11 10:39:07.000 PHT,14.623268,120.761909,3216,572.3,4.9,213,3,1
A20N,3fa2a9a0,4,1778467149,2026-05-11 10:39:09.000 PHT,14.620009,120.759987,3231,576.0,4.6,209,3,1
A20N,3fa2a9a0,4,1778467151,2026-05-11 10:39:11.000 PHT,14.61795,120.758972,3239,583.4,4.2,204,3,1
