aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3f9b27d4,4,1778286561,2026-05-09 08:29:21.000 PHT,14.510251,121.018173,0,18.5,0.0,236,0,0
A320,3f9b27d4,4,1778286568,2026-05-09 08:29:28.000 PHT,14.510158,121.017967,0,11.1,0.0,250,1,0
A320,3f9b27d4,4,1778286613,2026-05-09 08:30:13.000 PHT,14.510461,121.017693,0,18.5,0.0,315,1,0
A320,3f9b27d4,4,1778286621,2026-05-09 08:30:21.000 PHT,14.511532,121.016594,0,96.3,0.0,315,1,0
A320,3f9b27d4,4,1778286628,2026-05-09 08:30:28.000 PHT,14.513477,121.014595,0,166.7,0.0,315,1,0
A320,3f9b27d4,4,1778286637,2026-05-09 08:30:37.000 PHT,14.516739,121.01123,30,235.2,0.0,315,2,0
A320,3f9b27d4,4,1778286645,2026-05-09 08:30:45.000 PHT,14.521086,121.006744,30,298.2,5.9,315,2,0
A320,3f9b27d4,4,1778286654,2026-05-09 08:30:54.000 PHT,14.525415,121.002167,130,301.9,14.3,313,2,0
A320,3f9b27d4,4,1778286660,2026-05-09 08:31:00.000 PHT,14.529053,120.998306,213,303.7,12.0,314,2,0
A320,3f9b27d4,4,1778286662,2026-05-09 08:31:02.000 PHT,14.530117,120.997154,236,303.7,13.0,314,2,0
A320,3f9b27d4,4,1778286665,2026-05-09 08:31:05.000 PHT,14.531204,120.996033,267,303.7,14.0,314,2,0
A320,3f9b27d4,4,1778286667,2026-05-09 08:31:07.000 PHT,14.532303,120.994896,297,303.7,16.3,314,2,0
A320,3f9b27d4,4,1778286669,2026-05-09 08:31:09.000 PHT,14.533401,120.993713,335,301.9,16.9,314,3,0
A320,3f9b27d4,4,1778286677,2026-05-09 08:31:17.000 PHT,14.537796,120.989166,465,294.5,14.0,315,3,0
A320,3f9b27d4,4,1778286686,2026-05-09 08:31:26.000 PHT,14.542268,120.984581,572,288.9,9.8,315,3,0
A320,3f9b27d4,4,1778286692,2026-05-09 08:31:32.000 PHT,14.54548,120.981346,625,294.5,4.9,315,3,0
A320,3f9b27d4,4,1778286700,2026-05-09 08:31:40.000 PHT,14.550201,120.976616,663,313.0,5.5,315,3,0
A320,3f9b27d4,4,1778286708,2026-05-09 08:31:48.000 PHT,14.554916,120.971687,732,331.5,6.2,314,3,0
A320,3f9b27d4,4,1778286715,2026-05-09 08:31:55.000 PHT,14.558654,120.967857,762,344.5,5.2,315,3,0
A320,3f9b27d4,4,1778286723,2026-05-09 08:32:03.000 PHT,14.564147,120.962219,815,364.8,6.5,315,3,0
A320,3f9b27d4,4,1778286730,2026-05-09 08:32:10.000 PHT,14.568512,120.957718,853,379.7,5.2,314,3,0
A320,3f9b27d4,4,1778286739,2026-05-09 08:32:19.000 PHT,14.574509,120.950905,892,405.6,2.3,310,3,1
A320,3f9b27d4,4,1778286741,2026-05-09 08:32:21.000 PHT,14.575785,120.949112,892,420.4,3.9,305,3,1
A320,3f9b27d4,4,1778286743,2026-05-09 08:32:23.000 PHT,14.576995,120.946991,899,427.8,6.8,300,3,1
A320,3f9b27d4,4,1778286745,2026-05-09 08:32:25.000 PHT,14.578113,120.944435,922,435.2,10.1,296,3,1
A320,3f9b27d4,4,1778286747,2026-05-09 08:32:27.000 PHT,14.578857,120.942284,945,437.1,13.0,291,3,1
A320,3f9b27d4,4,1778286750,2026-05-09 08:32:30.000 PHT,14.579463,120.940002,975,440.8,14.6,286,3,1
A320,3f9b27d4,4,1778286752,2026-05-09 08:32:32.000 PHT,14.579928,120.937645,1006,440.8,15.9,280,3,1
A320,3f9b27d4,4,1778286754,2026-05-09 08:32:34.000 PHT,14.580208,120.934998,1044,440.8,16.3,278,3,1
A320,3f9b27d4,4,1778286756,2026-05-09 08:32:36.000 PHT,14.580254,120.932251,1082,440.8,15.9,274,3,0
A320,3f9b27d4,4,1778286758,2026-05-09 08:32:38.000 PHT,14.580139,120.92997,1113,442.6,15.3,268,3,0
A320,3f9b27d4,4,1778286760,2026-05-09 08:32:40.000 PHT,14.579835,120.927574,1143,444.5,15.6,264,3,0
A320,3f9b27d4,4,1778286763,2026-05-09 08:32:43.000 PHT,14.579416,120.925354,1173,444.5,15.3,260,3,0
A320,3f9b27d4,4,1778286765,2026-05-09 08:32:45.000 PHT,14.578718,120.922607,1212,442.6,15.3,256,3,0
A320,3f9b27d4,4,1778286767,2026-05-09 08:32:47.000 PHT,14.577805,120.920311,1242,444.5,15.6,252,3,0
A320,3f9b27d4,4,1778286769,2026-05-09 08:32:49.000 PHT,14.576797,120.918129,1273,442.6,16.6,246,3,0
A320,3f9b27d4,4,1778286771,2026-05-09 08:32:51.000 PHT,14.575607,120.915909,1311,440.8,16.9,241,3,0
A320,3f9b27d4,4,1778286774,2026-05-09 08:32:54.000 PHT,14.574295,120.91394,1349,438.9,16.6,237,3,0
A320,3f9b27d4,4,1778286776,2026-05-09 08:32:56.000 PHT,14.572946,120.912155,1387,437.1,15.9,233,3,0
A320,3f9b27d4,4,1778286778,2026-05-09 08:32:58.000 PHT,14.571396,120.910416,1417,435.2,15.0,229,3,1
A320,3f9b27d4,4,1778286780,2026-05-09 08:33:00.000 PHT,14.569382,120.908516,1455,433.4,14.0,223,3,1
A320,3f9b27d4,4,1778286782,2026-05-09 08:33:02.000 PHT,14.567734,120.907196,1478,433.4,13.0,219,3,1
A320,3f9b27d4,4,1778286784,2026-05-09 08:33:04.000 PHT,14.565497,120.905602,1509,433.4,12.7,215,3,1
A320,3f9b27d4,4,1778286787,2026-05-09 08:33:07.000 PHT,14.563797,120.904587,1532,431.5,13.0,211,3,1
A320,3f9b27d4,4,1778286789,2026-05-09 08:33:09.000 PHT,14.56126,120.903435,1570,431.5,13.3,205,3,1
A320,3f9b27d4,4,1778286791,2026-05-09 08:33:11.000 PHT,14.559219,120.902649,1593,429.7,13.7,201,3,1
A320,3f9b27d4,4,1778286793,2026-05-09 08:33:13.000 PHT,14.556656,120.901886,1631,427.8,14.0,197,3,1
A320,3f9b27d4,4,1778286795,2026-05-09 08:33:15.000 PHT,14.554464,120.901459,1661,427.8,14.6,193,3,1
A320,3f9b27d4,4,1778286797,2026-05-09 08:33:17.000 PHT,14.552369,120.901123,1692,426.0,14.6,190,3,1
A320,3f9b27d4,4,1778286800,2026-05-09 08:33:20.000 PHT,14.550321,120.900879,1722,426.0,14.3,187,3,1
A320,3f9b27d4,4,1778286802,2026-05-09 08:33:22.000 PHT,14.547638,120.900749,1753,424.1,13.7,184,3,1
A320,3f9b27d4,4,1778286804,2026-05-09 08:33:24.000 PHT,14.545944,120.900749,1775,426.0,13.7,181,3,1
A320,3f9b27d4,4,1778286806,2026-05-09 08:33:26.000 PHT,14.543338,120.900879,1806,426.0,13.7,179,3,1
A320,3f9b27d4,4,1778286808,2026-05-09 08:33:28.000 PHT,14.541289,120.90107,1836,424.1,13.3,176,3,1
A320,3f9b27d4,4,1778286810,2026-05-09 08:33:30.000 PHT,14.539215,120.90123,1859,426.0,13.0,175,3,1
A320,3f9b27d4,4,1778286812,2026-05-09 08:33:32.000 PHT,14.5371,120.901459,1890,427.8,12.4,174,3,1
A320,3f9b27d4,4,1778286814,2026-05-09 08:33:34.000 PHT,14.534637,120.901749,1913,429.7,12.4,173,3,1
A320,3f9b27d4,4,1778286817,2026-05-09 08:33:37.000 PHT,14.532349,120.902031,1943,429.7,13.0,173,3,1
A320,3f9b27d4,4,1778286819,2026-05-09 08:33:39.000 PHT,14.529652,120.902374,1974,431.5,14.0,172,3,1
A320,3f9b27d4,4,1778286821,2026-05-09 08:33:41.000 PHT,14.527496,120.902649,2004,431.5,14.6,172,3,1
A320,3f9b27d4,4,1778286823,2026-05-09 08:33:43.000 PHT,14.524567,120.903076,2042,431.5,15.0,172,3,1
A320,3f9b27d4,4,1778286825,2026-05-09 08:33:45.000 PHT,14.522781,120.903313,2065,433.4,15.0,172,3,1
A320,3f9b27d4,4,1778286827,2026-05-09 08:33:47.000 PHT,14.520528,120.903625,2103,435.2,15.0,172,3,1
A320,3f9b27d4,4,1778286830,2026-05-09 08:33:50.000 PHT,14.518293,120.903915,2134,435.2,15.0,172,3,1
A320,3f9b27d4,4,1778286843,2026-05-09 08:34:03.000 PHT,14.503281,120.905869,2339,437.1,15.3,172,3,0
A320,3f9b27d4,4,1778286856,2026-05-09 08:34:16.000 PHT,14.489244,120.907578,2537,435.2,15.3,173,3,0
A320,3f9b27d4,4,1778286869,2026-05-09 08:34:29.000 PHT,14.474945,120.90937,2728,437.1,13.0,172,3,0
A320,3f9b27d4,4,1778286883,2026-05-09 08:34:43.000 PHT,14.459963,120.911285,2911,440.8,13.0,172,3,0
A320,3f9b27d4,4,1778286895,2026-05-09 08:34:55.000 PHT,14.445765,120.913071,3056,451.9,10.1,172,3,0
A320,3f9b27d4,4,1778286909,2026-05-09 08:35:09.000 PHT,14.430403,120.915001,3162,477.8,6.2,172,3,0
A320,3f9b27d4,4,1778286922,2026-05-09 08:35:22.000 PHT,14.414383,120.917091,3231,509.3,6.8,172,3,0
A320,3f9b27d4,4,1778286934,2026-05-09 08:35:34.000 PHT,14.3974,120.91922,3353,529.7,12.0,172,3,0
A320,3f9b27d4,4,1778286948,2026-05-09 08:35:48.000 PHT,14.379639,120.921402,3520,537.1,12.7,173,3,0
A320,3f9b27d4,4,1778286963,2026-05-09 08:36:03.000 PHT,14.360046,120.923859,3696,544.5,13.0,172,3,0
A320,3f9b27d4,4,1778286993,2026-05-09 08:36:33.000 PHT,14.317841,120.929115,4054,561.2,10.1,172,3,0
A320,3f9b27d4,4,1778287024,2026-05-09 08:37:04.000 PHT,14.273895,120.934662,4412,572.3,13.7,173,3,0
A320,3f9b27d4,4,1778287056,2026-05-09 08:37:36.000 PHT,14.228714,120.940392,4785,581.5,8.1,172,3,0
A320,3f9b27d4,4,1778287086,2026-05-09 08:38:06.000 PHT,14.182744,120.946266,4938,635.2,4.6,172,3,0
A320,3f9b27d4,4,1778287118,2026-05-09 08:38:38.000 PHT,14.129814,120.952873,5060,687.1,4.2,173,3,0
A320,3f9b27d4,4,1778287148,2026-05-09 08:39:08.000 PHT,14.075684,120.959663,5243,718.6,8.8,172,3,0
A320,3f9b27d4,4,1778287181,2026-05-09 08:39:41.000 PHT,14.017639,120.967003,5547,727.8,10.1,172,3,0
A320,3f9b27d4,4,1778287211,2026-05-09 08:40:11.000 PHT,13.961621,120.974075,5799,740.8,8.1,173,3,0
A320,3f9b27d4,4,1778287243,2026-05-09 08:40:43.000 PHT,13.901505,120.981636,6134,740.8,10.4,173,3,0
A320,3f9b27d4,4,1778287275,2026-05-09 08:41:15.000 PHT,13.842133,120.989166,6393,750.1,6.2,172,3,0
A320,3f9b27d4,4,1778287306,2026-05-09 08:41:46.000 PHT,13.785233,120.996269,6614,761.2,9.1,172,3,0
A320,3f9b27d4,4,1778287338,2026-05-09 08:42:18.000 PHT,13.72261,121.004227,6820,776.0,4.9,172,3,0
A320,3f9b27d4,4,1778287369,2026-05-09 08:42:49.000 PHT,13.663454,121.011658,7018,787.1,5.9,172,3,0
A320,3f9b27d4,4,1778287402,2026-05-09 08:43:22.000 PHT,13.598831,121.019753,7262,792.7,10.7,172,3,0
A320,3f9b27d4,4,1778287434,2026-05-09 08:43:54.000 PHT,13.534132,121.028473,7452,805.6,5.9,169,3,0
A320,3f9b27d4,4,1778287447,2026-05-09 08:44:07.000 PHT,13.508469,121.035622,7536,809.3,6.8,161,3,0
A320,3f9b27d4,4,1778287450,2026-05-09 08:44:10.000 PHT,13.503845,121.037369,7551,807.5,6.8,160,3,0
A320,3f9b27d4,4,1778287452,2026-05-09 08:44:12.000 PHT,13.499357,121.039268,7567,809.3,5.9,158,3,0
A320,3f9b27d4,4,1778287454,2026-05-09 08:44:14.000 PHT,13.495697,121.040924,7574,809.3,4.9,156,3,0
A320,3f9b27d4,4,1778287456,2026-05-09 08:44:16.000 PHT,13.49149,121.042931,7590,811.2,4.2,155,3,0
A320,3f9b27d4,4,1778287459,2026-05-09 08:44:19.000 PHT,13.48758,121.044907,7597,809.3,3.6,153,3,0
A320,3f9b27d4,4,1778287461,2026-05-09 08:44:21.000 PHT,13.484042,121.046883,7597,809.3,2.3,152,3,0
A320,3f9b27d4,4,1778287463,2026-05-09 08:44:23.000 PHT,13.479573,121.04953,7605,807.5,1.6,150,3,0
A320,3f9b27d4,4,1778287465,2026-05-09 08:44:25.000 PHT,13.476654,121.051292,7605,807.5,1.3,149,3,0
A320,3f9b27d4,4,1778287467,2026-05-09 08:44:27.000 PHT,13.472171,121.054298,7612,807.5,1.3,147,3,0
A320,3f9b27d4,4,1778287469,2026-05-09 08:44:29.000 PHT,13.469559,121.05603,7612,805.6,1.0,146,4,0
