aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3f9b2814,4,1778285777,2026-05-09 08:16:17.000 PHT,14.51033,121.017883,0,7.4,0.0,8,0,0
A320,3f9b2814,4,1778285814,2026-05-09 08:16:54.000 PHT,14.510479,121.01767,0,5.6,0.0,315,1,0
A320,3f9b2814,4,1778285822,2026-05-09 08:17:02.000 PHT,14.510696,121.017448,0,38.9,0.0,315,1,0
A320,3f9b2814,4,1778285829,2026-05-09 08:17:09.000 PHT,14.511784,121.016319,0,114.8,0.0,315,1,0
A320,3f9b2814,4,1778285837,2026-05-09 08:17:17.000 PHT,14.514038,121.013977,30,194.5,0.0,314,2,0
A320,3f9b2814,4,1778285844,2026-05-09 08:17:24.000 PHT,14.516647,121.01133,30,248.2,0.0,315,2,0
A320,3f9b2814,4,1778285853,2026-05-09 08:17:33.000 PHT,14.520905,121.006874,38,305.6,8.5,314,2,0
A320,3f9b2814,4,1778285859,2026-05-09 08:17:39.000 PHT,14.524521,121.003136,114,307.4,13.7,315,2,0
A320,3f9b2814,4,1778285867,2026-05-09 08:17:47.000 PHT,14.529007,120.998543,229,307.4,15.3,315,2,0
A320,3f9b2814,4,1778285874,2026-05-09 08:17:54.000 PHT,14.532398,120.995132,328,303.7,17.2,315,2,0
A320,3f9b2814,4,1778285882,2026-05-09 08:18:02.000 PHT,14.536743,120.990631,457,294.5,10.7,314,2,0
A320,3f9b2814,4,1778285890,2026-05-09 08:18:10.000 PHT,14.541092,120.985992,533,296.3,5.9,313,3,0
A320,3f9b2814,4,1778285897,2026-05-09 08:18:17.000 PHT,14.544388,120.982346,564,307.4,3.9,313,3,0
A320,3f9b2814,4,1778285905,2026-05-09 08:18:25.000 PHT,14.549437,120.976868,610,331.5,2.9,313,3,1
A320,3f9b2814,4,1778285908,2026-05-09 08:18:28.000 PHT,14.550553,120.975662,610,338.9,1.0,314,3,1
A320,3f9b2814,4,1778285910,2026-05-09 08:18:30.000 PHT,14.551997,120.974121,617,346.3,1.6,313,3,1
A320,3f9b2814,4,1778285912,2026-05-09 08:18:32.000 PHT,14.553131,120.972923,617,351.9,2.0,314,3,1
A320,3f9b2814,4,1778285914,2026-05-09 08:18:34.000 PHT,14.554459,120.971504,625,361.1,3.3,313,3,1
A320,3f9b2814,4,1778285916,2026-05-09 08:18:36.000 PHT,14.55574,120.970177,632,366.7,4.2,313,3,1
A320,3f9b2814,4,1778285918,2026-05-09 08:18:38.000 PHT,14.557434,120.968376,648,372.3,4.6,314,3,1
A320,3f9b2814,4,1778285921,2026-05-09 08:18:41.000 PHT,14.558807,120.966904,655,376.0,4.6,314,3,1
A320,3f9b2814,4,1778285923,2026-05-09 08:18:43.000 PHT,14.560329,120.965302,663,381.5,4.9,314,3,1
A320,3f9b2814,4,1778285925,2026-05-09 08:18:45.000 PHT,14.561819,120.96376,678,387.1,4.9,314,3,1
A320,3f9b2814,4,1778285927,2026-05-09 08:18:47.000 PHT,14.563169,120.962265,686,392.6,2.9,314,3,1
A320,3f9b2814,4,1778285929,2026-05-09 08:18:49.000 PHT,14.564621,120.960754,686,401.9,1.6,314,3,1
A320,3f9b2814,4,1778285931,2026-05-09 08:18:51.000 PHT,14.566132,120.959145,693,409.3,1.3,314,3,1
A320,3f9b2814,4,1778285933,2026-05-09 08:18:53.000 PHT,14.567642,120.957535,693,414.8,2.3,313,3,1
A320,3f9b2814,4,1778285935,2026-05-09 08:18:55.000 PHT,14.569081,120.956001,701,424.1,3.6,313,3,1
A320,3f9b2814,4,1778285937,2026-05-09 08:18:57.000 PHT,14.570572,120.954453,709,433.4,4.9,313,3,1
A320,3f9b2814,4,1778285944,2026-05-09 08:19:04.000 PHT,14.575378,120.949242,747,448.2,6.8,313,3,1
A320,3f9b2814,4,1778285952,2026-05-09 08:19:12.000 PHT,14.582382,120.941711,800,474.1,5.5,313,3,0
A320,3f9b2814,4,1778285959,2026-05-09 08:19:19.000 PHT,14.588242,120.935371,838,490.8,6.2,313,3,0
A320,3f9b2814,4,1778285968,2026-05-09 08:19:28.000 PHT,14.595243,120.926994,907,514.9,10.4,306,3,1
A320,3f9b2814,4,1778285970,2026-05-09 08:19:30.000 PHT,14.597168,120.923912,930,516.7,11.4,302,3,1
A320,3f9b2814,4,1778285972,2026-05-09 08:19:32.000 PHT,14.598363,120.9216,953,522.3,12.0,297,3,1
A320,3f9b2814,4,1778285975,2026-05-09 08:19:35.000 PHT,14.599503,120.919083,975,524.1,12.0,293,3,1
A320,3f9b2814,4,1778285977,2026-05-09 08:19:37.000 PHT,14.600555,120.916283,1006,527.8,12.4,290,3,1
