aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3f9ba290,4,1778300826,2026-05-09 12:27:06.000 PHT,14.523914,121.00383,0,7.4,0.0,213,0,0
A320,3f9ba290,4,1778300839,2026-05-09 12:27:19.000 PHT,14.523708,121.003952,0,5.6,0.0,154,1,0
A320,3f9ba290,4,1778300933,2026-05-09 12:28:53.000 PHT,14.523445,121.004234,0,14.8,0.0,135,1,0
A320,3f9ba290,4,1778300940,2026-05-09 12:29:00.000 PHT,14.522646,121.005066,0,83.3,0.0,135,1,0
A320,3f9ba290,4,1778300947,2026-05-09 12:29:07.000 PHT,14.520969,121.00679,0,148.2,0.0,135,1,0
A320,3f9ba290,4,1778300955,2026-05-09 12:29:15.000 PHT,14.51857,121.009293,46,207.4,0.3,134,2,0
A320,3f9ba290,4,1778300964,2026-05-09 12:29:24.000 PHT,14.514404,121.01355,53,264.8,8.5,134,2,0
A320,3f9ba290,4,1778300970,2026-05-09 12:29:30.000 PHT,14.511703,121.016396,130,264.8,15.0,134,2,0
A320,3f9ba290,4,1778300979,2026-05-09 12:29:39.000 PHT,14.507629,121.020607,259,255.6,14.6,135,2,0
A320,3f9ba290,4,1778300985,2026-05-09 12:29:45.000 PHT,14.5047,121.023605,343,253.7,13.3,135,2,0
A320,3f9ba290,4,1778300993,2026-05-09 12:29:53.000 PHT,14.500882,121.027321,457,246.3,10.7,136,3,0
A320,3f9ba290,4,1778301000,2026-05-09 12:30:00.000 PHT,14.498062,121.029938,511,244.5,7.2,137,3,0
A320,3f9ba290,4,1778301008,2026-05-09 12:30:08.000 PHT,14.494034,121.033676,579,251.9,6.8,138,3,0
A320,3f9ba290,4,1778301015,2026-05-09 12:30:15.000 PHT,14.490687,121.036713,625,255.6,7.2,138,3,0
A320,3f9ba290,4,1778301024,2026-05-09 12:30:24.000 PHT,14.486404,121.040565,701,261.1,8.5,138,3,0
A320,3f9ba290,4,1778301030,2026-05-09 12:30:30.000 PHT,14.483231,121.043388,754,261.1,8.5,138,3,0
A320,3f9ba290,4,1778301039,2026-05-09 12:30:39.000 PHT,14.479236,121.046974,823,261.1,8.5,139,3,0
A320,3f9ba290,4,1778301045,2026-05-09 12:30:45.000 PHT,14.47593,121.049919,884,261.1,8.5,139,3,0
A320,3f9ba290,4,1778301052,2026-05-09 12:30:52.000 PHT,14.472382,121.053047,945,264.8,8.1,139,3,0
A320,3f9ba290,4,1778301061,2026-05-09 12:31:01.000 PHT,14.467804,121.057022,998,275.9,3.9,139,3,0
