sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.510251,121.018173,0.0,18.5,0.0,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,7,7.0,0.0028865979381443,14.510158,121.017967,0.0,11.1,0.0,250,-22.17554862516635,-10.341142461582676,0.0,-7.4,14.0,2.0,-1.0571428571428572,24.468228056761745,6.704888430900555e-05,0
2,52,45.0,0.0214432989690721,14.510461,121.017693,0.0,18.5,0.0,315,-51.67114590362702,23.350966849065923,0.0,7.4,65.0,1.4444444444444444,0.1644444444444444,44.77889848251639,0.0001897539358098,0
3,60,8.0,0.0247422680412371,14.511532,121.016594,0.0,96.3,0.0,315,-169.97612921016358,142.4408977793375,0.0,77.8,0.0,0.0,9.725,167.86451983774128,0.0006497434677071,0
4,67,7.0,0.0276288659793814,14.513477,121.014595,0.0,166.7,0.0,315,-385.1627096171354,358.7153288332004,0.0,70.39999999999999,0.0,0.0,10.057142857142855,305.09006425708606,0.0014857643015308,0
5,76,9.0,0.031340206185567,14.516739,121.01123,30.0,235.2,0.0,315,-747.3909971809312,721.4336805550747,30.0,68.5,0.0,0.0,7.611111111111111,512.6149417186883,0.0028904536743219,0
6,84,8.0,0.0346391752577319,14.521086,121.006744,30.0,298.2,5.9,315,-1230.2819844202606,1204.7986943302797,0.0,63.0,0.0,0.0,7.875,683.2464368351158,0.0047627147629314,0
7,93,9.0,0.0383505154639175,14.525415,121.002167,130.0,301.9,14.3,313,-1722.959210991257,1686.1621966611474,100.0,3.6999999999999886,-2.0,-0.2222222222222222,0.4111111111111099,688.7972416139501,0.0066501864040408,0
8,99,6.0,0.0408247422680412,14.529053,120.998306,213.0,303.7,12.0,314,-2138.5573673571807,2090.6898985506305,83.0,1.8000000000000114,1.0,0.1666666666666666,0.3000000000000019,579.9693276116897,0.008239443143826,0
9,101,2.0,0.0416494845360824,14.530117,120.997154,236.0,303.7,13.0,314,-2262.557467679994,2209.001463919373,23.0,0.0,0.0,0.0,0.0,171.387337579527,0.0087090860514669,0
10,104,3.0,0.0428865979381443,14.531204,120.996033,267.0,303.7,14.0,314,-2383.219908883151,2329.8705161333423,31.0,0.0,0.0,0.0,0.0,170.78871732758404,0.009177088594308,0
11,106,2.0,0.0437113402061855,14.532303,120.994896,297.0,303.7,16.3,314,-2505.60397555581,2452.0739093097313,30.0,0.0,0.0,0.0,0.0,172.9495846256815,0.0096510124380762,0
