sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.51033,121.017883,0,7.4,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,37,37.0,0.0161925601750547,14.510479,121.01767,0,5.6,0.0,315,-22.92906597100175,16.568066954525456,0.0,-1.8000000000000007,-53.0,-1.4324324324324325,-0.0486486486486486,28.288564985021697,7.686352427769477e-05,0
2,45,8.0,0.0196936542669584,14.510696,121.017448,0,38.9,0.0,315,-46.82694276348668,40.69739936512081,0.0,33.3,0.0,0.0,4.1625,33.96076192455104,0.0001691391080713,0
3,52,7.0,0.0227571115973741,14.511784,121.016319,0,114.8,0.0,315,-168.36128393673107,161.67764665940985,0.0,75.9,0.0,0.0,10.842857142857143,171.48416798194532,0.0006350827682004,0
4,60,8.0,0.0262582056892779,14.514038,121.013977,30,194.5,0.0,314,-420.4704776058487,412.31135750583854,30.0,79.7,-1.0,-0.125,9.9625,355.4944686197223,0.0016010051376739,0
5,67,7.0,0.0293216630196936,14.516647,121.01133,30,248.2,0.0,315,-705.4088071967542,702.4193218352877,0.0,53.69999999999999,1.0,0.1428571428571428,7.67142857142857,406.63562870829264,0.0027058843542741,0
6,76,9.0,0.0332603938730853,14.520905,121.006874,38,305.6,8.5,314,-1185.0710900216584,1175.8879734694808,8.0,57.400000000000034,-1.0,-0.1111111111111111,6.377777777777782,673.9795330538767,0.0045371699719428,0
7,82,6.0,0.0358862144420131,14.524521,121.003136,114,307.4,13.7,315,-1587.437603324744,1577.969383594056,76.0,1.7999999999999543,1.0,0.1666666666666666,0.2999999999999924,568.8306638403187,0.0060827531276503,0
8,90,8.0,0.0393873085339168,14.529007,120.998543,229,307.4,15.3,315,-2081.8289827355416,2076.790513521652,115.0,0.0,0.0,0.0,0.0,702.3144490285457,0.0079910282109592,0
9,97,7.0,0.0424507658643326,14.532398,120.995132,328,303.7,17.2,315,-2448.9828426336567,2453.8530305934296,99.0,-3.6999999999999886,0.0,0.0,-0.5285714285714269,526.2874017665442,0.0094210160701577,0
