aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A20N,3f9c3e07,5,1778317411,2026-05-09 17:03:31.000 PHT,0,0,0.0,0.0,14.523693,121.003975,0,11.1,0.0,135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A20N,3f9c3e07,5,1778317426,2026-05-09 17:03:46.000 PHT,1,15,15.0,0.003973509933774834,14.523491,121.004173,0,1.9,0.0,135,1,21.313072767508416,-22.461406207216953,0.0,-9.2,0.0,0.0,-0.6133333333333333,30.96387959539501,4.822684969951776e-05
A20N,3f9c3e07,5,1778317674,2026-05-09 17:07:54.000 PHT,2,263,248.0,0.06966887417218542,14.523239,121.004433,0,35.2,0.0,135,1,49.299964085360784,-50.48256642616679,0.0,33.300000000000004,0.0,0.0,0.13427419354838713,39.603680907051384,0.00010991035937625996
A20N,3f9c3e07,5,1778317682,2026-05-09 17:08:02.000 PHT,3,271,8.0,0.07178807947019868,14.52211,121.005608,0,107.4,0.0,135,1,175.77957821931238,-176.02181200966655,0.0,72.2,0.0,0.0,9.025,178.2054880724615,0.00038746890181995164
A20N,3f9c3e07,5,1778317688,2026-05-09 17:08:08.000 PHT,4,277,6.0,0.0733774834437086,14.520388,121.007416,69,164.8,0.3,135,2,370.39796885258085,-367.49974017172417,69.0,57.400000000000006,0.0,0.0,9.566666666666668,273.02036492979477,0.0008127034743744484
A20N,3f9c3e07,5,1778317697,2026-05-09 17:08:17.000 PHT,5,286,9.0,0.07576158940397351,14.516968,121.010948,53,237.1,1.0,135,2,750.5972108260108,-747.7869145706462,-16.0,72.29999999999998,0.0,0.0,8.033333333333331,537.7450889983804,0.0016502519961570869
A20N,3f9c3e07,5,1778317703,2026-05-09 17:08:23.000 PHT,6,292,6.0,0.07735099337748344,14.51387,121.014114,99,270.4,12.0,135,2,1091.4037580870001,-1092.2692731339093,46.0,33.29999999999998,0.0,0.0,5.549999999999997,484.57934935950317,0.0024049938358239238
A20N,3f9c3e07,5,1778317711,2026-05-09 17:08:31.000 PHT,7,300,8.0,0.07947019867549669,14.50982,121.018257,213,266.7,15.3,135,2,1537.387427724943,-1542.6093480800291,114.0,-3.6999999999999886,0.0,0.0,-0.4624999999999986,633.8040194327369,0.003392156025560597
A20N,3f9c3e07,5,1778317713,2026-05-09 17:08:33.000 PHT,8,302,2.0,0.08,14.50882,121.019234,244,266.7,15.9,136,2,1642.5604093543548,-1653.8044283132722,31.0,0.0,1.0,0.5,0.0,153.05444948957276,0.00363054133217682
A20N,3f9c3e07,5,1778317716,2026-05-09 17:08:36.000 PHT,9,305,3.0,0.08079470198675497,14.507819,121.020233,274,264.8,16.6,136,2,1750.102073146937,-1765.1107036271885,30.0,-1.8999999999999773,0.0,0.0,-0.6333333333333258,154.7716847430393,0.0038716012663768543
