aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A320,3f9b915d,5,1778298561,2026-05-09 11:49:21.000 PHT,0,0,0.0,0.0,14.498171,121.000023,0,13.0,0.0,149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A320,3f9b915d,5,1778298570,2026-05-09 11:49:30.000 PHT,1,9,9.0,0.0027124773960217,14.497971,121.000206,0,11.1,0.0,132,1,19.700717104933496,-22.23901604657788,0.0,-1.9000000000000004,-17.0,-1.8888888888888888,-0.21111111111111114,29.71013445220459,4.694938721002199e-05
A320,3f9b915d,5,1778298578,2026-05-09 11:49:38.000 PHT,2,17,8.0,0.005123568414707656,14.498005,121.00042,0,11.1,0.0,84,1,42.73871087686837,-18.458383318542932,0.0,0.0,-48.0,-6.0,0.0,23.346153635397865,8.3842105035189e-05
A320,3f9b915d,5,1778298585,2026-05-09 11:49:45.000 PHT,3,24,7.0,0.007233273056057866,14.498131,121.000633,0,18.5,0.0,61,1,65.66903330212634,-4.447803209244843,0.0,7.4,-23.0,-3.2857142857142856,1.0571428571428572,26.871862472286004,0.00012630631798903505
A320,3f9b915d,5,1778298590,2026-05-09 11:49:50.000 PHT,4,29,5.0,0.008740204942736588,14.498368,121.001045,0,53.7,0.0,61,1,110.02248548158002,21.90543080597293,0.0,35.2,0.0,0.0,7.040000000000001,51.59190957741847,0.00020783434148389092
A320,3f9b915d,5,1778298592,2026-05-09 11:49:52.000 PHT,5,31,2.0,0.009342977697408076,14.498531,121.001343,0,70.4,0.0,61,1,142.10335363416425,40.03022888426458,0.0,16.700000000000003,0.0,0.0,8.350000000000001,36.846873521494366,0.00026606154793502087
A320,3f9b915d,5,1778298595,2026-05-09 11:49:55.000 PHT,6,34,3.0,0.010247136829415311,14.498806,121.001846,0,88.9,0.0,61,1,196.2532219052477,70.60887594844179,0.0,18.5,0.0,0.0,6.166666666666667,62.18735141674907,0.0003643329995815149
A320,3f9b915d,5,1778298597,2026-05-09 11:49:57.000 PHT,7,36,2.0,0.0108499095840868,14.499023,121.00222,0,105.6,0.0,61,1,236.51569796388327,94.73820835903715,0.0,16.69999999999999,0.0,0.0,8.349999999999994,46.939266650721045,0.0004385086923534353
A320,3f9b915d,5,1778298598,2026-05-09 11:49:58.000 PHT,8,37,1.0,0.011151295961422544,14.499218,121.002571,0,113.0,0.0,61,1,274.30210888435954,116.42124900472466,0.0,7.400000000000006,0.0,0.0,7.400000000000006,43.56569151090112,0.0005073532990013157
A320,3f9b915d,5,1778298599,2026-05-09 11:49:59.000 PHT,9,38,1.0,0.011452682338758288,14.49937,121.002853,0,122.2,0.0,61,1,304.66040105058494,133.32290120020872,0.0,9.200000000000003,0.0,0.0,9.200000000000003,34.746123636338716,0.0005622607991768565
