aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A320,3f9bf416,5,1778309860,2026-05-09 14:57:40.000 PHT,0,0,0.0,0.0,14.498039,121.000504,0,20.4,0.0,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A320,3f9bf416,5,1778309866,2026-05-09 14:57:46.000 PHT,1,6,6.0,0.0016433853738701725,14.498131,121.00071,0,9.3,0.0,61,1,22.17676211176812,10.22994738126314,0.0,-11.099999999999998,14.0,2.3333333333333335,-1.8499999999999996,24.422542889412778,3.7342368940515904e-05
A320,3f9bf416,5,1778309878,2026-05-09 14:57:58.000 PHT,2,18,12.0,0.0049301561216105174,14.498257,121.000923,0,14.8,0.0,61,1,45.10709069653289,24.24052749091489,0.0,5.5,0.0,0.0,0.4583333333333333,26.871851347997083,7.842976068736827e-05
A320,3f9bf416,5,1778309882,2026-05-09 14:58:02.000 PHT,3,22,4.0,0.006025746370857299,14.498463,121.001274,0,46.3,0.0,61,1,82.89366036348217,47.14671401870267,0.0,31.499999999999996,0.0,0.0,7.874999999999999,44.18731048924438,0.00014599270277124913
A320,3f9bf416,5,1778309884,2026-05-09 14:58:04.000 PHT,4,24,2.0,0.00657354149548069,14.498611,121.001572,0,64.8,0.0,61,1,114.9745450650652,63.60358589361591,0.0,18.5,0.0,0.0,9.25,36.05567364467522,0.0002011222719457173
A320,3f9bf416,5,1778309886,2026-05-09 14:58:06.000 PHT,5,26,2.0,0.007121336620104081,14.498834,121.001976,0,90.7,0.0,61,1,158.4667089631613,88.40008878542116,0.0,25.900000000000006,0.0,0.0,12.950000000000003,50.064308900237,0.00027767121699906163
A320,3f9bf416,5,1778309888,2026-05-09 14:58:08.000 PHT,6,28,2.0,0.007669131744727472,14.499069,121.002403,0,100.0,0.0,61,1,204.43486463237474,114.53093264035353,0.0,9.299999999999997,0.0,0.0,4.649999999999999,52.87619956306365,0.0003585195775156984
A320,3f9bf416,5,1778309889,2026-05-09 14:58:09.000 PHT,7,29,1.0,0.007943029307039167,14.499275,121.002777,0,116.7,0.0,61,1,244.6973308530739,137.43711916849497,0.0,16.700000000000003,0.0,0.0,16.700000000000003,46.32234540846454,0.0004293470142926756
A320,3f9bf416,5,1778309891,2026-05-09 14:58:11.000 PHT,8,31,2.0,0.008490824431662557,14.499404,121.003021,0,125.9,0.0,59,1,270.9648053097667,151.78128451875165,0.0,9.200000000000003,-2.0,-1.0,4.600000000000001,29.928835377507685,0.00047510857227979844
A320,3f9bf416,5,1778309892,2026-05-09 14:58:12.000 PHT,9,32,1.0,0.008764721993974253,14.499733,121.003593,0,140.8,0.0,61,1,332.54257535186775,188.36446591558624,0.0,14.900000000000006,2.0,2.0,14.900000000000006,71.62508177560095,0.0005846242046678811
A320,3f9bf416,5,1778309894,2026-05-09 14:58:14.000 PHT,10,34,2.0,0.009312517118597645,14.500019,121.004089,0,148.2,0.0,59,1,385.93860899895327,220.16625886221735,0.0,7.399999999999977,-2.0,-1.0,3.6999999999999886,62.14894660969228,0.0006796507096502769
A320,3f9bf416,5,1778309896,2026-05-09 14:58:16.000 PHT,11,36,2.0,0.009860312243221035,14.500557,121.005066,0,170.4,0.0,59,1,491.11570338149124,279.9892120277983,0.0,22.200000000000017,0.0,0.0,11.100000000000009,121.0000273184319,0.0008646612420259262
A320,3f9bf416,5,1778309898,2026-05-09 14:58:18.000 PHT,12,38,2.0,0.010408107367844427,14.501011,121.005898,0,185.2,0.0,59,1,580.6829000128839,330.4717784539651,0.0,14.799999999999983,0.0,0.0,7.3999999999999915,102.81425574180001,0.0010218655056294188
A320,3f9bf416,5,1778309901,2026-05-09 14:58:21.000 PHT,13,41,3.0,0.011229800054779512,14.501499,121.006783,0,194.5,0.0,61,1,675.9554901102933,384.73497760781316,0.0,9.300000000000011,2.0,0.6666666666666666,3.1000000000000036,109.64196867116216,0.0011895094264128647
A320,3f9bf416,5,1778309903,2026-05-09 14:58:23.000 PHT,14,43,2.0,0.011777595179402904,14.502255,121.008141,0,222.2,0.0,59,1,822.1473594831132,468.79845826430903,0.0,27.69999999999999,-2.0,-1.0,13.849999999999994,168.63788083860717,0.0014473588236741113
A320,3f9bf416,5,1778309906,2026-05-09 14:58:26.000 PHT,15,46,3.0,0.01259928786633799,14.503143,121.00972,0,240.8,0.0,59,1,992.1297472496407,567.5396895116666,0.0,18.600000000000023,0.0,0.0,6.200000000000007,196.58039867222524,0.001747932674928322
A320,3f9bf416,5,1778309909,2026-05-09 14:58:29.000 PHT,16,49,3.0,0.013420980553273076,14.503955,121.011215,0,250.0,0.0,61,1,1153.068820257465,657.8300946614588,0.0,9.199999999999989,2.0,0.6666666666666666,3.066666666666663,184.53653003999605,0.0020300913026747966
A320,3f9bf416,5,1778309911,2026-05-09 14:58:31.000 PHT,17,51,2.0,0.013968775677896467,14.504653,121.012474,0,268.5,0.0,59,1,1288.601627683609,735.4442606643728,0.0,18.5,-2.0,-1.0,9.25,156.18291342040854,0.002268896901320212
A320,3f9bf416,5,1778309914,2026-05-09 14:58:34.000 PHT,18,54,3.0,0.014790468364831553,14.505695,121.014343,0,277.8,0.0,59,1,1489.8008340694496,851.3095342678535,0.0,9.300000000000011,0.0,0.0,3.1000000000000036,232.1764264305755,0.0026238975175262975
A320,3f9bf416,5,1778309917,2026-05-09 14:58:37.000 PHT,19,57,3.0,0.015612161051766639,14.506542,121.015846,0,300.0,1.3,60,1,1651.5991544239384,945.4917672256466,0.0,22.19999999999999,1.0,0.3333333333333333,7.399999999999996,187.21379816527835,0.0029101497212177373
A320,3f9bf416,5,1778309919,2026-05-09 14:58:39.000 PHT,20,59,2.0,0.01615995617639003,14.507632,121.017731,84,305.6,2.9,58,2,1854.518878163433,1066.6944046798674,84.0,5.600000000000023,-2.0,-1.0,2.8000000000000114,236.36108362911202,0.0032715487298313997
A320,3f9bf416,5,1778309921,2026-05-09 14:58:41.000 PHT,21,61,2.0,0.016707751301013422,14.508424,121.019173,107,307.4,6.8,58,2,2009.7492911320871,1154.7609082250372,23.0,1.7999999999999545,0.0,0.0,0.8999999999999773,178.471778414427,0.0035444342776303813
A320,3f9bf416,5,1778309923,2026-05-09 14:58:43.000 PHT,22,63,2.0,0.01725554642563681,14.509122,121.020424,122,313.0,14.3,59,2,2144.418169073139,1232.3750742279512,15.0,5.600000000000023,1.0,0.5,2.8000000000000114,155.43380541253356,0.0037820944809034544
A320,3f9bf416,5,1778309925,2026-05-09 14:58:45.000 PHT,23,65,2.0,0.017803341550260202,14.510101,121.022079,152,307.4,12.7,60,2,2322.5762925088534,1341.235057776606,30.0,-5.600000000000023,1.0,0.5,-2.8000000000000114,208.7843696932631,0.0041013283541902
A320,3f9bf416,5,1778309928,2026-05-09 14:58:48.000 PHT,24,68,3.0,0.01862503423719529,14.510925,121.023544,183,296.3,15.0,58,2,2480.280798824076,1432.8598038891719,31.0,-11.099999999999966,-2.0,-0.6666666666666666,-3.6999999999999886,182.38918092077768,0.004380203658680081
A320,3f9bf416,5,1778309930,2026-05-09 14:58:50.000 PHT,25,70,2.0,0.01917282936181868,14.511658,121.024872,206,296.3,16.3,59,2,2623.237087168134,1514.3657977004402,23.0,0.0,1.0,0.5,0.0,164.5591430024066,0.004631816615543589
A320,3f9bf416,5,1778309932,2026-05-09 14:58:52.000 PHT,26,72,2.0,0.01972062448644207,14.512573,121.026573,236,298.2,14.6,59,2,2806.345467678567,1616.1092961139495,30.0,1.8999999999999773,0.0,0.0,0.9499999999999886,209.47634857475043,0.0049521085330646525
A320,3f9bf416,5,1778309934,2026-05-09 14:58:54.000 PHT,27,74,2.0,0.02026841961106546,14.513452,121.028137,267,298.2,14.0,61,2,2974.7052211197333,1713.8497716391387,31.0,0.0,2.0,1.0,0.0,194.67465594117922,0.0052497684802061476
A320,3f9bf416,5,1778309936,2026-05-09 14:58:56.000 PHT,28,76,2.0,0.020816214735688853,14.514196,121.029488,297,298.2,13.3,60,2,3120.1357542294104,1796.578911332861,30.0,0.0,-1.0,-0.5,0.0,167.31446873807602,0.005505594364062498
A320,3f9bf416,5,1778309938,2026-05-09 14:58:58.000 PHT,29,78,2.0,0.021364009860312245,14.514988,121.030838,328,296.3,14.6,58,2,3265.457794574188,1884.6454148780308,31.0,-1.8999999999999773,-2.0,-1.0,-0.9499999999999886,169.92435019541944,0.005765410788818395
A320,3f9bf416,5,1778309941,2026-05-09 14:59:01.000 PHT,30,81,3.0,0.02218570254724733,14.515872,121.032234,351,294.5,14.6,57,3,3415.7305006553274,1982.9418658044638,23.0,-1.8000000000000114,-1.0,-0.3333333333333333,-0.6000000000000038,179.56700248398627,0.0060399709477118564
A320,3f9bf416,5,1778309943,2026-05-09 14:59:03.000 PHT,31,83,2.0,0.02273349767187072,14.516617,121.033386,373,292.6,15.6,57,3,3539.7372008023517,2065.782200578506,22.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,149.13205208342117,0.006267995692513083
A320,3f9bf416,5,1778309945,2026-05-09 14:59:05.000 PHT,32,85,2.0,0.023281292796494112,14.517688,121.035072,396,296.3,10.7,56,3,3721.225583463332,2184.8721315084235,23.0,3.6999999999999886,-1.0,-0.5,1.8499999999999943,217.07323042092145,0.006599903335963333
A320,3f9bf416,5,1778309947,2026-05-09 14:59:07.000 PHT,33,87,2.0,0.0238290879211175,14.518572,121.036476,404,303.7,4.9,56,3,3872.35765660228,2283.1685824352103,8.0,7.399999999999977,0.0,0.0,3.6999999999999886,180.28675323086568,0.006875564002615421
A320,3f9bf416,5,1778309949,2026-05-09 14:59:09.000 PHT,34,89,2.0,0.024376883045740892,14.519457,121.037872,419,307.4,5.9,56,3,4022.627924978964,2381.576228441609,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,179.62585916754375,0.007150214154103101
A320,3f9bf416,5,1778309952,2026-05-09 14:59:12.000 PHT,35,92,3.0,0.02519857573267598,14.520538,121.039505,427,314.8,5.5,56,3,4198.408496648844,2501.778110174015,8.0,7.400000000000034,0.0,0.0,2.466666666666678,212.95014387944843,0.007475817547438917
A320,3f9bf416,5,1778309954,2026-05-09 14:59:14.000 PHT,36,94,2.0,0.02574637085729937,14.521591,121.041115,442,316.7,6.5,55,3,4371.712571113916,2618.8665296599497,15.0,1.8999999999999773,-1.0,-0.5,0.9499999999999886,209.15163693209055,0.0077956129768582145
A320,3f9bf416,5,1778309956,2026-05-09 14:59:16.000 PHT,37,96,2.0,0.02629416598192276,14.522461,121.042435,457,320.4,6.5,56,3,4513.799700452138,2715.606249463324,15.0,3.6999999999999886,1.0,0.5,1.8499999999999943,171.89420574516424,0.008058441335016426
A320,3f9bf416,5,1778309958,2026-05-09 14:59:18.000 PHT,38,98,2.0,0.02684196110654615,14.523422,121.043907,465,324.1,5.9,56,3,4672.247816038388,2822.464721567642,8.0,3.7000000000000455,0.0,0.0,1.8500000000000227,191.11481390689616,0.00835065823983362
A320,3f9bf416,5,1778309960,2026-05-09 14:59:20.000 PHT,39,100,2.0,0.027389756231169543,14.524338,121.045326,472,327.8,4.9,56,3,4824.990400177648,2924.3194150614704,7.0,3.6999999999999886,0.0,0.0,1.8499999999999943,183.58908491748593,0.00863136821231615
A320,3f9bf416,5,1778309963,2026-05-09 14:59:23.000 PHT,40,103,3.0,0.02821144891810463,14.525555,121.047173,488,331.5,4.2,56,3,5023.802106145465,3059.6438277056627,16.0,3.6999999999999886,0.0,0.0,1.2333333333333296,240.49816318055812,0.008999092866528877
A320,3f9bf416,5,1778309965,2026-05-09 14:59:25.000 PHT,41,105,2.0,0.02875924404272802,14.526533,121.048714,495,340.8,3.6,56,3,5189.675469646078,3168.3926161743516,7.0,9.300000000000011,0.0,0.0,4.650000000000006,198.34447670185568,0.009302364014822163
A320,3f9bf416,5,1778309967,2026-05-09 14:59:27.000 PHT,42,107,2.0,0.02930703916735141,14.527417,121.050064,503,342.6,3.9,56,3,5334.988647208774,3266.6890671004307,8.0,1.8000000000000114,0.0,0.0,0.9000000000000057,175.43774914295847,0.009570610494488702
