aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A320,3f9f46dd,5,1778383921,2026-05-10 11:32:01.000 PHT,0,0,0.0,0.0,14.510077,121.018005,0,14.8,0.0,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A320,3f9f46dd,5,1778383930,2026-05-10 11:32:10.000 PHT,1,9,9.0,0.002791563275434243,14.510298,121.017921,0,13.0,0.0,331,1,-9.042457415442291,24.574112731873498,0.0,-1.8000000000000007,-102.0,-11.333333333333334,-0.20000000000000007,26.184977614441298,4.1900317664439114e-05
A320,3f9f46dd,5,1778383949,2026-05-10 11:32:29.000 PHT,2,28,19.0,0.008684863523573201,14.510502,121.017662,0,35.2,0.0,315,1,-36.9233507678933,47.257909099375865,0.0,22.200000000000003,-16.0,-0.8421052631578947,1.168421052631579,35.942986632764544,9.941507211246031e-05
A320,3f9f46dd,5,1778383950,2026-05-10 11:32:30.000 PHT,3,29,1.0,0.008995037220843672,14.510705,121.017448,0,57.4,0.0,315,1,-59.9600494096468,69.83051038655869,0.0,22.199999999999996,0.0,0.0,22.199999999999996,32.25231114722129,0.00015102413217656368
A320,3f9f46dd,5,1778383952,2026-05-10 11:32:32.000 PHT,4,31,2.0,0.009615384615384616,14.510938,121.01722,0,79.6,0.0,315,1,-84.5037953642328,95.73896408120564,0.0,22.199999999999996,0.0,0.0,11.099999999999998,35.688139182997595,0.00020813108833434238
A320,3f9f46dd,5,1778383954,2026-05-10 11:32:34.000 PHT,5,33,2.0,0.010235732009925558,14.511246,121.016891,0,101.9,0.0,315,1,-119.91995229308135,129.98704879309827,0.0,22.30000000000001,0.0,0.0,11.150000000000006,49.26697436857605,0.00028696643838904825
A320,3f9f46dd,5,1778383955,2026-05-10 11:32:35.000 PHT,6,34,1.0,0.01054590570719603,14.511543,121.016586,0,111.1,0.0,315,1,-152.75251180717848,163.01198762253696,0.0,9.199999999999989,0.0,0.0,9.199999999999989,46.56847795114226,0.0003614837455272511
A320,3f9f46dd,5,1778383956,2026-05-10 11:32:36.000 PHT,7,35,1.0,0.010856079404466501,14.511752,121.016365,0,122.2,0.0,315,1,-176.54263644070193,186.25175939128334,0.0,11.100000000000009,0.0,0.0,11.100000000000009,33.257430819060964,0.0004147011641762261
A320,3f9f46dd,5,1778383957,2026-05-10 11:32:37.000 PHT,8,36,1.0,0.011166253101736972,14.512104,121.015991,0,144.5,0.0,315,1,-216.80279701735657,225.3924276333453,0.0,22.299999999999997,0.0,0.0,22.299999999999997,56.15043612506471,0.0005045511974769786
A320,3f9f46dd,5,1778383959,2026-05-10 11:32:39.000 PHT,9,38,2.0,0.011786600496277916,14.512402,121.015686,0,151.9,0.0,315,1,-249.63522734902085,258.52856154310354,0.0,7.400000000000006,0.0,0.0,3.700000000000003,46.64731035319699,0.0005791946495650447
A320,3f9f46dd,5,1778383960,2026-05-10 11:32:40.000 PHT,10,39,1.0,0.012096774193548387,14.512823,121.015251,0,163.0,0.0,315,1,-296.4617345261579,305.34169032120127,0.0,11.099999999999994,0.0,0.0,11.099999999999994,66.2132162079641,0.0006851468040235537
A320,3f9f46dd,5,1778383961,2026-05-10 11:32:41.000 PHT,11,40,1.0,0.01240694789081886,14.513191,121.01487,0,174.1,0.0,315,1,-337.4752233851766,346.2614798473148,0.0,11.099999999999994,0.0,0.0,11.099999999999994,57.93560898859193,0.000777853410706537
A320,3f9f46dd,5,1778383969,2026-05-10 11:32:49.000 PHT,12,48,8.0,0.01488833746898263,14.516524,121.011414,38,250.0,0.0,315,2,-709.4999843412481,716.8746822655104,38.0,75.9,0.0,0.0,9.4875,525.125234277568,0.0016181410922093947
A320,3f9f46dd,5,1778383976,2026-05-10 11:32:56.000 PHT,13,55,7.0,0.017059553349875932,14.519783,121.008041,23,305.6,2.9,315,2,-1072.5847055969175,1079.2594487467798,-15.0,55.60000000000002,0.0,0.0,7.942857142857146,512.9845867065551,0.002439001719109888
A320,3f9f46dd,5,1778383985,2026-05-10 11:33:05.000 PHT,14,64,9.0,0.019851116625310174,14.524796,121.002945,137,309.3,19.2,315,2,-1621.130339565226,1636.6803859575027,114.0,3.6999999999999886,0.0,0.0,0.4111111111111099,782.0617241766212,0.003690430502387791
A320,3f9f46dd,5,1778383993,2026-05-10 11:33:13.000 PHT,15,72,8.0,0.022332506203473945,14.529236,120.998489,290,303.7,17.9,315,2,-2100.774386287791,2130.38654219429,153.0,-5.600000000000023,0.0,0.0,-0.7000000000000028,688.334565116627,0.00479188024821052
A320,3f9f46dd,5,1778384002,2026-05-10 11:33:22.000 PHT,16,81,9.0,0.02512406947890819,14.533951,120.993713,427,290.8,14.3,315,2,-2614.8528152499694,2654.671345495255,137.0,-12.899999999999977,0.0,0.0,-1.433333333333331,734.2692322428591,0.005966833098475008
A320,3f9f46dd,5,1778384010,2026-05-10 11:33:30.000 PHT,17,89,8.0,0.02760545905707196,14.538218,120.989349,511,292.6,4.6,315,2,-3084.5751476778537,3129.14075285197,84.0,1.8000000000000114,0.0,0.0,0.22500000000000142,667.6527203757203,0.00703518845417488
