aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A339,3f9b67df,5,1778294054,2026-05-09 10:34:14.000 PHT,0,0,0.0,0.0,14.498031,121.000511,0,16.7,0.0,95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A339,3f9b67df,5,1778294062,2026-05-09 10:34:22.000 PHT,1,8,8.0,0.002168021680216802,14.498206,121.000771,0,13.0,0.0,64,1,27.99008387221378,19.4591390410651,0.0,-3.6999999999999993,-31.0,-3.875,-0.4624999999999999,34.08963020321943,5.247195419711764e-05
A339,3f9b67df,5,1778294082,2026-05-09 10:34:42.000 PHT,2,28,20.0,0.007588075880758808,14.498368,121.00106,0,25.9,0.0,61,1,59.10211703385385,37.47274203868355,0.0,12.899999999999999,-3.0,-0.15,0.6449999999999999,35.950637999842726,0.00010780843685297093
A339,3f9b67df,5,1778294086,2026-05-09 10:34:46.000 PHT,3,32,4.0,0.008672086720867209,14.498567,121.001396,0,59.3,0.0,61,1,95.2738617262326,59.60056300529555,0.0,33.4,0.0,0.0,8.35,42.40324875333883,0.00017307700424810956
A339,3f9b67df,5,1778294087,2026-05-09 10:34:47.000 PHT,4,33,1.0,0.00894308943089431,14.49868,121.001617,0,66.7,0.0,61,1,119.06538327497893,72.16560707185431,0.0,7.400000000000006,0.0,0.0,7.400000000000006,26.905698591582077,0.00021449119899656467
A339,3f9b67df,5,1778294094,2026-05-09 10:34:54.000 PHT,5,40,7.0,0.01084010840108401,14.499619,121.003311,0,124.1,0.0,61,1,301.4307113422136,176.57778741091056,0.0,57.39999999999999,0.0,0.0,8.2,210.14045514117635,0.0005379467563433826
A339,3f9b67df,5,1778294102,2026-05-09 10:35:02.000 PHT,6,48,8.0,0.013008130081300813,14.501069,121.005974,0,181.5,0.3,60,1,588.1109241396312,337.81065374939595,0.0,57.400000000000006,-1.0,-0.125,7.175000000000001,328.90965027151844,0.0010442160236001216
A339,3f9b67df,5,1778294111,2026-05-09 10:35:11.000 PHT,7,57,9.0,0.015447154471544716,14.503464,121.010239,30,237.1,0.3,60,2,1047.2473267331259,604.1228709088548,30.0,55.599999999999994,0.0,0.0,6.177777777777777,530.7809917281943,0.0018612127384554276
A339,3f9b67df,5,1778294120,2026-05-09 10:35:20.000 PHT,8,66,9.0,0.01788617886178862,14.506485,121.015686,23,281.5,1.3,60,2,1633.621486483893,940.0432082945869,-7.0,44.400000000000006,0.0,0.0,4.933333333333334,675.7788606391676,0.0029013952576395154
A339,3f9b67df,5,1778294128,2026-05-09 10:35:28.000 PHT,9,74,8.0,0.02005420054200542,14.50946,121.020844,76,296.3,12.0,59,2,2188.8766139373497,1270.8485719891569,53.0,14.800000000000011,-1.0,-0.125,1.8500000000000014,646.3287541241555,0.003896247140177096
