aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_envelope_type,attack_envelope_params,attack_envelope,attack_delta_altitude,attack_std_altitude,altitude_offset,bin_id
A339,3f9b67df,5,1778294054,2026-05-09 10:34:14.000 PHT,0,0,0.0,0.0,14.498031,121.000511,0.0,16.7,0.0,95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3f9b67df,5,1778294062,2026-05-09 10:34:22.000 PHT,1,8,8.0,0.0021680216802168,14.498206,121.000771,0.0,13.0,0.0,64,1,27.99008387221378,19.4591390410651,0.0,-3.6999999999999993,-31.0,-3.875,-0.4624999999999999,34.08963020321943,5.247195419711764e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3f9b67df,5,1778294082,2026-05-09 10:34:42.000 PHT,2,28,20.0,0.0075880758807588,14.498368,121.00106,0.0,25.9,0.0,61,1,59.10211703385385,37.47274203868355,0.0,12.9,-3.0,-0.15,0.6449999999999999,35.950637999842726,0.0001078084368529,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3f9b67df,5,1778294086,2026-05-09 10:34:46.000 PHT,3,32,4.0,0.0086720867208672,14.498567,121.001396,0.0,59.3,0.0,61,1,95.2738617262326,59.60056300529555,0.0,33.4,0.0,0.0,8.35,42.40324875333883,0.0001730770042481,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3f9b67df,5,1778294087,2026-05-09 10:34:47.000 PHT,4,33,1.0,0.0089430894308943,14.49868,121.001617,0.0,66.7,0.0,61,1,119.06538327497891,72.16560707185431,0.0,7.400000000000006,0.0,0.0,7.400000000000006,26.905698591582077,0.0002144911989965,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3f9b67df,5,1778294094,2026-05-09 10:34:54.000 PHT,5,40,7.0,0.010840108401084,14.499619,121.003311,0.0,124.1,0.0,61,1,301.4307113422136,176.57778741091056,0.0,57.39999999999999,0.0,0.0,8.2,210.14045514117635,0.0005379467563433,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A339,3f9b67df,5,1778294102,2026-05-09 10:35:02.000 PHT,6,48,8.0,0.0130081300813008,14.501069,121.005974,0.0,181.5,0.3,60,1,588.1109241396312,337.81065374939595,0.0,57.400000000000006,-1.0,-0.125,7.175000000000001,328.90965027151844,0.0010442160236001,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,2
A339,3f9b67df,5,1778294111,2026-05-09 10:35:11.000 PHT,7,57,9.0,0.0154471544715447,14.503464,121.010239,30.0,237.1,0.3,60,2,1047.247326733126,604.1228709088548,30.0,55.599999999999994,0.0,0.0,6.177777777777777,530.7809917281943,0.0018612127384554,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,3
A339,3f9b67df,5,1778294120,2026-05-09 10:35:20.000 PHT,8,66,9.0,0.0178861788617886,14.506485,121.015686,23.0,281.5,1.3,60,2,1633.621486483893,940.0432082945867,-7.0,44.400000000000006,0.0,0.0,4.933333333333334,675.7788606391676,0.0029013952576395,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,5
A339,3f9b67df,5,1778294128,2026-05-09 10:35:28.000 PHT,9,74,8.0,0.0200542005420054,14.50946,121.020844,76.0,296.3,12.0,59,2,2188.8766139373497,1270.8485719891569,53.0,14.800000000000011,-1.0,-0.125,1.8500000000000016,646.3287541241555,0.003896247140177,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,7
A339,3f9b67df,5,1778294135,2026-05-09 10:35:35.000 PHT,10,81,7.0,0.0219512195121951,14.512009,121.025291,160.0,288.9,12.0,59,2,2667.587191498289,1554.284831504739,84.0,-7.400000000000034,0.0,0.0,-1.057142857142862,556.3273865829893,0.0047525657618037,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,9
A339,3f9b67df,5,1778294143,2026-05-09 10:35:43.000 PHT,11,89,8.0,0.0241192411924119,14.515137,121.030647,267.0,283.4,10.7,58,2,3244.142044152862,1902.103042474759,107.0,-5.5,-1.0,-0.125,-0.6875,673.3451873530736,0.0057890022857266,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,11
A339,3f9b67df,5,1778294150,2026-05-09 10:35:50.000 PHT,12,96,7.0,0.0260162601626016,14.517517,121.034531,335.0,283.4,9.4,57,2,3662.235174737716,2166.7473334308393,68.0,0.0,-1.0,-0.1428571428571428,0.0,494.8126272782558,0.0065506352327525,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,13
A339,3f9b67df,5,1778294158,2026-05-09 10:35:58.000 PHT,13,104,8.0,0.0281842818428184,14.52095,121.04007,427.0,283.4,11.1,57,2,4258.472608007368,2548.4800438725006,92.0,0.0,0.0,0.0,0.0,707.9699814192371,0.0076403674538563,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,15
A339,3f9b67df,5,1778294167,2026-05-09 10:36:07.000 PHT,14,113,9.0,0.0306233062330623,14.5242,121.045326,526.0,279.7,11.1,57,3,4824.238456339954,2909.8640546316014,99.0,-3.6999999999999886,0.0,0.0,-0.4111111111111099,671.3356934024465,0.0086737108942254,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,17
A339,3f9b67df,5,1778294175,2026-05-09 10:36:15.000 PHT,15,121,8.0,0.0327913279132791,14.527184,121.050255,610.0,275.9,9.8,58,3,5354.7986227168585,3241.6701740483404,84.0,-3.8000000000000114,1.0,0.125,-0.4750000000000014,625.7720014709801,0.0096369211022353,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,19
A339,3f9b67df,5,1778294182,2026-05-09 10:36:22.000 PHT,16,128,7.0,0.0346883468834688,14.529556,121.054276,671.0,277.8,9.4,59,3,5787.6167030338975,3505.424904362218,61.0,1.900000000000034,1.0,0.1428571428571428,0.2714285714285763,506.85125731841873,0.0104170843307661,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,20
A339,3f9b67df,5,1778294190,2026-05-09 10:36:30.000 PHT,17,136,8.0,0.0368563685636856,14.532678,121.059654,762.0,277.8,10.1,59,3,6366.494938050065,3852.575944851382,91.0,0.0,0.0,0.0,0.0,674.9913724386633,0.0114560547204979,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,22
