aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3f9b915d,5,1778298561,2026-05-09 11:49:21.000 PHT,14.498171,121.000023,0,13.0,0.0,149,0,0
A320,3f9b915d,5,1778298570,2026-05-09 11:49:30.000 PHT,14.497971,121.000206,0,11.1,0.0,132,1,0
A320,3f9b915d,5,1778298578,2026-05-09 11:49:38.000 PHT,14.498005,121.00042,0,11.1,0.0,84,1,0
A320,3f9b915d,5,1778298585,2026-05-09 11:49:45.000 PHT,14.498131,121.000633,0,18.5,0.0,61,1,0
A320,3f9b915d,5,1778298590,2026-05-09 11:49:50.000 PHT,14.498368,121.001045,0,53.7,0.0,61,1,0
A320,3f9b915d,5,1778298592,2026-05-09 11:49:52.000 PHT,14.498531,121.001343,0,70.4,0.0,61,1,0
A320,3f9b915d,5,1778298595,2026-05-09 11:49:55.000 PHT,14.498806,121.001846,0,88.9,0.0,61,1,0
A320,3f9b915d,5,1778298597,2026-05-09 11:49:57.000 PHT,14.499023,121.00222,0,105.6,0.0,61,1,0
A320,3f9b915d,5,1778298598,2026-05-09 11:49:58.000 PHT,14.499218,121.002571,0,113.0,0.0,61,1,0
A320,3f9b915d,5,1778298599,2026-05-09 11:49:59.000 PHT,14.49937,121.002853,0,122.2,0.0,61,1,0
A320,3f9b915d,5,1778298600,2026-05-09 11:50:00.000 PHT,14.49963,121.003311,0,137.0,0.0,61,1,0
A320,3f9b915d,5,1778298603,2026-05-09 11:50:03.000 PHT,14.500111,121.004189,0,151.9,0.0,61,1,0
A320,3f9b915d,5,1778298604,2026-05-09 11:50:04.000 PHT,14.500336,121.004585,0,166.7,0.0,61,1,0
A320,3f9b915d,5,1778298613,2026-05-09 11:50:13.000 PHT,14.502502,121.008484,46,224.1,0.7,60,2,0
A320,3f9b915d,5,1778298622,2026-05-09 11:50:22.000 PHT,14.505341,121.013649,46,277.8,0.7,60,2,0
A320,3f9b915d,5,1778298629,2026-05-09 11:50:29.000 PHT,14.507958,121.018311,53,305.6,9.8,60,2,0
A320,3f9b915d,5,1778298637,2026-05-09 11:50:37.000 PHT,14.510984,121.023949,175,287.1,15.0,61,2,0
A320,3f9b915d,5,1778298646,2026-05-09 11:50:46.000 PHT,14.513855,121.029228,282,277.8,10.1,60,2,0
A320,3f9b915d,5,1778298648,2026-05-09 11:50:48.000 PHT,14.514496,121.030365,305,279.7,8.1,59,2,0
A320,3f9b915d,5,1778298650,2026-05-09 11:50:50.000 PHT,14.515366,121.031876,320,281.5,6.5,58,2,0
A320,3f9b915d,5,1778298652,2026-05-09 11:50:52.000 PHT,14.516337,121.033485,335,285.2,4.9,58,3,0
A320,3f9b915d,5,1778298654,2026-05-09 11:50:54.000 PHT,14.517059,121.034721,343,288.9,4.2,58,3,0
A320,3f9b915d,5,1778298657,2026-05-09 11:50:57.000 PHT,14.517883,121.036049,358,292.6,4.6,57,3,0
A320,3f9b915d,5,1778298659,2026-05-09 11:50:59.000 PHT,14.51889,121.037704,366,294.5,4.9,58,3,0
A320,3f9b915d,5,1778298661,2026-05-09 11:51:01.000 PHT,14.519829,121.039223,381,296.3,6.2,57,3,0
A320,3f9b915d,5,1778298663,2026-05-09 11:51:03.000 PHT,14.520538,121.040352,396,298.2,7.5,57,3,0
A320,3f9b915d,5,1778298665,2026-05-09 11:51:05.000 PHT,14.521454,121.04187,411,298.2,7.8,57,3,0
A320,3f9b915d,5,1778298668,2026-05-09 11:51:08.000 PHT,14.522324,121.043243,427,300.0,8.1,57,3,0
A320,3f9b915d,5,1778298670,2026-05-09 11:51:10.000 PHT,14.523193,121.044617,450,301.9,7.8,56,3,0
A320,3f9b915d,5,1778298672,2026-05-09 11:51:12.000 PHT,14.524063,121.04599,465,301.9,7.8,56,3,0
A320,3f9b915d,5,1778298674,2026-05-09 11:51:14.000 PHT,14.525089,121.047554,480,301.9,8.1,56,3,0
A320,3f9b915d,5,1778298676,2026-05-09 11:51:16.000 PHT,14.525881,121.048904,503,300.0,8.5,57,3,1
A320,3f9b915d,5,1778298678,2026-05-09 11:51:18.000 PHT,14.526858,121.050446,518,300.0,8.5,57,3,1
A320,3f9b915d,5,1778298681,2026-05-09 11:51:21.000 PHT,14.527697,121.051796,541,300.0,8.8,57,3,1
A320,3f9b915d,5,1778298683,2026-05-09 11:51:23.000 PHT,14.528488,121.053001,556,300.0,8.8,57,3,1
A320,3f9b915d,5,1778298691,2026-05-09 11:51:31.000 PHT,14.531982,121.058678,632,300.0,8.1,57,3,1
A320,3f9b915d,5,1778298698,2026-05-09 11:51:38.000 PHT,14.534819,121.063316,693,301.9,8.1,57,3,0
A320,3f9b915d,5,1778298706,2026-05-09 11:51:46.000 PHT,14.538025,121.068527,754,301.9,7.5,57,3,0
A320,3f9b915d,5,1778298715,2026-05-09 11:51:55.000 PHT,14.541383,121.074104,815,303.7,7.8,58,3,1
A320,3f9b915d,5,1778298717,2026-05-09 11:51:57.000 PHT,14.542374,121.07592,838,303.7,7.8,62,3,1
A320,3f9b915d,5,1778298719,2026-05-09 11:51:59.000 PHT,14.542877,121.077103,853,301.9,7.8,66,3,1
A320,3f9b915d,5,1778298721,2026-05-09 11:52:01.000 PHT,14.543478,121.078972,869,301.9,8.8,71,3,1
A320,3f9b915d,5,1778298723,2026-05-09 11:52:03.000 PHT,14.543884,121.080559,892,300.0,9.4,75,3,1
A320,3f9b915d,5,1778298725,2026-05-09 11:52:05.000 PHT,14.544159,121.082077,914,298.2,9.8,78,3,1
A320,3f9b915d,5,1778298727,2026-05-09 11:52:07.000 PHT,14.544362,121.083649,930,296.3,9.4,81,3,1
A320,3f9b915d,5,1778298729,2026-05-09 11:52:09.000 PHT,14.544548,121.085144,953,296.3,9.1,83,3,1
A320,3f9b915d,5,1778298732,2026-05-09 11:52:12.000 PHT,14.544708,121.086571,968,294.5,8.1,84,3,1
A320,3f9b915d,5,1778298734,2026-05-09 11:52:14.000 PHT,14.544874,121.088371,983,298.2,6.2,84,3,1
A320,3f9b915d,5,1778298736,2026-05-09 11:52:16.000 PHT,14.545014,121.089912,998,301.9,5.5,85,3,1
A320,3f9b915d,5,1778298738,2026-05-09 11:52:18.000 PHT,14.54506,121.091408,1006,305.6,5.2,87,3,1
A320,3f9b915d,5,1778298740,2026-05-09 11:52:20.000 PHT,14.545074,121.093582,1021,309.3,3.9,90,3,1
A320,3f9b915d,5,1778298742,2026-05-09 11:52:22.000 PHT,14.544937,121.0951,1029,313.0,3.6,94,3,1
A320,3f9b915d,5,1778298744,2026-05-09 11:52:24.000 PHT,14.544708,121.09671,1036,318.5,3.3,101,3,1
A320,3f9b915d,5,1778298747,2026-05-09 11:52:27.000 PHT,14.544205,121.098557,1044,324.1,3.6,107,3,1
A320,3f9b915d,5,1778298749,2026-05-09 11:52:29.000 PHT,14.543427,121.10054,1052,329.7,3.3,112,3,1
A320,3f9b915d,5,1778298751,2026-05-09 11:52:31.000 PHT,14.542786,121.101868,1059,337.1,2.6,117,3,1
A320,3f9b915d,5,1778298753,2026-05-09 11:52:33.000 PHT,14.541595,121.103813,1067,340.8,2.9,122,3,1
A320,3f9b915d,5,1778298755,2026-05-09 11:52:35.000 PHT,14.540312,121.105476,1074,350.0,2.9,130,3,1
A320,3f9b915d,5,1778298758,2026-05-09 11:52:38.000 PHT,14.538849,121.107033,1082,357.4,3.6,134,3,1
A320,3f9b915d,5,1778298760,2026-05-09 11:52:40.000 PHT,14.537426,121.108269,1090,361.1,3.9,139,3,1
A320,3f9b915d,5,1778298762,2026-05-09 11:52:42.000 PHT,14.535919,121.109398,1097,364.8,3.9,144,3,1
A320,3f9b915d,5,1778298764,2026-05-09 11:52:44.000 PHT,14.534586,121.110199,1105,370.4,3.6,149,3,1
A320,3f9b915d,5,1778298766,2026-05-09 11:52:46.000 PHT,14.532486,121.111244,1113,376.0,2.6,153,3,1
A320,3f9b915d,5,1778298768,2026-05-09 11:52:48.000 PHT,14.530746,121.112,1113,383.4,2.3,159,3,1
A320,3f9b915d,5,1778298771,2026-05-09 11:52:51.000 PHT,14.528768,121.112656,1120,390.8,2.6,163,3,1
A320,3f9b915d,5,1778298773,2026-05-09 11:52:53.000 PHT,14.52681,121.11319,1128,394.5,3.9,165,3,1
A320,3f9b915d,5,1778298775,2026-05-09 11:52:55.000 PHT,14.524391,121.113716,1135,400.0,3.9,168,3,1
A320,3f9b915d,5,1778298777,2026-05-09 11:52:57.000 PHT,14.522017,121.114197,1143,405.6,2.3,169,3,1
A320,3f9b915d,5,1778298779,2026-05-09 11:52:59.000 PHT,14.520126,121.114563,1143,413.0,1.0,170,3,1
A320,3f9b915d,5,1778298781,2026-05-09 11:53:01.000 PHT,14.517929,121.114891,1151,422.3,1.6,170,3,1
A320,3f9b915d,5,1778298784,2026-05-09 11:53:04.000 PHT,14.515221,121.115356,1151,429.7,3.3,171,3,1
A320,3f9b915d,5,1778298786,2026-05-09 11:53:06.000 PHT,14.512985,121.1157,1158,435.2,4.6,171,3,1
A320,3f9b915d,5,1778298788,2026-05-09 11:53:08.000 PHT,14.510696,121.116028,1173,442.6,5.9,171,3,1
A320,3f9b915d,5,1778298790,2026-05-09 11:53:10.000 PHT,14.508238,121.116417,1189,446.3,6.2,171,3,1
A320,3f9b915d,5,1778298792,2026-05-09 11:53:12.000 PHT,14.505798,121.116783,1196,451.9,6.8,172,3,1
A320,3f9b915d,5,1778298794,2026-05-09 11:53:14.000 PHT,14.503555,121.117073,1212,457.4,5.5,173,3,1
A320,3f9b915d,5,1778298797,2026-05-09 11:53:17.000 PHT,14.501129,121.11731,1227,459.3,5.5,173,3,1
A320,3f9b915d,5,1778298799,2026-05-09 11:53:19.000 PHT,14.498108,121.117546,1234,466.7,4.2,175,3,1
A320,3f9b915d,5,1778298801,2026-05-09 11:53:21.000 PHT,14.495668,121.117714,1242,474.1,3.9,176,3,1
A320,3f9b915d,5,1778298803,2026-05-09 11:53:23.000 PHT,14.493301,121.117783,1250,481.5,3.9,178,3,1
A320,3f9b915d,5,1778298805,2026-05-09 11:53:25.000 PHT,14.490372,121.117828,1257,487.1,4.2,178,3,1
A320,3f9b915d,5,1778298807,2026-05-09 11:53:27.000 PHT,14.487941,121.117859,1273,496.3,4.6,179,3,1
A320,3f9b915d,5,1778298809,2026-05-09 11:53:29.000 PHT,14.485334,121.117813,1280,500.0,4.9,180,3,1
A320,3f9b915d,5,1778298812,2026-05-09 11:53:32.000 PHT,14.482913,121.117813,1288,503.7,5.5,180,3,1
A320,3f9b915d,5,1778298814,2026-05-09 11:53:34.000 PHT,14.47966,121.117729,1303,509.3,6.5,181,3,1
A320,3f9b915d,5,1778298816,2026-05-09 11:53:36.000 PHT,14.477097,121.117683,1318,513.0,7.5,181,3,1
A320,3f9b915d,5,1778298818,2026-05-09 11:53:38.000 PHT,14.474441,121.117615,1334,516.7,8.1,181,3,1
A320,3f9b915d,5,1778298820,2026-05-09 11:53:40.000 PHT,14.471878,121.117546,1349,518.6,9.4,181,3,1
A320,3f9b915d,5,1778298822,2026-05-09 11:53:42.000 PHT,14.46932,121.11747,1364,520.4,10.7,181,3,1
A320,3f9b915d,5,1778298824,2026-05-09 11:53:44.000 PHT,14.46666,121.117401,1387,522.3,11.7,181,3,1
A320,3f9b915d,5,1778298826,2026-05-09 11:53:46.000 PHT,14.463226,121.11731,1417,524.1,12.0,181,3,1
A320,3f9b915d,5,1778298828,2026-05-09 11:53:48.000 PHT,14.460801,121.117233,1440,524.1,12.4,181,3,0
A320,3f9b915d,5,1778298831,2026-05-09 11:53:51.000 PHT,14.457496,121.117134,1471,526.0,12.0,181,3,0
A320,3f9b915d,5,1778298837,2026-05-09 11:53:57.000 PHT,14.449219,121.116928,1547,527.8,13.3,181,3,0
A320,3f9b915d,5,1778298850,2026-05-09 11:54:10.000 PHT,14.431846,121.116463,1722,531.5,12.7,181,3,0
A320,3f9b915d,5,1778298863,2026-05-09 11:54:23.000 PHT,14.413971,121.115936,1897,535.2,14.3,181,3,0
A320,3f9b915d,5,1778298876,2026-05-09 11:54:36.000 PHT,14.396576,121.115318,2057,538.9,11.7,181,3,0
A320,3f9b915d,5,1778298891,2026-05-09 11:54:51.000 PHT,14.376846,121.114609,2278,537.1,14.0,182,3,0
A320,3f9b915d,5,1778298906,2026-05-09 11:55:06.000 PHT,14.356524,121.11367,2461,540.8,10.7,184,3,0
A320,3f9b915d,5,1778298910,2026-05-09 11:55:10.000 PHT,14.350938,121.112892,2507,546.3,11.1,191,3,0
A320,3f9b915d,5,1778298912,2026-05-09 11:55:12.000 PHT,14.348328,121.112236,2522,550.0,11.4,195,3,0
A320,3f9b915d,5,1778298914,2026-05-09 11:55:14.000 PHT,14.345032,121.111153,2553,551.9,11.7,198,3,0
A320,3f9b915d,5,1778298917,2026-05-09 11:55:17.000 PHT,14.342233,121.1101,2583,553.7,11.7,201,3,0
A320,3f9b915d,5,1778298919,2026-05-09 11:55:19.000 PHT,14.339493,121.108879,2606,553.7,11.7,204,3,0
A320,3f9b915d,5,1778298921,2026-05-09 11:55:21.000 PHT,14.3367,121.10746,2629,555.6,11.1,206,3,0
A320,3f9b915d,5,1778298923,2026-05-09 11:55:23.000 PHT,14.334778,121.106323,2652,559.3,10.7,209,3,0
A320,3f9b915d,5,1778298925,2026-05-09 11:55:25.000 PHT,14.331665,121.104416,2675,561.2,10.7,211,3,0
A320,3f9b915d,5,1778298927,2026-05-09 11:55:27.000 PHT,14.329198,121.10273,2697,561.2,11.4,213,3,0
A320,3f9b915d,5,1778298929,2026-05-09 11:55:29.000 PHT,14.326767,121.101112,2720,563.0,11.7,213,3,0
A320,3f9b915d,5,1778298932,2026-05-09 11:55:32.000 PHT,14.323975,121.099121,2751,563.0,12.0,214,3,0
A320,3f9b915d,5,1778298934,2026-05-09 11:55:34.000 PHT,14.321703,121.097527,2774,564.9,11.4,214,3,0
A320,3f9b915d,5,1778298936,2026-05-09 11:55:36.000 PHT,14.319397,121.095947,2797,566.7,10.7,214,3,0
A320,3f9b915d,5,1778298938,2026-05-09 11:55:38.000 PHT,14.316925,121.0942,2819,566.7,10.4,214,3,0
A320,3f9b915d,5,1778298940,2026-05-09 11:55:40.000 PHT,14.314728,121.09259,2842,568.6,10.7,214,3,0
A320,3f9b915d,5,1778298942,2026-05-09 11:55:42.000 PHT,14.311741,121.090439,2865,570.4,11.7,214,3,0
A320,3f9b915d,5,1778298944,2026-05-09 11:55:44.000 PHT,14.309366,121.088806,2888,570.4,12.4,214,3,0
A320,3f9b915d,5,1778298946,2026-05-09 11:55:46.000 PHT,14.306946,121.087044,2918,570.4,13.0,214,3,0
