aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3f9f46dd,5,1778383921,2026-05-10 11:32:01.000 PHT,14.510077,121.018005,0,14.8,0.0,73,0,0
A320,3f9f46dd,5,1778383930,2026-05-10 11:32:10.000 PHT,14.510298,121.017921,0,13.0,0.0,331,1,0
A320,3f9f46dd,5,1778383949,2026-05-10 11:32:29.000 PHT,14.510502,121.017662,0,35.2,0.0,315,1,0
A320,3f9f46dd,5,1778383950,2026-05-10 11:32:30.000 PHT,14.510705,121.017448,0,57.4,0.0,315,1,0
A320,3f9f46dd,5,1778383952,2026-05-10 11:32:32.000 PHT,14.510938,121.01722,0,79.6,0.0,315,1,0
A320,3f9f46dd,5,1778383954,2026-05-10 11:32:34.000 PHT,14.511246,121.016891,0,101.9,0.0,315,1,0
A320,3f9f46dd,5,1778383955,2026-05-10 11:32:35.000 PHT,14.511543,121.016586,0,111.1,0.0,315,1,0
A320,3f9f46dd,5,1778383956,2026-05-10 11:32:36.000 PHT,14.511752,121.016365,0,122.2,0.0,315,1,0
A320,3f9f46dd,5,1778383957,2026-05-10 11:32:37.000 PHT,14.512104,121.015991,0,144.5,0.0,315,1,0
A320,3f9f46dd,5,1778383959,2026-05-10 11:32:39.000 PHT,14.512402,121.015686,0,151.9,0.0,315,1,0
A320,3f9f46dd,5,1778383960,2026-05-10 11:32:40.000 PHT,14.512823,121.015251,0,163.0,0.0,315,1,0
A320,3f9f46dd,5,1778383961,2026-05-10 11:32:41.000 PHT,14.513191,121.01487,0,174.1,0.0,315,1,0
A320,3f9f46dd,5,1778383969,2026-05-10 11:32:49.000 PHT,14.516524,121.011414,38,250.0,0.0,315,2,0
A320,3f9f46dd,5,1778383976,2026-05-10 11:32:56.000 PHT,14.519783,121.008041,23,305.6,2.9,315,2,0
A320,3f9f46dd,5,1778383985,2026-05-10 11:33:05.000 PHT,14.524796,121.002945,137,309.3,19.2,315,2,0
A320,3f9f46dd,5,1778383993,2026-05-10 11:33:13.000 PHT,14.529236,120.998489,290,303.7,17.9,315,2,0
A320,3f9f46dd,5,1778384002,2026-05-10 11:33:22.000 PHT,14.533951,120.993713,427,290.8,14.3,315,2,0
A320,3f9f46dd,5,1778384010,2026-05-10 11:33:30.000 PHT,14.538218,120.989349,511,292.6,4.6,315,2,0
A320,3f9f46dd,5,1778384017,2026-05-10 11:33:37.000 PHT,14.541709,120.985733,541,303.7,4.6,315,2,0
A320,3f9f46dd,5,1778384025,2026-05-10 11:33:45.000 PHT,14.546494,120.980782,572,320.4,2.3,314,3,0
A320,3f9f46dd,5,1778384034,2026-05-10 11:33:54.000 PHT,14.551483,120.975571,617,342.6,5.2,315,3,0
A320,3f9f46dd,5,1778384043,2026-05-10 11:34:03.000 PHT,14.557117,120.969788,648,363.0,2.3,314,3,0
A320,3f9f46dd,5,1778384049,2026-05-10 11:34:09.000 PHT,14.561121,120.965591,671,379.7,5.2,314,3,0
A320,3f9f46dd,5,1778384058,2026-05-10 11:34:18.000 PHT,14.566772,120.959564,709,398.2,4.2,314,3,0
A320,3f9f46dd,5,1778384064,2026-05-10 11:34:24.000 PHT,14.572037,120.953979,724,420.4,2.3,313,3,0
A320,3f9f46dd,5,1778384071,2026-05-10 11:34:31.000 PHT,14.577135,120.948486,754,440.8,5.2,313,3,1
A320,3f9f46dd,5,1778384077,2026-05-10 11:34:37.000 PHT,14.581743,120.942894,785,459.3,5.5,307,3,1
A320,3f9f46dd,5,1778384080,2026-05-10 11:34:40.000 PHT,14.582814,120.941307,792,464.9,7.8,301,3,1
A320,3f9f46dd,5,1778384082,2026-05-10 11:34:42.000 PHT,14.584213,120.938728,815,468.6,9.4,297,3,1
A320,3f9f46dd,5,1778384084,2026-05-10 11:34:44.000 PHT,14.585266,120.936409,838,470.4,10.4,295,3,1
A320,3f9f46dd,5,1778384086,2026-05-10 11:34:46.000 PHT,14.58612,120.934082,861,472.3,12.0,289,3,1
A320,3f9f46dd,5,1778384088,2026-05-10 11:34:48.000 PHT,14.586911,120.931381,884,474.1,13.0,285,3,1
A320,3f9f46dd,5,1778384090,2026-05-10 11:34:50.000 PHT,14.58747,120.928635,914,474.1,14.3,281,3,1
A320,3f9f46dd,5,1778384092,2026-05-10 11:34:52.000 PHT,14.587795,120.926224,945,472.3,15.6,278,3,1
A320,3f9f46dd,5,1778384095,2026-05-10 11:34:55.000 PHT,14.588028,120.923668,983,470.4,16.6,274,3,0
A320,3f9f46dd,5,1778384097,2026-05-10 11:34:57.000 PHT,14.588168,120.920631,1021,470.4,16.9,272,3,0
A320,3f9f46dd,5,1778384099,2026-05-10 11:34:59.000 PHT,14.588242,120.918182,1059,470.4,16.9,271,3,0
A320,3f9f46dd,5,1778384101,2026-05-10 11:35:01.000 PHT,14.588287,120.915382,1090,470.4,16.6,270,3,0
A320,3f9f46dd,5,1778384103,2026-05-10 11:35:03.000 PHT,14.588242,120.913063,1120,468.6,16.3,269,3,0
A320,3f9f46dd,5,1778384106,2026-05-10 11:35:06.000 PHT,14.588242,120.910553,1158,468.6,16.3,269,3,0
A320,3f9f46dd,5,1778384108,2026-05-10 11:35:08.000 PHT,14.588168,120.907959,1189,468.6,15.6,268,3,0
A320,3f9f46dd,5,1778384110,2026-05-10 11:35:10.000 PHT,14.588104,120.904968,1227,468.6,14.6,268,3,1
A320,3f9f46dd,5,1778384112,2026-05-10 11:35:12.000 PHT,14.588028,120.902519,1257,468.6,13.7,268,3,1
A320,3f9f46dd,5,1778384114,2026-05-10 11:35:14.000 PHT,14.587935,120.899719,1288,470.4,12.7,267,3,1
A320,3f9f46dd,5,1778384116,2026-05-10 11:35:16.000 PHT,14.587842,120.897316,1311,472.3,12.0,267,3,1
A320,3f9f46dd,5,1778384119,2026-05-10 11:35:19.000 PHT,14.587692,120.894691,1341,474.1,11.7,265,3,1
A320,3f9f46dd,5,1778384121,2026-05-10 11:35:21.000 PHT,14.58747,120.892159,1364,476.0,11.1,263,3,1
