sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.498039,121.000504,0.0,20.4,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,6,6.0,0.0016433853738701,14.498131,121.00071,0.0,9.3,0.0,61,22.17676211176812,10.22994738126314,0.0,-11.099999999999998,14.0,2.3333333333333335,-1.8499999999999996,24.422542889412775,3.7342368940515904e-05,0
2,18,12.0,0.0049301561216105,14.498257,121.000923,0.0,14.8,0.0,61,45.10709069653289,24.24052749091489,0.0,5.5,0.0,0.0,0.4583333333333333,26.871851347997083,7.842976068736827e-05,0
3,22,4.0,0.0060257463708572,14.498463,121.001274,0.0,46.3,0.0,61,82.89366036348217,47.14671401870267,0.0,31.499999999999996,0.0,0.0,7.874999999999999,44.18731048924438,0.0001459927027712,0
4,24,2.0,0.0065735414954806,14.498611,121.001572,0.0,64.8,0.0,61,114.9745450650652,63.60358589361591,0.0,18.5,0.0,0.0,9.25,36.05567364467522,0.0002011222719457,0
5,26,2.0,0.007121336620104,14.498834,121.001976,0.0,90.7,0.0,61,158.4667089631613,88.40008878542116,0.0,25.90000000000001,0.0,0.0,12.950000000000005,50.064308900237,0.000277671216999,0
6,28,2.0,0.0076691317447274,14.499069,121.002403,0.0,100.0,0.0,61,204.4348646323747,114.53093264035353,0.0,9.299999999999995,0.0,0.0,4.649999999999999,52.87619956306365,0.0003585195775156,0
7,29,1.0,0.0079430293070391,14.499275,121.002777,0.0,116.7,0.0,61,244.6973308530739,137.43711916849497,0.0,16.700000000000003,0.0,0.0,16.700000000000003,46.32234540846454,0.0004293470142926,0
8,31,2.0,0.0084908244316625,14.499404,121.003021,0.0,125.9,0.0,59,270.9648053097667,151.78128451875165,0.0,9.200000000000005,-2.0,-1.0,4.600000000000001,29.928835377507685,0.0004751085722797,0
9,32,1.0,0.0087647219939742,14.499733,121.003593,0.0,140.8,0.0,61,332.54257535186775,188.36446591558624,0.0,14.900000000000006,2.0,2.0,14.900000000000006,71.62508177560095,0.0005846242046678,0
10,34,2.0,0.0093125171185976,14.500019,121.004089,0.0,148.2,0.0,59,385.93860899895327,220.16625886221735,0.0,7.399999999999977,-2.0,-1.0,3.6999999999999886,62.14894660969228,0.0006796507096502,0
11,36,2.0,0.009860312243221,14.500557,121.005066,0.0,170.4,0.0,59,491.1157033814912,279.9892120277983,0.0,22.200000000000017,0.0,0.0,11.100000000000009,121.0000273184319,0.0008646612420259,0
12,38,2.0,0.0104081073678444,14.501011,121.005898,0.0,185.2,0.0,59,580.6829000128839,330.4717784539651,0.0,14.799999999999985,0.0,0.0,7.399999999999992,102.8142557418,0.0010218655056294,0
13,41,3.0,0.0112298000547795,14.501499,121.006783,0.0,194.5,0.0,61,675.9554901102933,384.7349776078131,0.0,9.300000000000011,2.0,0.6666666666666666,3.1000000000000036,109.64196867116216,0.0011895094264128,0
14,43,2.0,0.0117775951794029,14.502255,121.008141,0.0,222.2,0.0,59,822.1473594831132,468.79845826430903,0.0,27.69999999999999,-2.0,-1.0,13.849999999999994,168.63788083860717,0.0014473588236741,0
15,46,3.0,0.0125992878663379,14.503143,121.00972,0.0,240.8,0.0,59,992.1297472496408,567.5396895116666,0.0,18.600000000000023,0.0,0.0,6.200000000000007,196.58039867222524,0.0017479326749283,0
16,49,3.0,0.013420980553273,14.503955,121.011215,0.0,250.0,0.0,61,1153.068820257465,657.8300946614588,0.0,9.199999999999989,2.0,0.6666666666666666,3.066666666666663,184.53653003999605,0.0020300913026747,0
17,51,2.0,0.0139687756778964,14.504653,121.012474,0.0,268.5,0.0,59,1288.601627683609,735.4442606643728,0.0,18.5,-2.0,-1.0,9.25,156.18291342040854,0.0022688969013202,0
18,54,3.0,0.0147904683648315,14.505695,121.014343,0.0,277.8,0.0,59,1489.8008340694496,851.3095342678535,0.0,9.300000000000011,0.0,0.0,3.1000000000000036,232.1764264305755,0.0026238975175262,0
19,57,3.0,0.0156121610517666,14.506542,121.015846,0.0,300.0,1.3,60,1651.5991544239384,945.4917672256466,0.0,22.19999999999999,1.0,0.3333333333333333,7.399999999999996,187.21379816527835,0.0029101497212177,0
20,59,2.0,0.01615995617639,14.507632,121.017731,84.0,305.6,2.9,58,1854.518878163433,1066.6944046798674,84.0,5.600000000000023,-2.0,-1.0,2.8000000000000114,236.361083629112,0.0032715487298313,0
21,61,2.0,0.0167077513010134,14.508424,121.019173,107.0,307.4,6.8,58,2009.7492911320871,1154.7609082250372,23.0,1.7999999999999543,0.0,0.0,0.8999999999999773,178.471778414427,0.0035444342776303,0
22,63,2.0,0.0172555464256368,14.509122,121.020424,122.0,313.0,14.3,59,2144.418169073139,1232.3750742279512,15.0,5.600000000000023,1.0,0.5,2.8000000000000114,155.43380541253356,0.0037820944809034,0
23,65,2.0,0.0178033415502602,14.510101,121.022079,152.0,307.4,12.7,60,2322.5762925088534,1341.235057776606,30.0,-5.600000000000023,1.0,0.5,-2.8000000000000114,208.7843696932631,0.0041013283541902,0
24,68,3.0,0.0186250342371952,14.510925,121.023544,183.0,296.3,15.0,58,2480.280798824076,1432.859803889172,31.0,-11.099999999999966,-2.0,-0.6666666666666666,-3.6999999999999886,182.38918092077768,0.00438020365868,0
25,70,2.0,0.0191728293618186,14.511658,121.024872,206.0,296.3,16.3,59,2623.237087168134,1514.3657977004402,23.0,0.0,1.0,0.5,0.0,164.5591430024066,0.0046318166155435,0
26,72,2.0,0.019720624486442,14.512573,121.026573,236.0,298.2,14.6,59,2806.345467678567,1616.1092961139495,30.0,1.8999999999999773,0.0,0.0,0.9499999999999886,209.47634857475043,0.0049521085330646,0
27,74,2.0,0.0202684196110654,14.513452,121.028137,267.0,298.2,14.0,61,2974.7052211197333,1713.849771639139,31.0,0.0,2.0,1.0,0.0,194.6746559411792,0.0052497684802061,0
28,76,2.0,0.0208162147356888,14.514196,121.029488,297.0,298.2,13.3,60,3120.1357542294104,1796.578911332861,30.0,0.0,-1.0,-0.5,0.0,167.31446873807602,0.0055055943640624,0
29,78,2.0,0.0213640098603122,14.514988,121.030838,328.0,296.3,14.6,58,3265.457794574188,1884.6454148780308,31.0,-1.8999999999999773,-2.0,-1.0,-0.9499999999999886,169.92435019541944,0.0057654107888183,0
30,81,3.0,0.0221857025472473,14.515872,121.032234,351.0,294.5,14.6,57,3415.730500655327,1982.941865804464,23.0,-1.8000000000000114,-1.0,-0.3333333333333333,-0.6000000000000038,179.56700248398627,0.0060399709477118,0
31,83,2.0,0.0227334976718707,14.516617,121.033386,373.0,292.6,15.6,57,3539.7372008023517,2065.782200578506,22.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,149.13205208342117,0.006267995692513,0
32,85,2.0,0.0232812927964941,14.517688,121.035072,396.0,296.3,10.7,56,3721.225583463332,2184.8721315084235,23.0,3.6999999999999886,-1.0,-0.5,1.8499999999999943,217.07323042092145,0.0065999033359633,0
33,87,2.0,0.0238290879211175,14.518572,121.036476,404.0,303.7,4.9,56,3872.35765660228,2283.1685824352103,8.0,7.399999999999977,0.0,0.0,3.6999999999999886,180.28675323086568,0.0068755640026154,0
34,89,2.0,0.0243768830457408,14.519457,121.037872,419.0,307.4,5.9,56,4022.627924978964,2381.576228441609,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,179.62585916754375,0.0071502141541031,0
35,92,3.0,0.0251985757326759,14.520538,121.039505,427.0,314.8,5.5,56,4198.408496648844,2501.778110174015,8.0,7.400000000000034,0.0,0.0,2.466666666666678,212.95014387944843,0.0074758175474389,0
36,94,2.0,0.0257463708572993,14.521591,121.041115,442.0,316.7,6.5,55,4371.712571113916,2618.8665296599497,15.0,1.8999999999999773,-1.0,-0.5,0.9499999999999886,209.15163693209055,0.0077956129768582,0
37,96,2.0,0.0262941659819227,14.522461,121.042435,457.0,320.4,6.5,56,4513.799700452138,2715.606249463324,15.0,3.6999999999999886,1.0,0.5,1.8499999999999943,171.89420574516424,0.0080584413350164,0
38,98,2.0,0.0268419611065461,14.523422,121.043907,465.0,324.1,5.9,56,4672.247816038388,2822.464721567642,8.0,3.7000000000000455,0.0,0.0,1.8500000000000227,191.11481390689616,0.0083506582398336,0
39,100,2.0,0.0273897562311695,14.524338,121.045326,472.0,327.8,4.9,56,4824.990400177648,2924.3194150614704,7.0,3.6999999999999886,0.0,0.0,1.8499999999999943,183.58908491748593,0.0086313682123161,0
40,103,3.0,0.0282114489181046,14.525555,121.047173,488.0,331.5,4.2,56,5023.802106145465,3059.6438277056627,16.0,3.6999999999999886,0.0,0.0,1.2333333333333296,240.49816318055812,0.0089990928665288,0
41,105,2.0,0.028759244042728,14.526533,121.048714,495.0,340.8,3.6,56,5189.675469646078,3168.3926161743516,7.0,9.300000000000011,0.0,0.0,4.650000000000006,198.34447670185568,0.0093023640148221,0
42,107,2.0,0.0293070391673514,14.527417,121.050064,503.0,342.6,3.9,56,5334.988647208774,3266.6890671004307,8.0,1.8000000000000114,0.0,0.0,0.9000000000000057,175.43774914295847,0.0095706104944887,0
43,113,6.0,0.0309504245412215,14.530443,121.054787,526.0,359.3,4.9,56,5843.365800475364,3603.165379887407,23.0,16.69999999999999,0.0,0.0,2.783333333333331,609.6444812243284,0.0105027644165234,0
44,121,8.0,0.0331416050397151,14.534821,121.06176,556.0,381.5,3.6,57,6593.918444626129,4089.977441149688,30.0,22.19999999999999,1.0,0.125,2.7749999999999986,894.6057644814434,0.0118706276511115,0
45,130,9.0,0.0356066831005204,14.539307,121.069008,572.0,411.1,3.9,57,7374.05658436556,4588.798571077284,16.0,29.600000000000023,0.0,0.0,3.2888888888888914,925.9811431899832,0.0132864642262599,0
46,138,8.0,0.0377978635990139,14.544113,121.077057,632.0,429.7,10.1,58,8240.395043556211,5123.202126679546,60.0,18.59999999999997,1.0,0.125,2.3249999999999957,1017.9037966519892,0.0148428516709518,0
47,145,7.0,0.0397151465351958,14.547807,121.083313,709.0,437.1,11.4,58,8913.735258959496,5533.956753062325,77.0,7.400000000000034,0.0,0.0,1.057142857142862,788.7360413042451,0.0160488387945872,0
48,154,9.0,0.0421802245960011,14.552719,121.091736,823.0,440.8,15.3,59,9820.29567334798,6080.146987169263,114.0,3.6999999999999886,1.0,0.1111111111111111,0.4111111111111099,1058.380790493237,0.0176671160615005,0
49,162,8.0,0.0443714050944946,14.557723,121.100464,945.0,438.9,16.9,59,10759.663805972226,6636.567168657818,122.0,-1.900000000000034,0.0,0.0,-0.2375000000000042,1091.790369603188,0.0193364769864474,0
50,169,7.0,0.0462886880306765,14.56154,121.107162,1059.0,435.2,17.2,59,11480.535371676428,7060.998789909644,114.0,-3.6999999999999886,0.0,0.0,-0.5285714285714269,836.5353978652291,0.0206155499151073,0
51,178,9.0,0.0487537660914817,14.566315,121.115646,1196.0,433.4,15.9,60,12393.608793129002,7591.955298024476,137.0,-1.8000000000000114,1.0,0.1111111111111111,-0.2000000000000012,1056.2218122494633,0.0222305260776894,0
52,186,8.0,0.0509449465899753,14.570618,121.123512,1318.0,431.5,15.9,61,13240.157284596373,8070.427728269512,122.0,-1.8999999999999773,1.0,0.125,-0.2374999999999971,972.4005307296608,0.0237173384682289,0
53,191,5.0,0.0523144344015338,14.572852,121.128365,1387.0,433.4,14.3,66,13762.447920651555,8318.837537510964,69.0,1.8999999999999773,5.0,1.0,0.3799999999999954,578.338251471301,0.0246016247793081,0
54,193,2.0,0.0528622295261572,14.573737,121.131012,1417.0,435.2,14.6,70,14047.332310899408,8417.245183517716,30.0,1.8000000000000114,4.0,2.0,0.9000000000000057,301.3824293890411,0.0250624422265902,0
55,195,2.0,0.0534100246507806,14.574326,121.133316,1448.0,438.9,13.7,76,14295.30613019958,8482.73908577535,31.0,3.6999999999999886,6.0,3.0,1.8499999999999943,256.4540081413825,0.0254545635643089,0
56,198,3.0,0.0542317173377156,14.574829,121.1362,1478.0,440.8,13.3,81,14605.71072495746,8538.67021113293,30.0,1.900000000000034,5.0,1.6666666666666667,0.6333333333333447,315.3666066844506,0.0259367629909474,0
57,200,2.0,0.054779512462339,14.575058,121.138382,1494.0,444.5,11.1,84,14840.563758854334,8564.133884506298,16.0,3.6999999999999886,3.0,1.5,1.8499999999999943,236.19633561106983,0.0262979100978119,0
58,202,2.0,0.0553273075869624,14.575227,121.141182,1524.0,446.3,11.1,87,15141.937293006582,8582.9258530658,30.0,1.8000000000000114,3.0,1.5,0.9000000000000057,301.91202059638704,0.026759537296574,0
59,204,2.0,0.0558751027115858,14.57515,121.143494,1547.0,451.9,12.4,90,15390.793093267372,8574.363831887917,23.0,5.599999999999966,3.0,1.5,2.799999999999983,248.95691463007176,0.0271401954859569,0
60,207,3.0,0.0566967953985209,14.575012,121.145859,1577.0,451.9,14.3,95,15645.35581966697,8559.01891081549,30.0,0.0,5.0,1.6666666666666667,0.0,254.97560796969117,0.0275300563316006,0
61,209,2.0,0.0572445905231443,14.574668,121.148361,1600.0,453.7,14.0,98,15914.672189324494,8520.767803215278,23.0,1.8000000000000114,3.0,1.5,0.9000000000000057,271.96065996453115,0.0279458875309842,0
62,211,2.0,0.0577923856477677,14.574203,121.150627,1631.0,455.6,14.3,102,16158.591388333942,8469.062090906657,31.0,1.900000000000034,4.0,2.0,0.950000000000017,249.28143407242823,0.0283270419145922,0
63,213,2.0,0.0583401807723911,14.573597,121.153038,1654.0,457.4,13.7,105,16418.1235285729,8401.677872285007,23.0,1.7999999999999543,3.0,1.5,0.8999999999999773,268.07242445099666,0.0287369279539762,0
64,215,2.0,0.0588879758970145,14.572713,121.15583,1684.0,463.0,12.4,108,16718.676203282677,8303.381421358574,30.0,5.600000000000023,3.0,1.5,2.8000000000000114,316.1383365894953,0.0292203073651465,0
65,217,2.0,0.0594357710216379,14.571828,121.158096,1707.0,468.6,12.7,114,16962.61344505106,8204.97377535182,23.0,5.600000000000023,6.0,3.0,2.8000000000000114,262.9695531721118,0.0296223910514825,0
66,220,3.0,0.0602574637085729,14.570435,121.160919,1737.0,470.4,12.4,117,17266.525024113853,8050.079028586598,30.0,1.7999999999999543,3.0,1.0,0.5999999999999849,341.015066820744,0.0301438072896342,0
67,222,2.0,0.0608052588331963,14.56929,121.16291,1760.0,474.1,12.0,120,17480.874775541237,7922.7606617194,23.0,3.7000000000000455,3.0,1.5,1.8500000000000227,249.24194775976952,0.0305249012981837,0
68,224,2.0,0.0613530539578197,14.56778,121.165276,1783.0,476.0,11.7,124,17735.604213729755,7754.856090566694,23.0,1.8999999999999773,4.0,2.0,0.9499999999999886,305.0043958997809,0.0309912567768798,0
69,226,2.0,0.0619008490824431,14.565776,121.167778,1814.0,479.7,11.1,128,18004.994223994385,7532.021149778576,31.0,3.6999999999999886,4.0,2.0,1.8499999999999943,349.51418816720775,0.0315256682762713,0
70,229,3.0,0.0627225417693782,14.5641,121.169609,1829.0,485.2,10.7,134,18202.147919618445,7345.658195307326,15.0,5.5,6.0,2.0,1.8333333333333333,271.22298036253545,0.031940371554456,0
71,231,2.0,0.0632703368940016,14.562192,121.171394,1859.0,488.9,12.4,138,18394.361384434233,7133.49798222175,30.0,3.6999999999999886,4.0,2.0,1.8499999999999943,286.21100154408583,0.0323779917016654,0
72,233,2.0,0.063818132018625,14.560237,121.172935,1882.0,490.8,11.7,143,18560.31454210553,6916.111600365045,23.0,1.900000000000034,5.0,2.5,0.950000000000017,273.4269731253787,0.0327960649119355,0
73,235,2.0,0.0643659271432484,14.557769,121.174576,1905.0,494.5,12.7,147,18737.05485394511,6641.682142348626,23.0,3.6999999999999886,4.0,2.0,1.8499999999999943,326.34839127922527,0.0332950556225046,0
74,237,2.0,0.0649137222678718,14.555348,121.175972,1928.0,498.2,11.1,151,18887.423252022043,6372.478853103335,23.0,3.6999999999999886,4.0,2.0,1.8499999999999943,308.2922679320733,0.0337664382980416,0
75,240,3.0,0.0657354149548069,14.552536,121.177208,1958.0,503.7,12.0,157,19020.58756417284,6059.798287486703,30.0,5.5,6.0,2.0,1.8333333333333333,339.80186859858287,0.0342859995411661,0
76,242,2.0,0.0662832100794302,14.550064,121.178108,1981.0,507.4,11.7,161,19117.571270445696,5784.924049149359,23.0,3.6999999999999886,4.0,2.0,1.8499999999999943,291.4425558477343,0.0347316187993536,0
77,244,2.0,0.0668310052040536,14.547501,121.178871,1996.0,509.3,9.4,164,19199.813024413783,5499.931058510719,15.0,1.900000000000034,3.0,1.5,0.950000000000017,296.58879856283,0.0351851067260494,0
78,246,2.0,0.067378800328677,14.54425,121.179581,2019.0,513.0,9.1,168,19276.38062858609,5138.435852671651,23.0,3.6999999999999886,4.0,2.0,1.8499999999999943,369.4840839848347,0.0357500524421562,0
79,248,2.0,0.0679265954533004,14.541779,121.179909,2035.0,516.7,7.2,174,19311.7953788344,4863.672809414627,16.0,3.7000000000000455,6.0,3.0,1.8500000000000227,277.02176831760636,0.0361736221385597,0
80,251,3.0,0.0687482881402355,14.538636,121.180069,2050.0,518.6,7.8,178,19329.155646940024,4514.186672240522,15.0,1.8999999999999773,4.0,1.3333333333333333,0.6333333333333258,349.91018328567264,0.0367086391193657,0
81,253,2.0,0.0692960832648589,14.536122,121.17997,2065.0,520.4,9.4,183,19318.608605964473,4234.642240533648,15.0,1.7999999999999543,5.0,2.5,0.8999999999999773,279.7474520023492,0.037136376419701,0
82,255,2.0,0.0698438783894823,14.532761,121.179527,2096.0,522.3,10.7,187,19271.06824070391,3860.915575868627,31.0,1.8999999999999773,4.0,2.0,0.9499999999999886,376.75626794336154,0.0377124413946669,0
83,257,2.0,0.0703916735141057,14.530257,121.178955,2118.0,522.3,13.0,192,19209.603533931924,3582.483094963888,22.0,0.0,5.0,2.5,0.0,285.1585088952318,0.0381484522676505,0
84,259,2.0,0.0709394686387291,14.527743,121.178139,2141.0,524.1,13.7,197,19121.87268885978,3302.9386632566607,23.0,1.8000000000000682,5.0,2.5,0.9000000000000341,293.0184653713364,0.0385964811109133,0
85,261,2.0,0.0714872637633525,14.525229,121.177177,2172.0,524.1,14.6,203,19018.42428741389,3023.394231549433,31.0,0.0,6.0,3.0,0.0,298.10685977465084,0.039052290171903,0
86,264,3.0,0.0723089564502875,14.522141,121.175552,2217.0,522.3,16.9,208,18843.62836597041,2680.023823788304,45.0,-1.8000000000000682,5.0,1.6666666666666667,-0.6000000000000227,385.3563042761561,0.0396415047083661,0
87,266,2.0,0.0728567515749109,14.520126,121.174324,2248.0,520.4,18.2,211,18711.52134291029,2455.9657371177323,31.0,-1.8999999999999773,3.0,1.5,-0.9499999999999886,260.1442926366844,0.0400392685365389,0
88,268,2.0,0.0734045466995343,14.517408,121.1726,2294.0,514.9,19.2,212,18526.04845310319,2153.7375090430023,46.0,-5.5,1.0,0.5,-2.75,354.6565575871426,0.0405815427821226,0
89,270,2.0,0.0739523418241577,14.515035,121.171059,2332.0,513.0,20.5,212,18360.258951994925,1889.8715836488052,38.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,311.6759576747674,0.0410580991609601,0
90,272,2.0,0.0745001369487811,14.512985,121.169678,2370.0,509.3,18.2,213,18211.678489086094,1661.9216691702325,38.0,-3.6999999999999886,1.0,0.5,-1.8499999999999943,272.14128941156156,0.0414742065449933,0
91,274,2.0,0.0750479320734045,14.510332,121.167877,2408.0,507.4,18.2,213,18017.90772114878,1366.921121310614,38.0,-1.900000000000034,0.0,0.0,-0.950000000000017,353.00450631983944,0.0420139547838376,0
92,277,3.0,0.0758696247603396,14.508238,121.166481,2438.0,505.6,17.6,213,17867.71108000295,1134.0786233015183,30.0,-1.7999999999999543,0.0,0.0,-0.5999999999999849,277.1263229223751,0.0424376843455199,0
93,279,2.0,0.076417419884963,14.505538,121.16465,2484.0,505.6,17.2,213,17670.708459408284,833.8519066711253,46.0,0.0,0.0,0.0,0.0,359.14793979475735,0.0429868259698286,0
94,281,2.0,0.0769652150095864,14.503722,121.163445,2507.0,503.7,16.9,213,17541.05923314634,631.9216409668119,23.0,-1.900000000000034,0.0,0.0,-0.950000000000017,240.00618864146372,0.0433537983889104,0
95,283,2.0,0.0775130101342098,14.500854,121.161537,2545.0,505.6,15.9,213,17335.769849787346,313.01415085723704,38.0,1.900000000000034,0.0,0.0,0.950000000000017,379.3300220753528,0.0439337986656503,0
96,286,3.0,0.0783347028211449,14.498154,121.159737,2583.0,507.4,13.3,212,17142.09795387467,12.78743422649051,38.0,1.7999999999999543,-1.0,-0.3333333333333333,0.5999999999999849,357.330844897248,0.0444801619294759,0
97,288,2.0,0.0788824979457682,14.496002,121.158272,2606.0,507.4,12.7,212,16984.46705598235,-226.50437843583333,23.0,0.0,0.0,0.0,0.0,286.5908376862536,0.0449183628508259,0
