sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.523693,121.003975,0.0,11.1,0.0,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,15,15.0,0.0039735099337748,14.523491,121.004173,0.0,1.9,0.0,135,21.313072767508416,-22.461406207216953,0.0,-9.2,0.0,0.0,-0.6133333333333333,30.96387959539501,4.822684969951776e-05,0
2,263,248.0,0.0696688741721854,14.523239,121.004433,0.0,35.2,0.0,135,49.299964085360784,-50.48256642616679,0.0,33.300000000000004,0.0,0.0,0.1342741935483871,39.603680907051384,0.0001099103593762,0
3,271,8.0,0.0717880794701986,14.52211,121.005608,0.0,107.4,0.0,135,175.77957821931238,-176.02181200966655,0.0,72.2,0.0,0.0,9.025,178.2054880724615,0.0003874689018199,0
4,277,6.0,0.0733774834437086,14.520388,121.007416,69.0,164.8,0.3,135,370.3979688525809,-367.49974017172417,69.0,57.400000000000006,0.0,0.0,9.566666666666668,273.02036492979477,0.0008127034743744,0
5,286,9.0,0.0757615894039735,14.516968,121.010948,53.0,237.1,1.0,135,750.5972108260108,-747.7869145706462,-16.0,72.29999999999998,0.0,0.0,8.033333333333331,537.7450889983804,0.001650251996157,0
6,292,6.0,0.0773509933774834,14.51387,121.014114,99.0,270.4,12.0,135,1091.403758087,-1092.269273133909,46.0,33.29999999999998,0.0,0.0,5.549999999999997,484.5793493595032,0.0024049938358239,0
7,300,8.0,0.0794701986754966,14.50982,121.018257,213.0,266.7,15.3,135,1537.387427724943,-1542.6093480800291,114.0,-3.6999999999999886,0.0,0.0,-0.4624999999999986,633.8040194327369,0.0033921560255605,0
8,302,2.0,0.08,14.50882,121.019234,244.0,266.7,15.9,136,1642.5604093543548,-1653.8044283132722,31.0,0.0,1.0,0.5,0.0,153.05444948957276,0.0036305413321768,0
9,305,3.0,0.0807947019867549,14.507819,121.020233,274.0,264.8,16.6,136,1750.102073146937,-1765.1107036271885,30.0,-1.8999999999999773,0.0,0.0,-0.6333333333333258,154.7716847430393,0.0038716012663768,0
10,307,2.0,0.0813245033112582,14.50676,121.021179,312.0,264.8,16.6,137,1851.9392365160531,-1882.866293594333,38.0,0.0,1.0,0.5,0.0,155.68261816553266,0.0041140799972466,0
11,309,2.0,0.0818543046357615,14.505798,121.022026,343.0,261.1,16.3,139,1943.1194963562857,-1989.8359607789705,31.0,-3.6999999999999886,2.0,1.0,-1.8499999999999943,140.556932819696,0.0043330001765619,0
12,311,2.0,0.0823841059602649,14.504653,121.02298,381.0,261.1,15.9,139,2045.81915441164,-2117.154327646522,38.0,0.0,0.0,0.0,0.0,163.57569005393947,0.0045877725216882,0
13,313,2.0,0.0829139072847682,14.503349,121.024139,419.0,261.1,15.6,139,2170.5876849825067,-2262.1527122710863,38.0,0.0,0.0,0.0,0.0,191.28918562880628,0.004885709179659,0
14,316,3.0,0.0837086092715231,14.502419,121.02491,450.0,259.3,15.3,140,2253.5880109284767,-2365.564136888328,31.0,-1.8000000000000114,1.0,0.3333333333333333,-0.6000000000000038,132.60034993470427,0.0050922368250951,0
15,318,2.0,0.0842384105960264,14.501302,121.025826,480.0,259.3,14.0,141,2352.198513448004,-2489.769041509054,30.0,0.0,1.0,0.5,0.0,158.5897294126568,0.0053392434387434,0
16,320,2.0,0.0847682119205298,14.500045,121.026886,518.0,255.6,13.0,141,2466.3115261917756,-2629.5412573624913,38.0,-3.700000000000017,0.0,0.0,-1.8500000000000083,180.43792382897556,0.0056202790436579,0
17,322,2.0,0.0852980132450331,14.499021,121.027657,541.0,251.9,12.0,141,2549.3136334944093,-2743.4050195216346,23.0,-3.6999999999999886,0.0,0.0,-1.8499999999999943,140.90455923352678,0.00583974065793,0
18,324,2.0,0.0858278145695364,14.498182,121.028328,564.0,251.9,10.7,141,2621.5502308301466,-2836.697691837579,23.0,0.0,0.0,0.0,0.0,117.98954203894422,0.0060235116835373,0
19,326,2.0,0.0863576158940397,14.496964,121.02932,587.0,251.9,8.8,142,2728.3444907630355,-2972.1332995620905,23.0,0.0,1.0,0.5,0.0,172.47489974904914,0.0062921447222853,0
20,328,2.0,0.086887417218543,14.495995,121.030067,610.0,253.7,7.8,142,2808.763868506038,-3079.8813323082572,23.0,1.799999999999983,0.0,0.0,0.8999999999999915,134.44974867993457,0.0065015528425355,0
21,330,2.0,0.0874172185430463,14.494784,121.031029,625.0,255.6,7.2,142,2912.329661285241,-3214.5385744712394,15.0,1.9000000000000057,0.0,0.0,0.9500000000000028,169.87700339960136,0.0067661396067721,0
22,333,3.0,0.0882119205298013,14.493759,121.03183,640.0,257.4,6.8,142,2998.5632622633425,-3328.513531710349,15.0,1.799999999999983,0.0,0.0,0.5999999999999943,142.9207211650002,0.0069887414327912,0
23,335,2.0,0.0887417218543046,14.492706,121.032639,655.0,261.1,6.8,143,3085.6586513884845,-3445.601951196637,15.0,3.7000000000000455,1.0,0.5,1.8500000000000227,145.92836484389494,0.0072160277228228,0
24,341,6.0,0.0903311258278145,14.488953,121.035522,709.0,266.7,8.5,142,3396.0402738118096,-3862.9170873129647,54.0,5.599999999999966,-1.0,-0.1666666666666666,0.9333333333333276,520.0826031278978,0.0080260665764849,0
25,344,3.0,0.0911258278145695,14.488083,121.036186,724.0,268.5,9.1,143,3467.5268056644286,-3959.656807115985,15.0,1.8000000000000114,1.0,0.3333333333333333,0.6000000000000038,120.2860963941833,0.008213414530538,0
26,346,2.0,0.0916556291390728,14.486917,121.037148,747.0,268.5,9.8,142,3571.095884757852,-4089.310270668478,23.0,0.0,-1.0,-0.5,0.0,165.94097591178192,0.0084718708547732,0
27,348,2.0,0.0921854304635761,14.485474,121.038269,777.0,268.5,10.1,142,3691.7843200142975,-4249.764771445434,30.0,0.0,0.0,0.0,0.0,200.7758799650745,0.0087845832252155,0
28,350,2.0,0.0927152317880794,14.484329,121.039124,792.0,268.5,10.1,142,3783.835728959324,-4377.0831383126315,15.0,0.0,0.0,0.0,0.0,157.1086650612004,0.0090292830520913,0
29,352,2.0,0.0932450331125827,14.483231,121.040024,815.0,270.4,9.8,142,3880.7315228735993,-4499.1753364090555,23.0,1.8999999999999773,0.0,0.0,0.9499999999999886,155.86901382951126,0.0092720520978632,0
30,354,2.0,0.093774834437086,14.482215,121.04081,838.0,270.4,9.4,142,3965.3547530949577,-4612.14953792635,23.0,0.0,0.0,0.0,0.0,141.15261966248093,0.009491900071118,0
31,363,9.0,0.096158940397351,14.477646,121.044426,914.0,272.2,8.5,142,4354.6686399025375,-5120.199859513395,76.0,1.8000000000000114,0.0,0.0,0.2000000000000012,640.0601100774173,0.0104888062447214,0
32,369,6.0,0.0977483443708609,14.473975,121.047318,968.0,275.9,8.8,142,4666.039568255531,-5528.396999050947,54.0,3.6999999999999886,0.0,0.0,0.6166666666666648,513.3949978043297,0.011288429021942,0
33,376,7.0,0.0996026490066225,14.470298,121.050301,1021.0,283.4,6.2,141,4987.212296561346,-5937.261309069709,53.0,7.5,-1.0,-0.1428571428571428,1.0714285714285714,519.923261812472,0.0120982196983804,0
34,385,9.0,0.1019867549668874,14.465149,121.054558,1074.0,301.9,5.2,140,5445.561676250504,-6509.804777191864,53.0,18.5,-1.0,-0.1111111111111111,2.0555555555555554,733.4082261206005,0.013240517393362,0
35,394,9.0,0.1043708609271523,14.459497,121.059265,1128.0,324.1,6.2,140,5952.37419194511,-7138.279370671953,54.0,22.200000000000045,0.0,0.0,2.4666666666666717,807.3639975636175,0.0144980026527057,0
36,400,6.0,0.1059602649006622,14.455773,121.062447,1166.0,338.9,7.2,140,6294.992710835245,-7552.36984946149,38.0,14.799999999999956,0.0,0.0,2.4666666666666592,537.4551741042212,0.0153350996263552,0
37,409,9.0,0.1083443708609271,14.449535,121.067841,1234.0,357.4,6.5,140,6875.797983337439,-8246.004759958607,68.0,18.5,0.0,0.0,2.0555555555555554,904.6902665851294,0.0167441724583561,0
38,415,6.0,0.109933774834437,14.445053,121.071754,1273.0,374.1,6.2,139,7297.144344057218,-8744.381109564925,39.0,16.700000000000045,-1.0,-0.1666666666666666,2.7833333333333408,652.6196955429036,0.0177606404326268,0
39,424,9.0,0.112317880794702,14.438965,121.077011,1318.0,396.3,5.5,139,7863.225305785116,-9421.336758026844,45.0,22.19999999999999,0.0,0.0,2.4666666666666655,882.4492361300574,0.0191350724235272,0
40,430,6.0,0.1139072847682119,14.433609,121.081741,1356.0,411.1,5.2,139,8372.569145242636,-10016.89760775746,38.0,14.800000000000011,0.0,0.0,2.466666666666669,783.6619743261903,0.0203556413168605,0
41,439,9.0,0.1162913907284768,14.426514,121.088043,1394.0,437.1,5.9,139,9051.209973981891,-10805.826702014503,38.0,26.0,0.0,0.0,2.888888888888889,1040.6572140514536,0.021976485335975,0
42,445,6.0,0.1178807947019867,14.420813,121.09314,1448.0,455.6,7.5,138,9600.10350607264,-11439.749854425654,54.0,18.5,-1.0,-0.1666666666666666,3.0833333333333335,838.5384405035079,0.0232825254015566,0
43,452,7.0,0.1197350993377483,14.41452,121.098793,1494.0,472.3,6.8,138,10208.888184802354,-12139.500494335396,46.0,16.69999999999999,0.0,0.0,2.385714285714284,927.5103599176812,0.0247271409764456,0
44,459,7.0,0.1215894039735099,14.40889,121.103813,1539.0,488.9,6.8,138,10749.51906926281,-12765.528796050225,45.0,16.599999999999966,0.0,0.0,2.3714285714285666,827.1617960620107,0.0260154616952033,0
45,472,13.0,0.1250331125827814,14.396699,121.114868,1646.0,514.9,13.3,138,11940.13430858893,-14121.10801917744,107.0,26.0,0.0,0.0,2.0,1804.2139896320464,0.0288255603663237,0
46,487,15.0,0.1290066225165562,14.38115,121.12793,1875.0,518.6,13.0,144,13347.020310451093,-15850.080321728365,229.0,3.7000000000000455,6.0,0.4,0.2466666666666697,2229.041513863863,0.0322973362376873,0
47,491,4.0,0.1300662251655629,14.376389,121.130569,1928.0,526.0,12.4,152,13631.32411554832,-16379.48009872049,53.0,7.399999999999977,8.0,2.0,1.8499999999999943,600.8853363552446,0.0332332269329656,0
48,493,2.0,0.1305960264900662,14.373562,121.131882,1958.0,527.8,12.4,155,13772.792211151804,-16693.828590540503,30.0,1.7999999999999543,3.0,1.5,0.8999999999999773,344.6982693674336,0.0337701012473503,0
49,495,2.0,0.1311258278145695,14.371078,121.13279,1981.0,529.7,12.4,158,13870.641461482588,-16970.03716984062,23.0,1.900000000000091,3.0,1.5,0.9500000000000456,293.0137292248431,0.0342264758768823,0
50,497,2.0,0.1316556291390728,14.368674,121.133522,2004.0,533.4,12.7,162,13949.537718241394,-17237.35014272189,23.0,3.699999999999932,4.0,2.0,1.849999999999966,278.69925378610867,0.0346605554301986,0
