sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.510077,121.018005,0,14.8,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,9,9.0,0.0027915632754342,14.510298,121.017921,0,13.0,0.0,331,-9.042457415442293,24.574112731873495,0.0,-1.8000000000000007,-102.0,-11.333333333333334,-0.2,26.184977614441294,4.1900317664439114e-05,0
2,28,19.0,0.0086848635235732,14.510502,121.017662,0,35.2,0.0,315,-36.9233507678933,47.257909099375865,0.0,22.200000000000003,-16.0,-0.8421052631578947,1.168421052631579,35.942986632764544,9.941507211246031e-05,0
3,29,1.0,0.0089950372208436,14.510705,121.017448,0,57.4,0.0,315,-59.9600494096468,69.83051038655869,0.0,22.199999999999996,0.0,0.0,22.199999999999996,32.25231114722129,0.0001510241321765,0
4,31,2.0,0.0096153846153846,14.510938,121.01722,0,79.6,0.0,315,-84.5037953642328,95.73896408120564,0.0,22.199999999999996,0.0,0.0,11.099999999999998,35.688139182997595,0.0002081310883343,0
5,33,2.0,0.0102357320099255,14.511246,121.016891,0,101.9,0.0,315,-119.91995229308137,129.98704879309827,0.0,22.30000000000001,0.0,0.0,11.150000000000006,49.26697436857605,0.000286966438389,0
6,34,1.0,0.010545905707196,14.511543,121.016586,0,111.1,0.0,315,-152.75251180717848,163.01198762253696,0.0,9.199999999999989,0.0,0.0,9.199999999999989,46.56847795114226,0.0003614837455272,0
7,35,1.0,0.0108560794044665,14.511752,121.016365,0,122.2,0.0,315,-176.54263644070193,186.25175939128337,0.0,11.100000000000009,0.0,0.0,11.100000000000009,33.257430819060964,0.0004147011641762,0
8,36,1.0,0.0111662531017369,14.512104,121.015991,0,144.5,0.0,315,-216.80279701735657,225.3924276333453,0.0,22.299999999999997,0.0,0.0,22.299999999999997,56.15043612506471,0.0005045511974769,0
9,38,2.0,0.0117866004962779,14.512402,121.015686,0,151.9,0.0,315,-249.63522734902085,258.52856154310354,0.0,7.400000000000006,0.0,0.0,3.700000000000003,46.64731035319699,0.000579194649565,0
10,39,1.0,0.0120967741935483,14.512823,121.015251,0,163.0,0.0,315,-296.4617345261579,305.34169032120127,0.0,11.099999999999994,0.0,0.0,11.099999999999994,66.2132162079641,0.0006851468040235,0
11,40,1.0,0.0124069478908188,14.513191,121.01487,0,174.1,0.0,315,-337.4752233851766,346.2614798473148,0.0,11.099999999999994,0.0,0.0,11.099999999999994,57.93560898859193,0.0007778534107065,0
12,48,8.0,0.0148883374689826,14.516524,121.011414,38,250.0,0.0,315,-709.4999843412481,716.8746822655104,38.0,75.9,0.0,0.0,9.4875,525.125234277568,0.0016181410922093,0
13,55,7.0,0.0170595533498759,14.519783,121.008041,23,305.6,2.9,315,-1072.5847055969175,1079.2594487467798,-15.0,55.60000000000002,0.0,0.0,7.942857142857146,512.9845867065551,0.0024390017191098,0
14,64,9.0,0.0198511166253101,14.524796,121.002945,137,309.3,19.2,315,-1621.130339565226,1636.6803859575027,114.0,3.6999999999999886,0.0,0.0,0.4111111111111099,782.0617241766212,0.0036904305023877,0
15,72,8.0,0.0223325062034739,14.529236,120.998489,290,303.7,17.9,315,-2100.774386287791,2130.38654219429,153.0,-5.600000000000023,0.0,0.0,-0.7000000000000028,688.334565116627,0.0047918802482105,0
16,81,9.0,0.0251240694789081,14.533951,120.993713,427,290.8,14.3,315,-2614.85281524997,2654.671345495255,137.0,-12.899999999999975,0.0,0.0,-1.433333333333331,734.2692322428591,0.005966833098475,0
17,89,8.0,0.0276054590570719,14.538218,120.989349,511,292.6,4.6,315,-3084.5751476778537,3129.14075285197,84.0,1.8000000000000114,0.0,0.0,0.2250000000000014,667.6527203757203,0.0070351884541748,0
18,96,7.0,0.0297766749379652,14.541709,120.985733,541,303.7,4.6,315,-3473.779434192622,3517.322777947213,30.0,11.099999999999966,0.0,0.0,1.5857142857142807,549.6953020790953,0.0079147923291486,0
19,104,8.0,0.032258064516129,14.546494,120.980782,572,320.4,2.3,314,-4006.664997244932,4049.3912368645338,31.0,16.69999999999999,-1.0,-0.125,2.0874999999999986,753.0360386042622,0.0091197751897369,0
20,113,9.0,0.0350496277915632,14.551483,120.975571,617,342.6,5.2,315,-4567.522878508927,4604.143492149709,45.0,22.200000000000045,1.0,0.1111111111111111,2.4666666666666717,788.86658043395,0.0103820928743933,0
