sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.498171,121.000023,0,13.0,0.0,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,9,9.0,0.0027124773960217,14.497971,121.000206,0,11.1,0.0,132,19.700717104933496,-22.23901604657788,0.0,-1.9000000000000004,-17.0,-1.8888888888888888,-0.2111111111111111,29.71013445220459,4.694938721002199e-05,0
2,17,8.0,0.0051235684147076,14.498005,121.00042,0,11.1,0.0,84,42.73871087686837,-18.458383318542932,0.0,0.0,-48.0,-6.0,0.0,23.346153635397865,8.3842105035189e-05,0
3,24,7.0,0.0072332730560578,14.498131,121.000633,0,18.5,0.0,61,65.66903330212634,-4.447803209244843,0.0,7.4,-23.0,-3.2857142857142856,1.0571428571428572,26.871862472286004,0.000126306317989,0
4,29,5.0,0.0087402049427365,14.498368,121.001045,0,53.7,0.0,61,110.02248548158002,21.90543080597293,0.0,35.2,0.0,0.0,7.040000000000001,51.59190957741847,0.0002078343414838,0
5,31,2.0,0.009342977697408,14.498531,121.001343,0,70.4,0.0,61,142.10335363416425,40.03022888426458,0.0,16.700000000000003,0.0,0.0,8.350000000000001,36.846873521494366,0.000266061547935,0
6,34,3.0,0.0102471368294153,14.498806,121.001846,0,88.9,0.0,61,196.2532219052477,70.60887594844179,0.0,18.5,0.0,0.0,6.166666666666667,62.18735141674907,0.0003643329995815,0
7,36,2.0,0.0108499095840868,14.499023,121.00222,0,105.6,0.0,61,236.51569796388327,94.73820835903716,0.0,16.69999999999999,0.0,0.0,8.349999999999994,46.939266650721045,0.0004385086923534,0
8,37,1.0,0.0111512959614225,14.499218,121.002571,0,113.0,0.0,61,274.30210888435954,116.42124900472466,0.0,7.400000000000006,0.0,0.0,7.400000000000006,43.56569151090112,0.0005073532990013,0
9,38,1.0,0.0114526823387582,14.49937,121.002853,0,122.2,0.0,61,304.66040105058494,133.32290120020872,0.0,9.200000000000005,0.0,0.0,9.200000000000005,34.746123636338716,0.0005622607991768,0
