csv_path,window_index,start_row,end_row_exclusive,predicted_label,predicted_label_name,prob_authentic,prob_modified_altitude,prob_modified_speed,prob_modified_position
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,0,0,128,0,authentic,0.9928069114685059,0.0018566753715276718,0.0014804837992414832,0.0038558957166969776
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,1,16,144,0,authentic,0.9705477356910706,0.008644274435937405,0.0078050801530480385,0.013002891093492508
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,2,32,160,0,authentic,0.9722596406936646,0.008833229541778564,0.010819298215210438,0.00808789674192667
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,3,48,176,0,authentic,0.9623638391494751,0.011205731891095638,0.016541844233870506,0.009888495318591595
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,4,64,192,0,authentic,0.8303194046020508,0.053157709538936615,0.10181669145822525,0.014706208370625973
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,5,80,208,0,authentic,0.6828160881996155,0.16916251182556152,0.08618907630443573,0.061832357197999954
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,6,96,224,1,modified_altitude,8.926323062041774e-06,0.9995307326316833,0.000448730745119974,1.1589126188482624e-05
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,7,112,240,1,modified_altitude,1.8578460867502145e-06,0.9994449615478516,0.0005529102636501193,3.1342875672635273e-07
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,8,128,256,1,modified_altitude,2.157022936444264e-05,0.9986623525619507,0.0013155178166925907,5.644400857818255e-07
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,9,144,272,1,modified_altitude,7.201896369224414e-05,0.9942059516906738,0.005721191875636578,7.16240947440383e-07
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,10,160,288,1,modified_altitude,7.562843529740348e-05,0.9982725977897644,0.001650921767577529,8.162049311977171e-07
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,11,176,304,1,modified_altitude,5.77432474528905e-05,0.9991088509559631,0.0008324080845341086,9.62744024946005e-07
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,12,192,320,1,modified_altitude,0.000369132001651451,0.9973287582397461,0.0023007330019026995,1.3537189715862041e-06
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,13,208,336,0,authentic,0.7018792629241943,0.2351241558790207,0.05465725064277649,0.008339363150298595
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,14,224,352,0,authentic,0.5559002161026001,0.32107725739479065,0.11476820707321167,0.008254381828010082
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,15,240,368,0,authentic,0.7933160066604614,0.13293956220149994,0.04734836518764496,0.02639615722000599
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,16,256,384,0,authentic,0.9168873429298401,0.013661899603903294,0.00870464090257883,0.060746099799871445
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,17,272,400,0,authentic,0.8741277456283569,0.003794892691075802,0.004718732088804245,0.11735863238573074
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_ceb_poison_par/poisalt_ceb_3fddefa6.csv,18,288,416,0,authentic,0.896245539188385,0.0005785461980849504,0.0011059599928557873,0.10207001119852066
