csv_path,window_index,start_row,end_row_exclusive,predicted_label,predicted_label_name,prob_authentic,prob_modified_altitude,prob_modified_speed,prob_modified_position
betatesting_data/beta_ceb_auth/A21N_3f8b85eb_RPLL_to_RPVM.csv,0,0,128,0,authentic,0.8709831237792969,0.03918040543794632,0.028618428856134415,0.061218053102493286
betatesting_data/beta_ceb_auth/A21N_3f8b85eb_RPLL_to_RPVM.csv,1,16,144,0,authentic,0.8271875977516174,0.06269761919975281,0.07176539301872253,0.03834947943687439
betatesting_data/beta_ceb_auth/A21N_3f8b85eb_RPLL_to_RPVM.csv,2,32,160,0,authentic,0.7513459920883179,0.10561168938875198,0.07205897569656372,0.07098329067230225
betatesting_data/beta_ceb_auth/A21N_3f8b85eb_RPLL_to_RPVM.csv,3,48,176,0,authentic,0.753078818321228,0.10210668295621872,0.06303562223911285,0.08177881687879562
betatesting_data/beta_ceb_auth/A21N_3f8b85eb_RPLL_to_RPVM.csv,4,64,192,0,authentic,0.8275338411331177,0.06118563935160637,0.0425301231443882,0.06875036656856537
betatesting_data/beta_ceb_auth/A21N_3f8b85eb_RPLL_to_RPVM.csv,5,80,208,0,authentic,0.8592388033866882,0.04775777831673622,0.030132001265883446,0.06287147849798203
betatesting_data/beta_ceb_auth/A21N_3f8b85eb_RPLL_to_RPVM.csv,6,96,224,0,authentic,0.9251245856285095,0.0334809236228466,0.015967020764946938,0.025427453219890594
betatesting_data/beta_ceb_auth/A21N_3f8b85eb_RPLL_to_RPVM.csv,7,112,240,0,authentic,0.9512436389923096,0.021382344886660576,0.011141142807900906,0.016232753172516823
betatesting_data/beta_ceb_auth/A21N_3f8b85eb_RPLL_to_RPVM.csv,8,128,256,0,authentic,0.9854512214660645,0.0061372555792331696,0.0021795248612761497,0.006232042796909809
betatesting_data/beta_ceb_auth/A21N_3f8b85eb_RPLL_to_RPVM.csv,9,144,272,0,authentic,0.9896418452262878,0.005427244119346142,0.0021264594979584217,0.0028044194914400578
betatesting_data/beta_ceb_auth/A21N_3f8b85eb_RPLL_to_RPVM.csv,10,160,288,0,authentic,0.9857422113418579,0.007915609516203403,0.003843888873234391,0.0024983196053653955
betatesting_data/beta_ceb_auth/A21N_3f8b85eb_RPLL_to_RPVM.csv,11,176,304,0,authentic,0.9786980748176575,0.008182765915989876,0.007181620690971613,0.00593751622363925
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,0,0,128,0,authentic,0.6280142664909363,0.037089020013809204,0.2769193649291992,0.057977281510829926
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,1,16,144,0,authentic,0.6704709529876709,0.06659380346536636,0.1974693238735199,0.06546595692634583
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,2,32,160,0,authentic,0.8260591626167297,0.08025245368480682,0.058315858244895935,0.03537249565124512
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,3,48,176,0,authentic,0.8911152482032776,0.03538408875465393,0.054853517562150955,0.018647104501724243
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,4,64,192,0,authentic,0.7395204305648804,0.10236719250679016,0.10302197933197021,0.05509037896990776
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,5,80,208,0,authentic,0.6590155959129333,0.1145196408033371,0.14357788860797882,0.08288688957691193
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,6,96,224,0,authentic,0.6716427803039551,0.13605232536792755,0.1170983836054802,0.07520639896392822
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,7,112,240,0,authentic,0.6193491220474243,0.15158261358737946,0.10673094540834427,0.12233738601207733
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,8,128,256,0,authentic,0.7605555057525635,0.12609702348709106,0.054706647992134094,0.058640796691179276
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,9,144,272,0,authentic,0.8685760498046875,0.06453314423561096,0.037032630294561386,0.029858078807592392
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,10,160,288,0,authentic,0.8839496374130249,0.030335772782564163,0.07955998182296753,0.006154562346637249
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,11,176,304,2,modified_speed,0.020289288833737373,0.165382981300354,0.7555471658706665,0.05878062918782234
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,12,192,320,0,authentic,0.9372342228889465,0.014509419910609722,0.03303207457065582,0.015224233269691467
betatesting_data/beta_ceb_auth/A21N_3f936b43_RPLL_to_RPVM.csv,0,0,128,0,authentic,0.8959554433822632,0.024175172671675682,0.024265913292765617,0.05560346320271492
betatesting_data/beta_ceb_auth/A21N_3f936b43_RPLL_to_RPVM.csv,1,16,144,0,authentic,0.8614405393600464,0.034093327820301056,0.03162531182169914,0.07284080237150192
betatesting_data/beta_ceb_auth/A21N_3f936b43_RPLL_to_RPVM.csv,2,32,160,0,authentic,0.8098880052566528,0.04967786371707916,0.03393296152353287,0.10650122910737991
betatesting_data/beta_ceb_auth/A21N_3f936b43_RPLL_to_RPVM.csv,3,48,176,0,authentic,0.47371649742126465,0.15509635210037231,0.12241461873054504,0.24877244234085083
betatesting_data/beta_ceb_auth/A21N_3f936b43_RPLL_to_RPVM.csv,4,64,192,0,authentic,0.8236381411552429,0.06072504073381424,0.03471903130412102,0.08091779798269272
