csv_path,window_index,start_row,end_row_exclusive,predicted_label,predicted_label_name,prob_authentic,prob_modified_altitude,prob_modified_speed,prob_modified_position
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,0,0,128,0,authentic,0.9822438955307007,0.005059032700955868,0.002674318617209792,0.01002286747097969
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,1,16,144,0,authentic,0.9822198748588562,0.0060053919441998005,0.0022687066812068224,0.009505948051810265
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,2,32,160,0,authentic,0.9719642996788025,0.010354210622608662,0.005752160679548979,0.011929329484701157
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,3,48,176,0,authentic,0.9633803963661194,0.013614030554890633,0.0074667735025286674,0.015538705512881279
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,4,64,192,3,modified_position,6.803263386245817e-05,0.21705596148967743,0.10613973438739777,0.6767362952232361
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,5,80,208,3,modified_position,5.542918901646487e-10,0.00032310420647263527,3.3611988328630105e-05,0.9996433258056641
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,6,96,224,3,modified_position,4.659537755635768e-10,0.00047211896162480116,7.131179881980643e-05,0.9994564056396484
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,7,112,240,3,modified_position,8.049189093028986e-10,0.00026177417021244764,4.190396430203691e-05,0.9996962547302246
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,8,128,256,3,modified_position,2.679764188329159e-09,0.00043748915777541697,8.475405775243416e-05,0.9994778037071228
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,9,144,272,3,modified_position,3.849080609796829e-09,0.00046409788774326444,8.94389595487155e-05,0.9994465112686157
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,10,160,288,3,modified_position,3.8541351443655e-08,0.000489303725771606,0.00010645359725458547,0.9994041323661804
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,11,176,304,3,modified_position,2.064543195956503e-06,0.010427454486489296,0.0018773364135995507,0.9876932501792908
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,12,192,320,0,authentic,0.9866291284561157,0.010962446220219135,0.0014885164564475417,0.0009198727202601731
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f932ba1.csv,13,208,336,0,authentic,0.9676913022994995,0.028848502784967422,0.0029323934577405453,0.0005279244505800307
