csv_path,window_index,start_row,end_row_exclusive,predicted_label,predicted_label_name,prob_authentic,prob_modified_altitude,prob_modified_speed,prob_modified_position
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,0,0,128,3,modified_position,2.2089792560235633e-14,5.0255359769491026e-12,3.3735771664763544e-21,1.0
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,1,16,144,3,modified_position,7.113312217900403e-14,1.0116103267565624e-11,2.2328041038204127e-20,1.0
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,2,32,160,3,modified_position,2.8865578411687784e-14,1.8197728046676076e-10,8.735889345854617e-20,1.0
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,3,48,176,3,modified_position,1.8670464547771055e-14,1.6694014226548148e-10,5.187149454917735e-20,1.0
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,4,64,192,3,modified_position,6.137929384588195e-15,4.4402106991192625e-11,8.2949833385531e-21,1.0
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,5,80,208,3,modified_position,8.86754794485016e-14,6.926779150262519e-10,6.779996230548548e-19,1.0
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,6,96,224,3,modified_position,1.9093791081559175e-07,1.1455735148047097e-05,5.456074134158051e-11,0.999988317489624
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,7,112,240,3,modified_position,6.306800969468895e-06,9.42327969823964e-05,5.056227436739391e-09,0.9998995661735535
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,8,128,256,0,authentic,0.9527741074562073,0.019183041527867317,0.014257951639592648,0.013784991577267647
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,9,144,272,0,authentic,0.9842414855957031,0.005675391759723425,0.004912518430501223,0.005170500371605158
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,10,160,288,0,authentic,0.9844764471054077,0.005021954420953989,0.003990726079791784,0.00651085888966918
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,11,176,304,0,authentic,0.9867110848426819,0.0037481412291526794,0.0032053848262876272,0.006335468962788582
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,12,192,320,0,authentic,0.9893187880516052,0.003019605064764619,0.0021060940343886614,0.005555506329983473
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,13,208,336,0,authentic,0.9959724545478821,0.0013727566692978144,0.0008460466051474214,0.0018087126081809402
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9b32a6.csv,14,224,352,0,authentic,0.9967155456542969,0.0008412398165091872,0.00046837341506034136,0.001974846702069044
