csv_path,window_index,start_row,end_row_exclusive,predicted_label,predicted_label_name,prob_authentic,prob_modified_altitude,prob_modified_speed,prob_modified_position
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,0,0,128,0,authentic,0.9383388161659241,0.02124543860554695,0.03759470954537392,0.002821099478751421
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,1,16,144,0,authentic,0.9804911017417908,0.005074181593954563,0.004988286644220352,0.00944649986922741
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,2,32,160,3,modified_position,2.982724254252389e-07,2.6084924684255384e-05,2.473388993617931e-10,0.999973714351654
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,3,48,176,3,modified_position,1.1435491124184034e-14,1.4193972663889554e-09,1.0082986577609608e-19,1.0
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,4,64,192,3,modified_position,1.2047454640883373e-14,1.0177833020819094e-09,8.002997629609831e-20,1.0
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,5,80,208,3,modified_position,1.5789061749119267e-14,1.024909268565466e-09,1.0266335684025961e-19,1.0
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,6,96,224,3,modified_position,1.3210786631301374e-14,5.457598262204044e-10,6.060044074776535e-20,1.0
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,7,112,240,3,modified_position,1.9621491118091555e-14,9.020396651848728e-10,1.5303332470719715e-19,1.0
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,8,128,256,3,modified_position,1.1538333629474914e-14,1.0523347748758738e-09,1.0671187602612677e-19,1.0
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,9,144,272,3,modified_position,1.4687375546053013e-15,4.6720796120780506e-09,2.375411818570402e-20,1.0
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,10,160,288,0,authentic,0.9504380226135254,0.02399863488972187,0.015357653610408306,0.010205700062215328
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,11,176,304,0,authentic,0.993300199508667,0.002630423754453659,0.0022151689045131207,0.0018542429897934198
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,12,192,320,0,authentic,0.9915109276771545,0.0034399188589304686,0.002483125776052475,0.002566027455031872
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,13,208,336,0,authentic,0.9917189478874207,0.003252369351685047,0.002480953000485897,0.002547742798924446
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,14,224,352,0,authentic,0.9892185926437378,0.005154708866029978,0.003309841500595212,0.002316937083378434
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,15,240,368,0,authentic,0.9978498816490173,0.0009601669735275209,0.0005256751901470125,0.0006642496446147561
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,16,256,384,0,authentic,0.9921296238899231,0.0037532635033130646,0.0017970988992601633,0.0023200917057693005
