csv_path,window_index,start_row,end_row_exclusive,predicted_label,predicted_label_name,prob_authentic,prob_modified_altitude,prob_modified_speed,prob_modified_position
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,0,0,128,0,authentic,0.9508840441703796,0.0010339678265154362,0.0012273081811144948,0.04685463756322861
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,1,16,144,0,authentic,0.9750897884368896,0.00042605766793712974,0.0009386441088281572,0.0235455259680748
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,2,32,160,0,authentic,0.9436177015304565,0.0007827488007023931,0.001159305451437831,0.054440174251794815
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,3,48,176,1,modified_altitude,1.0896832481482877e-12,0.9999996423721313,3.2334588695448474e-07,2.1840733666067536e-09
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,4,64,192,1,modified_altitude,3.7605916973873735e-17,1.0,1.7997100337785454e-11,4.788522356413694e-10
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,5,80,208,1,modified_altitude,5.4663919760656514e-17,1.0,3.902689282853089e-11,4.680523746358745e-10
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,6,96,224,1,modified_altitude,1.677970812672891e-16,1.0,1.0034608560749447e-10,7.932432488644281e-10
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,7,112,240,1,modified_altitude,3.559996626899671e-16,1.0,2.0172384596062187e-10,1.0718649301466598e-09
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,8,128,256,1,modified_altitude,2.772602210670362e-16,1.0,2.2391614951100536e-10,6.829998233648382e-10
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,9,144,272,1,modified_altitude,2.9046093838241884e-16,1.0,3.1673633160700376e-10,4.614396920121777e-10
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,10,160,288,1,modified_altitude,1.2778239780604869e-16,1.0,2.601272086621975e-09,1.2117208278428215e-11
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,11,176,304,0,authentic,0.9262703061103821,0.031790342181921005,0.019403213635087013,0.022536125034093857
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,12,192,320,0,authentic,0.827921450138092,0.08295111358165741,0.04735663905739784,0.041770678013563156
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,13,208,336,0,authentic,0.9178910255432129,0.054971255362033844,0.010444046929478645,0.01669371873140335
betatesting/betatesting_data/beta_ilo_poison_par/poisalt_ilo_3f928d9c.csv,14,224,352,0,authentic,0.9797608852386475,0.011876443400979042,0.0034311641938984394,0.004931430798023939
betatesting/betatesting_data/beta_ilo_poison_par/poispos_ilo_3f928d9c.csv,0,0,128,0,authentic,0.9508840441703796,0.0010339678265154362,0.0012273081811144948,0.04685463756322861
betatesting/betatesting_data/beta_ilo_poison_par/poispos_ilo_3f928d9c.csv,1,16,144,0,authentic,0.9750897884368896,0.00042605766793712974,0.0009386441088281572,0.0235455259680748
betatesting/betatesting_data/beta_ilo_poison_par/poispos_ilo_3f928d9c.csv,2,32,160,0,authentic,0.9436177015304565,0.0007827488007023931,0.001159305451437831,0.054440174251794815
betatesting/betatesting_data/beta_ilo_poison_par/poispos_ilo_3f928d9c.csv,3,48,176,3,modified_position,6.502371974193011e-08,3.41548371807221e-07,4.877894420850237e-13,0.9999996423721313
betatesting/betatesting_data/beta_ilo_poison_par/poispos_ilo_3f928d9c.csv,4,64,192,3,modified_position,4.614346682529913e-09,4.5519950475636506e-08,1.2980347082836106e-14,1.0
betatesting/betatesting_data/beta_ilo_poison_par/poispos_ilo_3f928d9c.csv,5,80,208,3,modified_position,1.0191121724290042e-08,2.763275119832542e-07,1.2168284229622378e-13,0.9999997615814209
betatesting/betatesting_data/beta_ilo_poison_par/poispos_ilo_3f928d9c.csv,6,96,224,3,modified_position,3.312995033866173e-08,2.4321806790794653e-07,3.4735696307144903e-13,0.9999997615814209
