ALL,,CEBU,DAVAO,ILOILO,MALAY,PUERTO PRINCESA
TEST Set,SEQ Complexity,125294.000000,268094.000000,87278.000000,372494.000000,599438.000000
,SEQ Accuracy,"	0.956806",0.956081,0.924138,0.948944,0.957076
,Par Complexity,126446.000000,167438.000000,121406.000000,220334.000000,746126.000000
,Par Accuracy,0.884817,0.949324,0.946552,0.938380,"	0.931669"
,,,,,,
Pois Set,SEQ Complexity,125294.000000,268094.000000,87278.000000,372494.000000,599438.000000
,SEQ Accuracy,0.968652,0.979094,0.937171,0.942368,0.965180
,Par Complexity,126446.000000,167438.000000,121406.000000,220334.000000,746126.000000
,Par Accuracy,0.886977,0.952484,0.948605,0.951700,0.925839
TRAINABLE,,,,,,
TEST Set,SEQ Complexity T,41764.000000,89364.000000,29092.000000,124164.000000,199812.000000
,SEQ Accuracy,"	0.956806",0.956081,0.924138,0.948944,0.957076
,Par Complexity T,42148.000000,55812.000000,40468.000000,73444.000000,248708.000000
,Par Accuracy,0.884817,0.949324,0.946552,0.938380,"	0.931669"
,,,,,,
Pois Set,SEQ Complexity NT,41764.000000,89364.000000,29092.000000,124164.000000,199812.000000
,SEQ Accuracy,0.968652,0.979094,0.937171,0.942368,0.965180
,Par Complexity T,42148.000000,55812.000000,40468.000000,73444.000000,248708.000000
,Par Accuracy,0.886977,0.952484,0.948605,0.951700,0.925839
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Malay Seq,PP Seq,DvoSeq,,,
,0.006576,-0.008104,,,,
