csv_path,window_index,start_row,end_row_exclusive,predicted_label,predicted_label_name,prob_authentic,prob_modified_altitude,prob_modified_speed,prob_modified_position
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,0,0,128,0,authentic,0.9721487760543823,0.013154163025319576,0.006860162131488323,0.007836923003196716
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,1,16,144,0,authentic,0.9534392952919006,0.02169794589281082,0.012214518152177334,0.012648266740143299
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,2,32,160,0,authentic,0.9492306709289551,0.0233490951359272,0.014493155293166637,0.012927054427564144
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,3,48,176,0,authentic,0.9512708187103271,0.022165799513459206,0.014001081697642803,0.012562247924506664
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,4,64,192,0,authentic,0.8957139253616333,0.047054581344127655,0.02788255177438259,0.02934892848134041
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,5,80,208,0,authentic,0.864693284034729,0.061346568167209625,0.035338081419467926,0.03862205147743225
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,6,96,224,1,modified_altitude,0.07825232297182083,0.8524735569953918,0.0631251409649849,0.006148879416286945
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,7,112,240,1,modified_altitude,0.0032557921949774027,0.9905086159706116,0.005854153074324131,0.0003814766532741487
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,8,128,256,1,modified_altitude,0.010634182021021843,0.9767817854881287,0.011366398073732853,0.0012176311574876308
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,9,144,272,1,modified_altitude,0.008447658270597458,0.9821460247039795,0.007657266221940517,0.0017490795580670238
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,10,160,288,1,modified_altitude,4.674531282944372e-06,0.999946117401123,4.8412784963147715e-05,8.121714927256107e-07
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,11,176,304,1,modified_altitude,7.652502063137945e-06,0.9999243021011353,6.690446025459096e-05,1.109892082240549e-06
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,12,192,320,1,modified_altitude,1.9275928934803233e-05,0.9998538494110107,0.0001237203978234902,3.0921503366698744e-06
data_pps_ready/ppsalt/modalt_pps_3e3a56df.csv,13,208,336,1,modified_altitude,0.0003286609426140785,0.9988458156585693,0.0007768005598336458,4.874684600508772e-05
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,0,0,128,0,authentic,0.9902971386909485,0.0036559842992573977,0.002268708311021328,0.003778229933232069
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,1,16,144,0,authentic,0.9786899089813232,0.008105816319584846,0.005432998761534691,0.007771219592541456
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,2,32,160,0,authentic,0.9675798416137695,0.01250922679901123,0.008260736241936684,0.011650200933218002
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,3,48,176,0,authentic,0.7884207367897034,0.14299842715263367,0.049990519881248474,0.018590331077575684
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,4,64,192,3,modified_position,0.026806259527802467,0.39664292335510254,0.012378186918795109,0.5641725659370422
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,5,80,208,3,modified_position,0.035885900259017944,0.39078250527381897,0.012771540321409702,0.5605600476264954
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,6,96,224,3,modified_position,0.03874705359339714,0.37695181369781494,0.013938352465629578,0.5703628063201904
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,7,112,240,3,modified_position,0.04035114496946335,0.3464343845844269,0.01533166691660881,0.5978828072547913
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,8,128,256,3,modified_position,0.045682936906814575,0.33898288011550903,0.01809423230588436,0.5972399711608887
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,9,144,272,1,modified_altitude,0.06510744243860245,0.4318508505821228,0.11818218231201172,0.38485950231552124
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,10,160,288,1,modified_altitude,0.2639179825782776,0.3734513521194458,0.12707772850990295,0.23555296659469604
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,11,176,304,3,modified_position,0.15061627328395844,0.1610180288553238,0.04871869459748268,0.6396471261978149
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,12,192,320,0,authentic,0.6959804892539978,0.08840246498584747,0.10452785342931747,0.11108914762735367
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,13,208,336,0,authentic,0.6920299530029297,0.08394049108028412,0.09154792129993439,0.13248158991336823
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,14,224,352,3,modified_position,0.17714446783065796,0.019850490614771843,0.04029858484864235,0.7627063989639282
data_pps_ready/ppsalt/modalt_pps_3e3b27f0.csv,15,240,368,3,modified_position,0.19940030574798584,0.007918140850961208,0.040627166628837585,0.7520543932914734
