bin_id,var_x,var_y,cov_xy
0,4508.55456592412,2325.6972938778704,69.73978007783546
1,132181.20613130857,46078.93543087971,-20415.988994387102
2,343991.82775182003,114234.1759987361,-40624.42999764024
3,684252.9787503596,202414.47987398732,-56682.923766423664
4,1120762.2708241541,351503.69753570395,-114050.85012062358
5,1685560.7480531535,462098.7789417456,-126483.78263036971
6,2423332.3653362677,807137.2990444298,-299095.8015355657
7,3290028.5922164517,1037876.4009105781,-381261.5918412488
8,4341955.073871752,1561105.7042475853,-597263.321958481
9,5333760.710524357,1857001.8162498896,-895981.9223560265
10,6602938.172767748,2387367.2489276133,-793321.473681489
11,7472342.293765931,2961719.8796331286,-1005617.8868886983
12,9401143.781213548,3544850.576332828,-1102584.6498842305
13,10485909.535253923,4099132.806221454,-1231552.000436554
14,12351213.752452018,4778497.675851916,-1576491.195167974
15,14164216.23345457,5190962.325013178,-1738963.2903689882
16,16188951.815375252,5655537.784755302,-2234732.6212509964
17,18032609.64537783,6903626.559331546,-1803078.5133567196
18,20335111.32529472,7176644.860000535,-2649570.9268506765
19,22881169.90839601,8794094.304563452,-3045926.2595169484
20,24140910.86339111,9044374.129649617,-3184218.911623197
21,28068750.531244986,11059253.81490095,-3095862.7522837333
22,29090808.567588788,11241977.28127777,-4489656.178141589
23,31910296.142999727,12611215.279252032,-4063691.166149882
24,34058963.91983892,13372160.500329027,-4383323.861024782
25,37569437.62016509,14968672.32021808,-5002280.454894273
26,40131323.65719971,15462677.808046784,-4676207.980101815
27,41678319.292220615,16271367.612836065,-5745337.041758988
28,45985139.80703098,16633580.686334351,-5243493.796858989
29,48635185.75294001,18223382.11158502,-6109164.7794587305
30,54571085.44661008,17945047.886130553,-5567973.129269971
31,56814206.65942385,19403829.328552864,-6473705.6102783345
32,61132170.87090997,20004580.120537322,-7349931.986369192
33,67745430.68366922,20657251.638917517,-7688031.267931367
34,69382259.40545392,22518190.647741273,-9482639.781360915
35,75921321.82965784,21029713.972798143,-9552396.901586035
36,81308546.03961636,22931901.50384845,-10831037.811787393
37,87024410.18602353,25775692.916910186,-12437989.497969128
38,92754626.98580796,24077607.344768357,-13932137.198821036
39,97076923.36656217,26542093.973763954,-14862460.428192692
40,103632752.90800066,27610404.20960964,-16243891.013761679
41,108126449.25674722,27219009.601849116,-17043485.590896368
42,114638544.83395575,30908793.587711196,-20034430.558627266
43,119134217.33669038,30921364.615701616,-20285786.461032912
44,126086322.61763653,31391947.74006153,-21244872.52554634
45,130952255.54337768,33078727.643050447,-23365388.21592412
46,136382626.42927715,34556000.59937552,-23440319.430699542
47,141229620.54083386,37154713.66786957,-26482105.280174315
48,147824656.27442163,39143886.55242169,-26292371.50597214
49,152860047.71665677,39385967.834582694,-25539397.65081113
50,156441361.19626677,42785166.01642624,-30210517.402296696
51,162380015.53595886,44464507.96311376,-29245622.866925262
52,166065139.69846246,47341383.4212097,-30313938.190197363
53,170356136.81324404,49167325.833321944,-33410048.17228021
54,175496920.0726338,49662538.15270245,-32848659.83587538
55,179560066.77108866,51358334.56041182,-32313248.564750362
56,182421019.23775044,56125370.704190716,-33805343.4739678
57,187147369.291266,56674681.69919239,-35677692.469925515
58,189935547.5201724,59185399.77827077,-35597317.714208096
59,191523687.97767136,63727496.39416231,-35982142.635673076
60,194996271.25036907,67054801.50729079,-36270959.1159169
61,200341053.049748,60938088.193192594,-29174630.753666766
62,199586022.32920018,71838345.80622219,-34283471.599267974
63,201604048.9409482,72539204.07613237,-34369694.48084933
64,203296109.97981212,74650665.25531302,-32634994.237048324
65,205605611.12697938,76166334.9303683,-32642066.052179065
66,207787722.56968004,77485384.59400126,-32043108.97581712
67,209929596.09012434,78753452.63561782,-26466520.551196408
68,210001522.13506082,83001977.42830712,-31784854.5716017
69,211818094.3853511,85000603.48546185,-31704144.978910185
70,213415977.59243718,88602629.96924321,-34815395.15610352
71,213053541.04180893,89405895.58981292,-30391531.235934768
72,213692036.44511434,92198337.19160253,-31695365.408472028
73,216013728.4726517,93706295.58595622,-26817882.613693643
74,218918430.76852807,91580654.97549364,-33278591.66339578
75,219680716.27891654,97199957.90063688,-35125270.24420212
76,220246276.7228035,93939582.78556989,-31271052.3851621
77,222246099.57923937,109139038.36387475,-37536078.45591994
78,220351801.0952697,102893493.62229855,-34557755.74653536
79,223171369.0053351,108356125.42754397,-38526340.91252414
80,216042892.93961108,106671296.402843,-29556045.034393307
81,219144577.6121792,114780218.6539887,-43173764.69182918
82,223097012.73725927,115216991.3277907,-40858807.45659445
83,224947836.16980216,124932011.35896038,-43224806.677827135
84,224375460.5036194,124340686.61963904,-41545189.90936778
85,227589799.67679468,123503018.92832905,-44345150.85222681
86,227993019.26704398,125391367.30491012,-43608252.39042919
87,230634339.91732213,132144524.09254792,-49621448.23820373
88,234593844.81623086,134740313.59761587,-43427027.21566442
89,232873443.59342173,140106009.51136857,-49046642.97035885
90,230812835.27312076,147427903.72504133,-33828620.83139766
91,234032704.5185107,140488149.5739416,-51728993.54055476
92,229308298.94672322,141358524.79214352,-54659221.01623992
93,227266726.18706173,146688164.14486685,-47276838.435762875
94,240830746.83705005,141264869.3181137,-48621415.99514794
95,231455533.77866337,155028561.96070677,-45239562.69895787
96,229849395.2019125,156981069.44482362,-47773995.13902283
97,231458120.58587554,159360736.06787527,-46303213.320288405
98,220405553.73268324,153567466.82049072,-47332074.875589624
99,225668476.73818842,154532455.21686834,-41773796.556898214
100,226637582.61891815,163959582.9709119,-42404036.143747434
101,224482346.67394316,175408321.5553541,-49609652.96891604
102,228995040.9540111,176117822.9543878,-49340999.823517725
103,219488678.61885667,163899615.2819237,-44068054.34747163
104,220486901.29842013,159161017.43784285,-50768787.37424055
105,225862564.54311144,162966468.62855396,-41734241.3525876
106,210961686.68836823,176808817.27071235,-42791695.36852941
107,225847569.6702825,183597928.1166779,-33428442.239161883
108,208015864.16590205,177496967.4918556,-47720996.44404936
109,221717781.0454457,163701187.98306346,-36968340.57125143
110,224419411.86408707,173204501.29590464,-26763052.20225935
111,219267945.38501868,167899267.6566973,-35497953.014960505
112,220274812.52492827,183369762.85820395,-23066887.21497833
113,223804575.75989285,183484357.02582866,-34461848.35889706
114,206113300.80522543,171941562.29985797,-49300944.21889476
115,209145599.6860043,176072007.39289874,-32196076.5477656
116,224678579.7397344,180368358.49461213,-31465126.78602241
117,231129527.87987545,167971917.1963132,-20706772.191229034
118,214716715.6522222,193385519.02255115,-24872016.612532094
119,216082159.60532328,194043186.01767194,-33637015.843093574
120,213227321.36469364,168717891.6201329,-36068625.779203035
121,208849575.3467408,166265564.50852427,-26842940.138728503
122,221607512.11331928,153905130.490636,-22757521.046459917
123,222511899.98950323,159057193.10884178,-12912852.403759873
124,220518389.6600513,182559135.63416484,-27180257.746716823
125,238264684.19694144,178995784.03087893,-38292500.80717236
126,224105433.88873425,161010885.84308824,-19830229.275679085
127,220066082.17075452,173794565.6078897,-16654835.461987875
128,216601387.9365163,166676679.15507412,-21507846.102611355
129,225682652.4091456,157701304.6056925,-23548565.096525043
130,209610451.3754373,171151200.98293665,-28616435.130116113
131,214614336.03286433,180061307.22861484,-40128852.08604347
132,211460111.2852432,156104193.87424952,-30865610.453016058
133,202525739.18436372,168878917.27282614,-8826559.248451803
134,208460019.6483534,184592722.62042895,-29203716.792313162
135,202192127.3212583,169818137.23611864,-23097354.325175665
136,212191722.3720391,175094121.4698359,-29368736.622015726
137,209897608.28696457,172248337.37212154,-25253793.88254428
138,224847370.11242127,192460180.2375427,-17025341.5906652
139,205678000.11809117,168692111.36038283,-9616967.9679401
140,210899193.71202222,210654240.1743293,-5189258.966585416
141,207903694.88634092,214081689.3262601,-17997443.584949378
142,211950027.66480854,188078612.85160604,-4538229.645751231
