bin_id,route_progress_center,route_progress_bin_center,latitude,longitude,verticalSpeed_ms,x_wrt0,y_wrt0,altitude_meters,speed_kmh,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep
0,0.00025,0.00025,14.49879525,121.001835,0.0,38.161203462586414,26.325435245314722,0.0,24.05,0.0,9.200000000000005,0.0,0.0,0.46160714285714277,31.280183404818146
1,0.00075,0.00075,14.500649,121.0051115,0.0,340.07845464535853,237.84627661958453,0.0,151.9,0.0,35.199999999999996,0.0,0.0,8.644444444444444,163.35729506816978
2,0.00125,0.00125,14.501795000000001,121.007225,0.3,640.967588993461,393.4081938663711,23.0,200.0,0.0,22.19999999999999,0.0,0.0,7.637500000000003,149.93513111088097
3,0.00175,0.00175,14.503257,121.009682,0.35,921.1329212319663,556.809364269496,26.5,235.2,0.0,18.5,0.0,0.0,7.400000000000002,158.59741013481243
4,0.00225,0.00225,14.5047225,121.011703,0.85,1191.7700964938354,712.3156839759461,30.0,264.79999999999995,0.0,16.69999999999999,0.0,0.0,6.474999999999994,188.16115917296412
5,0.00275,0.00275,14.506119,121.014168,2.3,1468.5404456611122,873.7709404747167,38.0,285.2,0.0,13.900000000000006,0.0,0.0,5.144444444444442,204.51281490281184
6,0.00325,0.00325,14.50762025,121.01651749999999,10.25,1718.6099106818715,1034.3366363320806,69.0,294.5,26.5,7.400000000000034,0.0,0.0,2.325000000000003,256.35421619990456
7,0.00375,0.00375,14.508982499999998,121.019043,12.7,1994.2444278810365,1198.57176983716,114.0,296.3,34.0,0.0,0.0,0.0,0.0,282.6902119947238
8,0.00425,0.00425,14.510284,121.02133549999999,14.0,2226.6051959739493,1355.134442806292,171.5,292.6,68.0,-1.8499999999999943,0.0,0.0,-0.4750000000000085,493.3993721943413
9,0.00475,0.00475,14.511915,121.023781,14.0,2514.833961243525,1530.4890843343949,228.5,290.8,84.0,-1.8499999999999943,0.0,0.0,-0.45000000000000284,523.7212081307424
10,0.00525,0.00525,14.51326,121.0261305,13.7,2789.1486923921957,1680.15766232849,278.25,289.85,84.0,-1.8000000000000114,0.0,0.0,-0.4111111111111161,520.0081874242354
11,0.00575,0.00575,14.514862,121.028801,13.0,3067.60069230422,1857.0690349800057,331.5,288.9,77.0,-0.9499999999999886,0.0,0.0,-0.2571428571428547,504.0011650201251
12,0.00625,0.00625,14.516281,121.030838,12.05,3306.5791877900483,2020.4146078431477,381.0,288.0,76.0,-0.950000000000017,0.0,0.0,-0.2571428571428588,501.0804712314985
13,0.00675,0.00675,14.517827,121.03369925,10.9,3610.2403970573987,2189.5423248784846,419.0,288.9,69.0,0.0,0.0,0.0,0.0,529.352703114959
14,0.00725,0.00725,14.519302,121.03588675,9.4,3852.2826175389255,2355.278591966551,457.0,289.85,61.0,0.8999999999999772,0.0,0.0,0.2000000000000012,525.8164411827859
15,0.00775,0.00775,14.5209,121.03846,8.3,4142.541588645933,2529.0209048314355,495.0,293.55,57.0,1.8499999999999943,0.0,0.0,0.45000000000000284,545.6057409180767
16,0.00825,0.00825,14.52253,121.0408705,7.8,4392.271229131315,2709.990897911431,533.0,296.3,53.0,3.6999999999999886,0.0,0.0,0.6999999999999993,575.3570817619533
17,0.00875,0.00875,14.52388,121.04353525,7.5,4672.306117956556,2856.1012333384842,564.0,300.0,53.0,3.700000000000017,0.0,0.0,0.9249999999999972,579.503649490729
18,0.00925,0.00925,14.525345,121.045609,7.5,4902.263505084838,3021.0591348651983,594.0,303.7,53.0,5.550000000000011,0.0,0.0,1.2333333333333358,600.9805253396144
19,0.00975,0.00975,14.526901,121.048035,7.2,5174.164560067525,3184.6270978886255,632.0,311.1,53.0,7.399999999999977,0.0,0.0,1.625,616.1779430392135
20,0.01025,0.01025,14.528366,121.05079275,7.425,5457.386308781954,3349.9463834255826,655.0,313.0,53.0,7.399999999999977,0.0,0.0,1.6444444444444457,640.3413049342539
21,0.01075,0.01075,14.529792,121.053192,7.2,5723.577621921727,3505.8696846831426,693.0,322.2,46.0,11.099999999999966,0.0,0.0,1.8555555555555543,636.2550104929055
22,0.01125,0.01125,14.531296,121.0558625,7.2,6008.442005436297,3682.3918745537167,724.0,327.8,46.0,9.199999999999989,0.0,0.0,1.8571428571428572,650.5689972125377
23,0.01175,0.01175,14.53255775,121.058754,6.8,6302.214623353211,3809.93263158173,754.0,334.29999999999995,45.0,7.4750000000000085,0.0,0.0,2.0555555555555554,648.5681803759785
24,0.01225,0.01225,14.534214,121.061241,7.2,6585.755737012994,3988.567527976784,792.0,340.75,45.0,7.399999999999977,0.0,0.0,1.991666666666665,651.8268937110197
25,0.01275,0.01275,14.535324,121.063652,6.65,6843.577258679772,4113.773188319678,815.0,350.0,38.0,8.349999999999994,0.0,0.0,2.114285714285716,651.6356856020166
26,0.01325,0.01325,14.536606,121.066589,6.5,7139.354622488732,4260.217108987336,849.5,350.0,38.0,7.399999999999977,0.0,0.0,2.075000000000003,594.3975279441966
27,0.01375,0.01375,14.537727,121.069191,6.5,7429.9627287851,4393.901394197965,884.0,357.4,38.0,6.949999999999989,0.0,0.0,2.114285714285716,556.3090093016519
28,0.01425,0.01425,14.53907825,121.07190525,6.275,7720.301261210789,4549.824695455702,912.25,363.0,23.0,7.399999999999977,0.0,0.0,2.3249999999999886,464.190021101958
29,0.01475,0.01475,14.540085,121.0745845,5.9,8000.763558495335,4653.625302853708,945.0,371.35,23.0,7.399999999999977,0.0,0.0,2.325000000000003,341.88355041223093
30,0.01525,0.01525,14.541248,121.0771675,5.9,8282.351836166028,4782.972979935499,967.75,376.0,19.0,6.5,0.0,0.0,2.4666666666666672,262.6114316516395
