bin_id,var_x,var_y,cov_xy
0,8851.7129703736,4418.654885590748,1762.7040527826396
1,260501.46683547052,138809.30109606104,-26380.17976352803
2,720042.1491390365,381031.46837409405,-45049.91894729933
3,1388615.6418177905,747851.061742078,-58084.12355257425
4,2358440.7867073873,1317098.3417230553,-190284.54442694967
5,3580615.9761940087,2083827.822785414,-341110.4560371074
6,4882172.389579775,2888751.476404664,-314690.20664566074
7,6692453.592453721,3927789.9094746043,-374263.7688727403
8,8332860.108405187,5006800.413146236,-533822.9832561631
9,10086346.875896377,6243385.3140766155,-682700.1715573241
10,13038014.011059953,7632273.976167279,-808729.2080517423
11,15022382.657536777,9213707.201623052,-721186.0775280034
12,17335148.16786947,10639209.262909243,-1273309.57353778
13,19733120.26088548,12581833.211667186,-620724.1898687388
14,25700749.674009964,14731756.452094022,-1570019.5655372862
15,25197603.287865978,15801731.829993369,-789506.2144870983
16,31437737.623273313,19122242.616955858,-2169529.9034898495
17,34407067.35269298,20364834.56113615,-1707130.7666982235
18,38704715.39019863,22295904.381012585,-2498975.4840742787
19,43641307.048274636,24126579.017007682,-2703290.9952295246
20,48671186.16789052,25140327.116235614,-3334955.467356914
21,55165356.828246914,27565465.05595053,-4668397.586469434
22,60779834.75439958,28371315.483066767,-4758240.955448635
23,68478440.00484207,31390976.746367317,-6418087.498810905
24,73860278.35515206,30490449.644745894,-6940098.522412188
25,83012775.13371629,33134968.221588638,-7126070.897053368
26,89886919.56655066,35735929.518363915,-9177322.798199927
27,95385518.9206473,37605400.14416744,-10494445.562499376
28,106671195.59187078,37911947.94246701,-12346013.478386471
29,111014647.37993324,42386008.70951968,-12143263.973274337
30,119085464.2258177,45755215.99665313,-14635407.64545792
31,124717117.41458935,46500704.34868827,-15437191.403942175
32,137227690.49380517,50166706.046965815,-16656356.093301926
33,141452139.65970424,52544472.63063661,-18104779.5746003
34,151639136.00824147,57193361.580462545,-20136942.967657316
35,157283920.5006086,56496798.37738028,-20133441.808757465
36,165401061.96533543,62844623.77864308,-21060611.148888133
37,169874894.5480119,69887550.34192471,-24358945.05372398
38,182071185.84127292,69051738.95369267,-23374473.459832493
39,181093014.09317997,76541835.81815673,-25905300.70875615
40,191165746.687617,76028602.56226668,-26411927.315032877
41,191243035.70374086,86214232.89470424,-30719655.748543624
42,194732742.7950722,86371432.60837367,-31310233.499877077
43,201957509.60111418,93101990.79475337,-32990013.565936297
44,203714864.92857096,103981187.54993132,-35187734.42900087
45,201982175.19967583,101348950.74145262,-37200757.640807144
46,203654821.8652969,100652078.3268901,-35084469.17228477
47,208550974.80680746,108364246.91692474,-37820430.30007944
48,204116558.49639526,120749624.13298884,-44874929.20862248
49,194768226.8579823,116774642.65563902,-46772835.46370089
50,207357224.42180625,114153801.24917842,-44300052.14983338
51,203183544.89248237,122618960.83296368,-42133853.47700761
52,198534768.24248576,138132121.70239618,-53971426.33109425
53,198638857.15588614,128045130.9926,-48237187.2729475
54,193968340.8018155,129326743.02700232,-41454777.19179573
55,192780304.18467948,135675496.18251225,-49482630.70531557
56,186078289.99215648,135059015.09482604,-44324698.02573598
57,197221997.0564991,123972966.02864146,-40453370.75059929
58,190416857.1470358,135013521.8087686,-41745169.707766786
59,185004233.91032213,137755638.05035132,-51761573.785596736
60,188839156.2198266,126732678.30324614,-35278670.44051387
61,173111609.30563217,120628867.61582978,-35115847.84071097
62,170850418.26855072,136748211.29510906,-30303779.96806178
63,158973021.0867731,135792635.30933604,-29849224.806607567
64,178682162.90788412,118258420.22595997,-19887153.193439446
65,178300060.9959814,120547894.73169392,-15924023.544955067
66,175693775.86778507,129463189.92642058,-19631916.84596628
67,167149876.93610996,114954857.46780445,-11170645.760659596
68,156682915.93579867,113795785.39879215,-9918750.606296547
69,169535041.58427012,121752356.9460163,-19520256.46068486
70,178696882.90408272,126721943.26484397,-11870193.419183405
71,156022729.1903751,131017481.42804484,-17671515.563229788
72,167032662.93567634,116230278.75019047,-6333072.492747432
73,177348295.0132391,126854395.93130764,-8498803.098466862
74,182624010.9981557,136470307.29519954,-16092059.648296384
75,158133562.42579055,121173624.1824418,-22912401.638305206
76,151375243.75061333,114504626.52890144,-2529571.029900009
77,170916382.66494295,114017715.14080027,-15584455.676856972
78,178067412.21377644,132342490.53722306,-10190432.95898169
79,164768478.9344009,130952379.43292607,-37351163.05785315
80,165043976.58798835,111728252.36696362,-2632921.161377831
81,159626796.5779824,120648975.99535708,-17375219.296129774
82,165668448.1859598,137770308.74179256,-14594444.641610114
83,139211362.61624914,120197937.85576326,-18440364.222772945
84,164275568.04376498,116646336.65579876,6632624.356015997
85,168306659.535722,129131007.07044403,-5714231.831160204
86,174038797.28928953,137532826.5801851,968200.7888331389
87,144805390.73733523,119074321.51439989,-13534028.898445234
88,146377091.78936383,117605489.87276845,12413177.589309542
89,197257765.53974974,121015243.47097972,6778514.014759271
90,180680992.13229454,148586755.9311577,11163422.371784445
91,182758268.3664297,123594333.31832205,13045116.467596501
92,170570484.09433728,124333272.49864477,-7743645.225144446
93,205791116.55703562,118003935.08597529,4379744.086890417
94,211521554.89143154,121096310.34847128,22296727.108891353
95,221933594.63431635,141992431.0560663,13899715.429551532
96,156376679.13098943,127848073.70765738,-5659148.854933502
97,166112117.22027782,124716245.38917878,-7637078.639456193
98,186128537.97567612,126106463.45111933,9883154.359332273
99,175824523.42406547,135623067.84705296,400934.5823750637
100,183207452.95389932,148250598.12098685,23459171.247421924
101,166864070.1822664,139099624.84568515,-20231740.136093818
102,180424680.23408487,120423643.16662052,-2295868.693418764
103,170050075.13708338,140525438.1236202,-12699496.674231613
104,140766024.41861597,141700387.06243157,-2088197.8376807368
105,149406758.7804328,153048303.43889052,-1890253.4927067219
106,176439538.70056924,124103070.33247861,-5425361.0341537045
107,201304782.37800086,132349162.48982462,3258342.4450566433
108,188481993.20917922,128930782.40776244,-1965143.4381164405
109,193566407.33107638,131008128.94527458,7678595.3070104765
110,215012842.41929483,115881713.91929708,12625373.27339992
111,195888058.61049533,151194475.40199474,11935209.197842924
112,222464531.54500633,144549573.12579054,-7286048.617897386
113,197300037.5412443,146479035.78606093,25332624.28639232
114,230665548.8053143,134146083.05566743,19706125.07214817
115,209982207.26624876,161309805.52402666,20968576.46028009
116,185980986.81497583,130164798.28620718,18589882.871139474
117,215031949.93932447,156918027.1102087,28297145.972280785
118,218901602.3232241,130271283.99422413,5862059.63565432
119,194155066.9476864,137405831.54145065,6869118.123078225
120,187605676.473816,118375636.09338431,-5823466.0798856625
121,199718723.8445587,96086778.69926731,21620585.668977935
122,213716088.6986798,108195557.89863059,4809419.459108943
123,187028175.51631117,122007970.90232813,-14987834.673920488
124,207176669.69245598,112224436.79813303,-12354344.635926593
125,126027982.42293766,111743406.90179296,7108777.707603917
126,134638834.30080584,116181069.8973565,-9254517.36010019
127,100288149.28661197,106804106.63552338,-34649699.01884234
128,146843929.79510725,117159556.06304802,-27864423.976662353
129,116629536.47376023,103198837.10657507,-12614957.273820559
130,147620469.01348057,117389117.31091188,-42149599.44889697
131,113179881.63037115,121182240.55344434,-18573871.658115733
132,118351676.92484765,110901824.0077394,-46137397.55196847
133,115287900.79897617,77389745.0498361,-23484219.553501062
134,194945161.60714787,115472637.00699748,-30978141.154602937
135,118741362.9900491,129367779.1459135,-33385381.509942926
136,109422284.57262494,114536974.87772451,-41489997.386762016
137,118181464.28245609,73985852.92995067,-13264234.074122852
138,139978402.85405847,123774101.40757002,-40431515.17116991
139,109535498.1554324,83083361.78877145,-34410459.73773734
140,121951150.12163392,72228506.46692063,-31216851.522177666
141,124619828.59794922,83042024.59733663,-22852112.758766532
142,98149146.1336618,109404017.9530331,-44065343.92675284
143,93002589.92464273,88266431.0790525,-19593074.461268384
144,183548829.8855076,81512753.8269013,-27213183.759462886
145,118908088.07180902,72941515.5784282,-29052499.182572853
146,109996212.10019267,111757321.19149688,-29280360.277624518
147,102021312.92883371,100895284.24694161,-30569191.54890816
148,113782571.45319986,70961121.7058637,-32771854.408392474
149,141214405.78256914,107605807.8613078,-21045275.148586996
150,99120850.39322986,113103086.20782943,-44772710.10317786
151,92476874.7656866,101611448.05429353,-35015344.26977338
152,93605968.83842547,86198641.33643149,-16241412.413163505
153,117903013.57359621,88364534.43534487,-8208809.366959658
154,176724705.5638666,108570316.61429042,-36774075.23175278
155,99222470.99062696,97994185.81493145,-33350346.681797072
156,143479828.4590063,94598755.56864385,-52488064.64989148
157,125743385.94064885,75583524.89494914,-34016978.45491485
158,110531870.93170978,91390833.80897778,-37697311.74217136
159,133469617.17942762,106145012.86279543,-42762960.835210636
160,154469737.96223336,76117920.94590731,-29935582.504220616
161,122632985.05394079,131440536.08910497,-41002688.98736289
162,115334528.81283924,97792737.78827456,-37223219.51857426
163,127659642.69642359,86622849.68902907,-35496174.90287932
164,152580422.55589938,83612490.20803125,-20489935.06347403
165,132781053.79207803,87215936.99062419,-21739751.799027212
166,200048379.74182022,100127596.00459598,-45001408.77183989
167,146811474.53728986,85483134.3634404,-51313775.25017888
168,149582912.11980352,110945935.35547559,-28981694.788174465
169,145293158.87934133,103085274.77960347,-54202127.780314334
170,140740150.70166546,58335868.622223936,-21498954.95825835
171,124702908.92084791,85680831.6609331,-46348993.35380772
172,147130834.73087624,105955411.28547087,-49422984.01948652
173,144404520.1983831,101726588.49700291,-41249962.48811074
174,129843485.39461783,92972827.14460625,-46522628.51172175
175,137351502.47682458,79789812.8778482,-22724135.185948826
176,100225989.55867083,70269563.59244497,-22145336.591742642
177,121047627.46077326,82942299.34015237,-51841840.80925488
178,167459534.5351035,89510764.1939553,-41575344.61646185
179,131885055.19232924,82396409.44927199,-44320292.9817528
180,117983831.62231359,119643281.13432355,-47148535.520177856
181,130247972.05243346,103942652.35506548,-44659977.169006765
182,112493922.95379406,86916549.91813846,-47652069.89064085
183,82244911.30475976,74902977.53284101,-24284776.294196192
184,99695273.6837275,87567572.80665423,-43148127.97469564
185,118063652.27713996,79655742.77258936,-43791921.62390734
186,108043488.7029519,84215261.73476173,-45542445.85510692
187,105665328.94255967,79272619.0594202,-28086816.73085887
188,90182341.12500317,70976583.30636631,-40360663.50469404
189,139584116.5080715,49794183.37530406,-35945870.91505408
190,91340599.5412013,64492107.946553335,-38354661.93642972
191,121741309.40175566,60189295.81679557,-53606038.15149359
192,112918883.20704208,63671929.10058968,-42020522.30694931
193,109469198.45773502,91454447.87847902,-71406481.35509028
194,114708246.68272503,78636091.81910992,-63682240.13650037
195,95544037.05505228,50631798.14054669,-40391630.717461735
196,97572485.09862407,86026791.63927135,-52285556.82400466
197,106708920.70687124,64495272.80613912,-58059651.953427024
198,123010710.14635572,92810189.3791724,-60147424.89930679
199,101193046.34609447,51892474.155869216,-36988596.98554879
200,94562418.70252696,67926162.91354111,-50419359.86927564
201,151729904.9843869,56713789.105287455,-43291799.37054774
