bin_id,var_x,var_y,cov_xy
0,2664.8473576222514,1987.1906400631449,-384.4805520402499
1,80023.72541006922,49948.92775268062,-24765.445026003687
2,204063.5489996978,115105.18958797082,-40576.83508743796
3,420496.13848990714,262002.3628641064,-96942.92323231736
4,690309.0686339431,341365.3630623261,-109478.85418813989
5,1040013.0667267872,599360.1002549914,-199318.4444254006
6,1450107.5803993214,881150.2608306465,-315392.5964642015
7,1921490.2814364347,1142514.7459683553,-411528.4399860417
8,2508343.71820504,1593885.8684957337,-674699.2032114493
9,3049758.7979032765,2030557.91392423,-825631.581087279
10,3896244.7268873053,2736618.134577852,-1340262.6026442146
11,4443778.909389806,3283041.9960281877,-1459136.0161210783
12,5169251.224893133,3930580.3635914424,-1625863.6055320755
13,5814592.105222607,4772810.735848489,-1787477.070901053
14,6911917.595516495,5316497.392634258,-2203881.644986571
15,7655236.559536428,6338656.194186695,-2459198.084600942
16,8945761.313045628,6820437.989841335,-2396642.302783815
17,10115970.062549816,7728667.018898467,-3088477.6100809234
18,11393692.419172153,8771151.642101834,-3223692.874230454
19,13174201.25269401,9137760.016500818,-3188778.1893810877
20,14417687.857989566,10559849.263189673,-4375133.8089542715
21,16808422.041158855,10891074.166199274,-3821560.6982755754
22,17614006.675350767,12100747.26300651,-4457802.463681475
23,19184691.890829246,13797350.144644963,-5944699.553416373
24,21408575.563635826,14317212.160689177,-4934335.505336151
25,22348573.945341907,16880357.633207373,-7452484.378440083
26,25409062.76388018,16839909.379472632,-6855947.335365331
27,26977185.004104577,18775288.9736123,-7429458.708111567
28,27653775.94550465,21079728.875851285,-8244256.97629297
29,29127828.430999864,21457524.78150232,-7211267.125864368
30,33415273.315533575,22679837.075351562,-9025510.512544492
31,32370497.749078315,25959694.768266257,-8918801.856135469
32,36824793.762776285,25608240.47046618,-9514057.023749255
33,38876785.45783152,26557941.27740499,-10576641.290562524
34,39365148.635803945,29229365.771562375,-10358324.63146893
35,43682430.72755595,28892047.42999175,-10252870.47382512
36,45706299.49611437,31238144.987721164,-12068231.112937354
37,48517115.99956989,31657044.572499678,-11246682.24582003
38,51475584.740295514,32120300.127894487,-13099792.271094881
39,54590885.89940769,34964788.28600961,-13327825.745641038
40,60241631.05045146,34950653.48252256,-13848171.571829272
41,61148994.54300432,35111769.34303491,-14804378.014025766
42,64164496.70597254,38176912.11197697,-14570743.399073726
43,70542861.49523261,37466778.16027172,-14736030.221975135
44,74064267.00235754,40524788.845329344,-17981720.820738763
45,76842030.6784852,41533522.213797964,-17572493.911803033
46,80474943.29692458,43020349.67105149,-19164683.011265576
47,86264518.12136474,42510091.033349596,-19374677.436771564
48,91084703.46031533,44236959.33817401,-21545118.903959792
49,93320693.69424064,46252618.01011029,-21993745.529823646
50,100180114.73909351,45768082.66060869,-23243379.096602514
51,103802652.89406767,50245430.16470451,-26280045.595094535
