bin_id,route_progress_center,route_progress_bin_center,latitude,longitude,verticalSpeed_ms,x_wrt0,y_wrt0,altitude_meters,speed_kmh,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep
0,0.00025,0.00025,14.510355500000001,121.0041675,0.0,34.04367206141258,20.015114441955458,0.0,21.299999999999997,0.0,8.3,0.0,0.0,0.25704365079365077,30.799828013141564
1,0.00075,0.00075,14.512041,121.00576,0.0,279.2241753418959,175.63262922890183,0.0,137.0,0.0,38.849999999999994,0.0,0.0,9.200000000000005,145.60361495023741
2,0.00125,0.00125,14.503189,121.006744,0.0,480.45829775564806,310.45666401200964,0.0,178.75,0.0,26.89999999999999,0.0,0.0,8.337499999999999,163.11332936035194
3,0.00175,0.00175,14.509542,121.009243,0.3,699.7673059013308,440.0823287942463,30.0,218.5,0.0,23.150000000000006,0.0,0.0,8.02222222222222,166.21916219945672
4,0.00225,0.00225,14.50360125,121.010002,0.5,968.5544648315163,577.3248565725357,30.0,242.64999999999998,0.0,18.5,0.0,0.0,7.399999999999992,170.17090644530808
5,0.00275,0.00275,14.505538,121.011875,0.7,1165.4485547478855,705.9775644025069,30.0,267.6,0.0,18.5,0.0,0.0,6.475000000000001,201.11801484552308
6,0.00325,0.00325,14.506887,121.01391799999999,2.0,1239.040499555677,829.0149206811159,46.0,282.45000000000005,0.0,16.69999999999999,0.0,0.0,5.3125,226.1190023300005
7,0.00375,0.00375,14.507354,121.01592074999999,8.65,1578.1270010936446,964.1169431648457,61.0,294.5,23.0,9.300000000000011,0.0,0.0,3.2888888888888914,247.97932194110479
8,0.00425,0.00425,14.509262,121.017822,12.7,1575.2248995365417,1093.492419016717,99.0,297.25,31.0,1.8000000000000114,0.0,0.0,0.45000000000000284,313.4958614281007
9,0.00475,0.00475,14.50914,121.019798,13.7,1769.051606783824,1226.0369546550426,144.5,294.5,34.5,-1.7999999999999543,0.0,0.0,-0.4111111111111099,223.04349203975846
10,0.00525,0.00525,14.510284,121.021393,14.6,1897.886047262169,1356.2463936084262,206.0,292.6,61.0,-1.8499999999999943,0.0,0.0,-0.4750000000000014,450.29778583215494
