bin_id,var_x,var_y,cov_xy
0,1238.110742404813,951.1219902404949,-293.93871757351894
1,35557.731606717214,17603.693876167872,-13735.574781936413
2,116925.84827415143,46639.42252928954,-40847.60768797091
3,218790.10306316742,94010.17158956836,-66913.07462821732
4,386102.9595725201,130759.07765086848,-96737.90868957843
5,560419.1457287242,228412.00037014767,-156157.25981983528
6,752536.9126178841,309379.28598099935,-196886.82722376016
7,1077342.4864953677,344174.82278098934,-268133.52408668865
8,1339123.1258630827,636809.038806829,-437414.57018457504
9,1655411.1740995205,795242.3712419991,-523219.8446727892
10,2113018.091684265,866986.9935021962,-622869.5817424654
11,2527309.226498641,1108442.8770877018,-830744.4466420595
12,2936893.087034582,1457289.053933372,-1027824.0255809083
13,3448344.1826724894,1707203.341396608,-1278780.5503328952
14,3962911.8957064603,1836174.9490798144,-1383470.1830511522
15,4446963.998187295,2401218.022839529,-1798235.8571940835
16,5115860.569204536,2696673.9711574526,-1950457.287225793
17,5709685.934970524,2970477.1452995874,-2153096.7776142266
18,6315444.04417738,3410517.102370416,-2436835.33447979
19,6986959.374822037,3870811.2232906474,-2713595.598389161
20,7720385.225971917,4305060.12505586,-2962937.571610955
21,8575887.82812927,4660569.786534638,-3339320.752718406
22,9014399.398128988,5009669.114947627,-3261076.921680823
23,9971152.932846881,5551613.469413469,-3785553.9713700702
24,10973105.536623422,6087986.584843828,-4102257.2151484354
25,11788661.67452747,6444760.358812981,-4363712.5123448195
26,12813504.29700616,6446584.044859509,-4559078.927768342
27,14153749.49337993,6825771.858550343,-4861532.688657898
28,14853798.775134161,7402171.0996129615,-5494990.373296151
29,16021237.135841845,7807385.50408481,-5607854.936555785
30,17338649.322172057,7595669.781637984,-5736115.173524854
31,18301688.060596533,8992521.749882335,-6515608.436390797
32,19903969.600900687,7723862.2893024525,-6711596.957637286
33,20877515.0627729,10994381.774479656,-7144861.385175706
34,21986171.70252235,9760875.944711065,-7812970.334559532
35,23318954.93315149,10634554.462215232,-8584884.53475273
36,25003716.34096534,12712191.623277757,-9368482.90669401
37,26273874.999847263,11807277.752698218,-9094641.349035906
38,27497428.08743645,12438142.328801528,-9470303.551862491
39,29091434.454378143,16176489.773928609,-11532720.925714126
40,30655794.27581793,15275047.24451221,-11267718.012905067
41,32867225.105405755,14013795.118182039,-10474090.87241833
42,32981249.61169992,17126689.098327704,-12196866.701957805
43,35407016.21939753,18665635.88133819,-13825552.610772083
44,38293465.10665884,16141015.986912834,-11457969.323520899
45,38736774.9519484,18276728.502224322,-12707657.334507024
46,40610629.70633147,19162147.000485614,-13095430.982974987
47,43246507.769246124,19287052.936795395,-14741868.233917205
48,45466742.372843,18585358.965419643,-14132663.045688273
49,46631232.87308314,20607313.380878355,-15424443.903266601
50,48890304.016171716,21881930.665939394,-15732016.365134902
51,51241173.52613593,21835819.14144855,-15790159.980462579
52,53372242.47555885,19766571.366688304,-15809321.106727142
53,54849664.53418785,23061609.554821886,-18086608.85341066
54,56998756.85782784,26171439.64560891,-19638591.466848355
55,59428157.2892603,24699955.955454886,-18269307.560976215
56,61633454.50516961,23803008.75170718,-18962938.14315762
57,64675030.61101279,23090882.334020764,-19094979.915924072
58,65331953.67481911,26933111.24447276,-22161230.897773527
59,69400665.75088969,23140192.177415386,-19734778.38947374
60,70942108.35755605,23845986.487072196,-19909102.738154788
61,73260064.35100289,26923615.248603776,-21825157.66937936
62,75586764.82898742,26471732.39565086,-23233761.894687593
63,78685517.0081575,27261571.384769976,-23747999.460041557
64,80007052.13130726,25076440.266999602,-23307450.530727863
65,82959910.76371288,27896549.25708697,-24269084.44805768
66,86331069.14393969,27397196.689805117,-23725494.79002813
67,87682906.07103355,27271147.852001466,-25613393.792229887
68,92004205.5663166,26884062.791524444,-25270650.52511634
69,92586380.64141913,26386931.401316788,-24906211.892319016
70,95095950.93161906,29199034.715636984,-28408652.481736884
71,100843678.57702734,27678675.1140381,-25133113.733916286
72,100128044.42322269,30229047.091489486,-28383018.224431995
73,100723726.02698146,27476820.54798001,-27637322.257987265
74,107344174.62921548,34903566.64151416,-29822497.925622642
75,105711648.80043781,27142603.840311263,-29025616.237102106
76,110812694.13795914,31594194.364226826,-29077166.184393153
77,112034952.57057646,29264902.10542231,-29500979.77747378
78,115906474.49990073,29621669.07984125,-30261114.56116234
79,117626914.69355507,33169280.03758676,-32965090.279581465
80,118164730.43001224,34803968.08199652,-32650846.373301107
81,124226973.74128184,27353053.677551944,-29291755.9789255
82,123484645.75499015,36315253.52722937,-33021350.63706425
83,125422034.50933366,36173709.49654068,-35189110.12192919
84,131083793.48819152,37908683.217155874,-36485303.035517715
85,133192886.79545794,35949249.8279906,-34639359.14953831
86,131472401.69572604,35903940.39735499,-33875066.685073696
87,138647577.32995167,38496437.48411143,-37230745.00560209
88,136355302.53224885,37544727.971554056,-34900561.8968321
89,139939225.73968488,36633391.9155526,-35091688.09580891
90,144854700.6045313,43370010.0435536,-39512830.714300945
91,147100398.57943597,35792501.79342694,-34431178.11956776
92,145588440.80999497,45330286.157980084,-41868289.455150776
93,152393031.13516212,48123579.55291074,-41009797.961811736
94,154233831.82416964,45983116.580610216,-40868735.242498934
95,155124788.24620524,40636181.85770606,-38292256.15673441
96,154137552.89187357,50624464.75604762,-42883037.13477813
97,160662166.80719894,49836907.305766255,-44205122.28505218
98,159936129.0403352,45839721.88533213,-42425961.46819093
99,168200682.82858315,51156145.19537952,-46501412.07264937
100,159275663.27220547,50664079.56180682,-41858822.495669685
101,167269709.10253242,56429194.798635684,-47656856.164187975
102,167181295.69012338,53593208.043985054,-42621303.23522225
103,168426027.09057105,60698898.92748819,-49708441.40260666
104,167131466.77333835,54293060.69841191,-40653120.842049174
105,171683819.91343266,61432722.645970926,-46204158.43168112
106,170570346.23926848,61720458.77655172,-49240250.498278916
107,171905452.78754675,62475200.637897536,-45350671.41028084
108,174395948.5007905,62537876.114672735,-46963951.02200006
109,172792723.14929703,68415566.1125402,-48941260.12463747
110,174846730.16207147,62874244.027026564,-41426188.915000655
111,171219976.59342885,62851887.459383726,-41809202.50029204
112,178581026.65669346,76825887.11159846,-50315575.675219685
