bin_id,route_progress_center,route_progress_bin_center,latitude,longitude,verticalSpeed_ms,x_wrt0,y_wrt0,altitude_meters,speed_kmh,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep
0,0.00025,0.00025,14.510297999999999,121.017487,0.0,0.0,14.900140751323889,0.0,15.75,0.0,0.0,0.0,0.0,0.0,28.552372630735885
1,0.00075,0.00075,14.511543,121.015617,0.0,-99.35919027293436,135.65799788479703,0.0,108.35,0.0,63.000000000000014,0.0,0.0,9.785714285714286,137.14168518066725
2,0.00125,0.00125,14.512791,121.014015,0.0,-178.2088628543521,246.9642731983596,0.0,155.6,0.0,55.5,0.0,0.0,9.2625,221.3500863769575
3,0.00175,0.00175,14.51377575,121.007721,0.0,392.5923838908467,315.93302171350285,0.0,181.5,0.0,38.900000000000006,0.0,0.0,8.728571428571428,228.1941577065646
4,0.00225,0.00225,14.5145535,121.008957,0.0,554.7379868252121,407.75235921627416,23.0,209.3,0.0,24.0,0.0,0.0,8.300000000000011,159.03759404955596
5,0.00275,0.00275,14.515909,121.010162,0.3,676.7526496897672,493.15018083572033,23.0,229.6,0.0,25.899999999999977,0.0,0.0,8.022222222222222,176.10493818394212
6,0.00325,0.00325,14.516059,121.010033,0.3,808.9404017679362,575.8793205296196,23.0,244.5,0.0,20.40000000000001,0.0,0.0,7.400000000000006,186.27216823499745
7,0.00375,0.00375,14.5147865,121.0101315,0.7,946.0796847988374,683.5717557356265,23.0,261.1,0.0,18.600000000000023,0.0,0.0,6.614285714285716,198.8824216751383
8,0.00425,0.00425,14.514476,121.011719,3.9,1009.2687813305712,762.4646651615078,38.0,272.2,0.0,20.30000000000001,0.0,0.0,5.566666666666667,430.2779307424891
9,0.00475,0.00475,14.513358,121.013115,8.1,1140.7067717701934,852.5882776908209,53.0,281.5,23.0,14.800000000000011,0.0,0.0,4.228571428571423,222.25887706400303
10,0.00525,0.00525,14.512148,121.0142055,11.4,1249.966390661813,970.1214774973262,69.0,287.1,30.0,9.200000000000017,0.0,0.0,2.325000000000003,279.4916353784446
11,0.00575,0.00575,14.511785499999998,121.01497649999999,13.0,1291.8416112479279,1110.2828761320584,107.0,288.9,31.0,1.8000000000000114,0.0,0.0,0.30833333333333235,312.61462038762534
12,0.00625,0.00625,14.5105125,121.016678,13.7,1464.4002228144789,1163.3229294032756,130.0,288.9,31.0,0.0,0.0,0.0,0.0,215.84610331015503
13,0.00675,0.00675,14.510376,121.0180585,14.0,1573.5563328470926,1267.8463048228282,160.0,288.9,38.0,-1.8000000000000114,0.0,0.0,-0.4624999999999986,205.05880973484082
14,0.00725,0.00725,14.510914499999998,121.01911150000001,14.3,1689.8169250208573,1367.5326942521947,194.5,285.2,38.0,-1.8499999999999943,0.0,0.0,-0.5285714285714269,205.4713277059045
15,0.00775,0.00775,14.511292,121.020279,14.3,1797.7887139952988,1444.3128971532424,229.0,285.2,38.0,-1.8000000000000114,0.0,0.0,-0.4624999999999986,207.83967872483032
16,0.00825,0.00825,14.512334,121.021339,14.6,1898.7535815395297,1563.402828083514,259.0,283.4,38.0,-1.8000000000000114,0.0,0.0,-0.4111111111111099,196.90679839735543
17,0.00875,0.00875,14.513077,121.022644,14.3,2031.9323281338552,1655.8615372975923,297.0,281.5,38.0,-1.8000000000000114,0.0,0.0,-0.44999999999999574,202.47040180285933
18,0.00925,0.00925,14.513778,121.023781,14.0,2143.56380627026,1718.853550249981,335.0,281.5,38.0,-1.8000000000000114,0.0,0.0,-0.2714285714285682,207.3872246450165
