bin_id,var_x,var_y,cov_xy
0,4161.70411912462,2655.638011998799,316.36864603970537
1,105036.74052910681,46042.76754899079,-9583.89866167514
2,267356.7671921609,109278.29667927815,2477.212044569344
3,557537.9605062511,190509.11879104047,3400.6827124286215
4,881627.7448438049,385251.31773836294,6174.3211794795
5,1405815.8041745075,477194.1375311257,44071.098847080655
6,1957995.709593858,815155.7639452615,-33549.91442798872
7,2669973.52440002,1080961.877250993,-54927.52356529759
8,3442419.5387258534,1576553.4231389405,-223906.42404759975
9,4279046.149027986,2003002.2533046426,-169449.1096236393
10,5162068.430580695,2395342.632025833,-328480.6709341151
11,5983399.0010761125,3083323.7547107306,-258833.3888123308
12,7327821.778490923,3431231.205871596,-230039.20270486712
13,8643109.473641414,4117839.698480265,-253116.3337583788
14,9541076.338235013,4596650.002465185,-106032.30530813277
15,11275685.234894328,5378730.8449137835,-479226.7345223081
16,12396196.435394282,5665977.691579833,-402916.1839141078
17,15031833.419727495,6304702.362687551,391239.2956998882
18,16221728.687777065,7382113.489702651,-234579.8471968655
19,19077103.978432607,7335481.538017175,-523452.17944685655
20,20318529.69399685,9068894.536341602,-83504.44520628454
21,22943430.12533095,9900417.540292071,-946959.7446412627
22,24831798.24906774,11892261.56823128,235441.38298788306
23,28057008.006034944,11163843.99902489,-1953490.847175588
24,28314225.93678335,13629216.3839593,66910.06858647858
25,30854661.400262807,15330552.019110745,-1435323.1725029894
26,33963391.334709466,15001235.39459108,-1639458.7413942304
27,35002703.98763997,17791740.098328453,-692332.3071631828
28,38213991.926816896,16706461.402807172,-1692731.8417918615
29,42301575.983758524,19036200.00258723,-829749.1621705152
30,42476165.08149604,20403252.629648224,-2600082.465817088
31,47363812.461391374,21523335.50653245,-2624811.3481818317
32,51237492.069337755,22874309.929192644,-1936454.1199116318
33,53185707.99052394,22313567.20900579,-3187707.2495537526
34,55549426.58568412,23035036.32209757,-3046446.5026320526
35,63215374.99423497,23556057.319781657,-1993371.1733833575
36,64954160.6845833,26035830.19312491,-4403578.286469792
37,67578022.44410959,24140649.262602624,-2213307.3833080716
38,75216363.00849567,26877763.37035895,-4532555.380280539
39,77110250.92602406,29091152.23236745,-4797898.031673062
40,83945165.29554674,26679195.454584688,-4708579.043342183
41,90502621.3878244,29800580.566210523,-5906544.225280703
42,91989590.70480068,29839219.946146496,-4306360.251676135
43,96391421.61779815,31393405.2445658,-6776513.528867804
44,105221098.84717919,31533484.273898203,-3485583.1479272204
45,108139630.00641444,33729651.06800738,-6457558.165144988
46,115613717.5265401,33409158.815603826,-7362104.214837114
47,120121542.10265347,34612235.18726127,-7350602.28095519
48,125356508.31881745,36907061.79931507,-7987991.862467972
49,132015981.95462722,33986845.40645378,-10106976.986109406
50,135986155.10548684,36317336.25982853,-9590459.265253467
51,138290821.41102698,38393205.17164165,-12742268.883649021
52,146124915.83217514,38705452.972141236,-12365750.596260061
53,150736516.5585625,39579114.46192933,-10275663.514556779
54,156809689.33881897,41917019.35349729,-12701954.030251626
55,159135219.81177235,38513849.65214556,-12500079.697399873
56,168335457.29055792,40874973.08926404,-12204327.661086876
57,166868342.1056115,43489824.14936374,-13150833.407899544
58,171324402.65011373,43881462.89919154,-14577626.644488389
59,176261408.849999,44403878.81799748,-14855338.752377918
60,183503799.64620942,44721763.80508404,-15656060.563169807
61,185121006.08862928,45852877.88924616,-13858515.909115562
62,194325481.84626028,46786519.21881881,-14776067.223742045
63,199576670.37889862,47601186.15437463,-16055066.327678058
64,200274624.64178836,51625141.91934184,-14304272.76590764
65,208737216.96617654,46962081.078195,-18588749.054558646
66,209696782.42438057,48114476.39358764,-15710231.403846776
67,212629608.8999899,54813254.47679285,-17354892.2635033
68,214566562.60511574,52888253.96557817,-16774344.41729516
69,220296041.7132153,56313118.567917116,-20565639.44735769
70,227822211.44725713,54408604.0327748,-16534325.11609803
71,226994827.50453863,53453854.71590786,-18077142.216935586
72,242175843.2081024,54451052.17009754,-18156448.691835176
73,227693631.7007752,61368951.52441658,-20294639.58710001
74,238808439.5677465,64795630.788787104,-20337528.519497134
75,240588873.60933793,65356823.23171171,-22993464.49400419
76,251887137.42862514,63898632.12597144,-20554072.991017357
77,242869364.71413282,63258220.04797445,-21854252.871707994
78,254316800.51629123,65363915.34707729,-23765079.72610098
79,252009486.85660443,69615954.73238169,-24196639.314061243
80,247936558.2688772,71701596.51006876,-23730097.001253497
81,250059929.04552555,68369471.31574741,-25470424.344451126
82,273594939.3528057,70963279.77685916,-27050069.79580455
83,249656114.6860323,73702172.12577187,-25963831.29506974
84,257213422.02509093,70289535.82246575,-29198849.51786759
85,255540500.20512447,83573570.41244103,-23093130.935795754
86,245191847.32676405,82589253.6500738,-27070795.213674128
87,271464508.6718531,73947506.22117178,-26558472.86994922
88,273231919.39735687,77120994.44601797,-34091257.55448775
89,277799478.46741736,75537997.13757335,-39807545.21490818
90,281387439.3663676,81791612.24300739,-28437026.474029396
91,282064439.31651676,82870911.0206633,-30828476.344318315
92,270070401.2405228,84924519.9944537,-28690736.46836755
93,287651731.73613894,92691447.20782733,-33321552.249663465
94,306710356.9187391,82560086.56229104,-38684278.255668834
95,306633122.9339149,85056935.81933054,-40504585.98189172
96,313162899.3581923,93714086.59153192,-27379664.463195838
97,326790660.5220433,86715220.05661003,-40258603.3881034
98,300773678.0470846,87684092.61994308,-39203702.23099802
99,307610674.85635215,93866659.7332778,-37893056.41860057
100,345360102.9890513,87769643.31548499,-47804576.09217622
101,321205149.7363421,87700029.67324808,-41544788.72449191
102,344845901.6806601,91348891.65342012,-32131769.511534512
103,344188943.1899374,91486864.4002618,-46678623.777244635
104,323497022.2076087,89759329.65403874,-35498296.74053837
105,337653696.55832326,89008781.52560304,-42030475.52102358
106,346669257.8761722,93902875.79134405,-36830697.28215977
107,322560758.0947266,93149760.38754484,-34313701.72739217
108,350244267.1884561,89269161.59583028,-32131007.41455145
109,327356952.7621442,88408521.3233319,-40244783.81760182
110,302717111.88349557,83325864.35482115,-34987824.61878751
111,328576714.1952738,93240976.93040772,-33885474.61196069
112,315101080.3011216,89716684.760962,-31019294.06641456
113,316007853.62543714,89190325.15498297,-31306123.55614187
114,357851702.4049252,88858387.22596118,-26067964.198347494
115,343347225.37008834,91280156.53132309,-36442741.592844434
116,330747855.7595714,86719076.41682395,-24479720.31617003
117,349009857.519271,81288052.50368017,-36898374.80050962
118,313878882.0994461,88407287.9275845,-23691333.295228798
119,307934319.03039414,92965655.60249123,-10221004.065657735
120,331560299.67706513,80846382.4458723,-30869209.484987073
121,295145606.77588576,90876725.34406836,-15102290.552881163
122,334223063.99927795,87357430.84367499,-28394439.120498836
123,312288656.1112646,90488457.10613643,-27589939.673028134
124,319474726.34241277,81993432.0632238,-40833649.365979515
125,312788883.3276951,100771686.70228852,-31897558.304573197
126,351768584.3068764,90485882.5206726,-27676194.103180274
127,292976345.4137259,101000763.50769348,-26177041.42845003
128,331409517.9658194,86121336.69888462,-35302169.83252823
129,327762899.843729,100483604.68041056,-35782977.38096224
130,291946118.1821507,87845426.38518196,-22174760.550043616
131,329708884.51525706,94109570.10947575,-28301549.449321087
132,306648312.58669466,83372377.5199277,-12354148.0159364
133,269930230.8496334,82132236.59578803,-17507950.450124163
134,294624806.4909489,83817689.897132,-19598859.301471785
135,314281716.67489874,83015034.89038062,-37477564.60444041
136,314149834.3661583,97315871.61219767,-27547565.718200393
137,333504046.2112667,83245694.3634406,-28599365.463461198
138,295252634.26641077,97072031.54068613,-30938752.18438545
139,320561558.85172457,92406859.48519276,-27402817.61135632
140,314385037.7018294,76652916.01345572,-14654580.938532062
141,322777160.4051468,97356545.14596245,-15951283.628060557
142,325172824.62434334,91423136.27778858,-35510974.22491262
143,349432062.8674764,93546906.88597748,-41463757.608918935
144,349497822.48487025,88184317.32819617,-25617591.86847824
145,329440019.4070014,76844518.72974855,-5962482.225397273
146,327646996.10015446,81221338.21675003,-39144084.9921427
147,317248301.6662515,80951505.39931068,-40498433.127261735
148,321658682.256798,93749771.07598051,-18047956.921188883
149,347544099.5634517,88629652.40999356,-42821027.54949896
150,353770987.2210655,90072848.20303464,-47739972.82753795
151,312915183.54060477,93611437.46930048,-28286537.975170504
152,347662616.23926234,98851197.13957544,-46137314.126856394
153,330167202.122245,91687443.59411249,-61811182.8655468
154,335281764.0878567,104191144.32573327,-36328443.4650459
155,320188585.32846785,77398656.18875875,-27727768.384019505
156,320400705.247222,92196812.20267312,-18954877.83196441
157,372588773.9567924,84325370.06748192,-20168016.678117808
158,278380708.4284829,122960024.42756684,-18687274.18211823
159,292339109.90424997,89921799.06851876,-27328538.10944928
160,327124684.1303328,84725011.57007882,-18911263.574928667
161,329166165.8586797,86940474.55203886,-27551025.530855354
162,369599731.81970906,100893748.67138898,-35341093.43206851
163,323133168.2766276,84985122.79895492,-22205350.791636337
164,303002576.21866447,88099924.37225915,-15576782.723717546
165,347034756.596848,108556497.72803748,-26109762.7494319
166,344569400.7068625,94911905.11309175,-46083270.96089805
167,351070079.0266491,95981597.40685278,-52355538.5393964
168,374570766.3518629,104137616.8528559,-60468591.379225045
169,340450110.4770469,114129748.11401981,-53575564.77443314
170,382656832.9998853,101187682.41009013,-57099777.78950122
171,379290206.43096507,103187879.6482198,-29124753.26315596
172,393234996.6470156,94635307.46400481,-9702265.000749798
173,377666539.4509538,98786128.15563412,-25987505.449604977
174,292430025.83740413,101350601.06418587,-15184188.348704329
175,329724813.1398985,94252735.40150261,-45275409.768155895
176,351332715.0367057,94241837.72243515,-11263543.369451964
177,392112831.24217594,86360803.47790839,-36531334.99546317
178,364982861.895525,93895977.59032571,-38152718.55783256
179,372701989.56696224,101504153.03546932,-30241147.40172753
180,369964450.8604467,77402506.41001567,-30575399.8671443
181,387894616.1144379,90947555.56106694,-31400383.747896567
182,384324257.8720693,99893638.52736238,-46531393.44701486
183,380311446.2726,88361930.30509025,-45469873.37647578
184,383586903.7071099,78606534.3959207,-53196241.408453554
185,379284506.1133937,86367083.84386747,-57987882.19433486
186,357692590.1861047,80678101.75617583,-50689145.54182555
187,318777267.0431587,96656482.02213463,-39317833.632730074
188,368468530.1885787,78365145.62979205,-26839517.40331678
189,398551725.8582422,69850010.87401913,-33124277.208336096
190,376072332.1533834,85674537.3659619,-15291492.171060575
191,334511164.74049705,86351068.40368348,-28372054.58088277
192,353281492.77973765,83424810.9878638,-11380030.553837365
193,291828183.90976644,63738736.75345559,6183975.70977597
194,307822705.62039006,83871159.2125335,-10124479.295288319
195,306290933.2844364,74449204.97691716,-37261035.54528746
196,364970712.5333628,72084410.51366568,-21990515.52053188
197,402897665.5173164,82065919.86902644,-44068330.6441457
198,342403854.4390479,88642927.11515696,-32904162.44207261
199,343527882.6231568,66102655.651613206,-22898157.5105339
200,374960212.9967315,80866271.99793422,-44079242.544461936
201,333310744.76737076,85228592.69012359,-40123190.6949049
202,424009607.4572006,101957282.77906264,-34777294.41595378
203,362320921.20993936,96953853.10293391,-31677873.498347186
204,371274369.06865954,77327689.36502662,-5656231.811925749
205,388842979.36861825,68970882.40338358,-9990036.718510365
206,426792580.0158002,79223957.33289729,-24662532.441059314
207,429545581.22720087,83000394.4844071,-28680358.950130895
208,328424514.611104,89912952.53630061,-6103742.250219784
209,406398026.7815443,80793863.17713091,573887.320948157
210,421547863.2123415,96980139.96048671,18765420.176936463
211,413984421.3089036,69281018.67053157,-6179158.564044967
212,376995426.77384454,74399557.18969032,-9744318.692307752
213,275512629.6205533,96227819.54072075,6303584.990735772
214,378683117.45917845,72195172.39628069,-13403877.668482447
215,366038951.309934,74448411.1691152,-26113605.902812082
216,312973213.0075624,82621608.70502461,1560134.2880964857
217,384894143.5515958,84972769.19532435,-10467971.135745274
218,405812269.14298487,83518495.14752707,-34589283.71009994
219,318098535.51263136,117909297.22591896,14797956.095400652
220,379191815.8981875,113301858.23829827,-38443306.985501304
221,345673593.93149775,84581019.234886,-36498652.55346588
222,354241371.25907445,124076150.27113146,-34250175.871203445
223,307894301.0630555,57950244.51074771,-17551074.68989577
224,354626856.83787924,98402194.80433474,11234316.494369103
225,394249011.95152795,82057300.68648386,-16436672.525017228
226,355721941.7376938,92368734.01189795,7919370.032715755
227,381910643.2860791,91339747.92346418,-1449677.9702411746
228,244384700.99260232,79578931.25819807,12387910.652546175
229,260833544.90578583,75178568.676567,21364069.571751866
230,248266422.68191186,93502188.51693459,14826093.78487385
231,307454996.39836824,77363623.15462658,-18801773.089667585
232,234065063.7745336,85075767.96995458,13583626.361202892
233,290358061.05523586,69944038.22476757,-22736019.928025756
234,239076166.3051288,85893524.27555451,-4131780.9897778872
235,289474732.6125236,64622384.264558785,-26798447.22084818
236,269089832.72692335,78833422.40424645,18693006.14493184
237,255916189.2280938,94753645.15165202,8850368.47980419
238,219253600.81809813,100602705.92091835,-12074508.768516937
239,188400858.69343534,74375625.07331142,12992619.376472905
240,245071059.63427263,62892546.59574617,-4024357.275974202
241,246791276.35688725,80478036.9756891,520774.7761788814
242,217753837.50652808,51383200.36621058,14915292.52768618
243,295811233.29914665,70595989.01332146,15209882.219103947
244,267397171.31099045,66629852.654444605,7330196.518231521
245,199223451.7951748,63822318.404488094,-26334583.9085364
246,291524979.811325,72336823.94849566,43215852.92315175
247,163907539.74098948,54587947.551578514,12479728.860810911
248,200024575.60264367,85997619.75406574,39790582.43619371
249,145055554.22778696,58687622.903369635,28188173.006806467
250,179750531.7098229,99971254.2813513,65925866.93595127
251,180199597.19391176,101851455.98793058,43898743.09278421
252,219481034.18746918,56737352.40819414,-7432604.933099174
253,181969746.33508557,55836491.21326046,20554825.958913907
254,217917758.6037186,75128449.56145214,-12017840.198455578
255,170828932.6524771,74515262.34358247,22089168.05279965
256,146052442.78997892,57391116.66694897,-1192061.0250973203
257,163475037.3185646,86413474.88604598,39140661.05009813
258,213680854.02200645,93339571.9788587,46385375.27739204
259,144773986.23731723,101928843.32199372,16553285.73561997
260,172326623.1271811,77828754.22401232,10045684.854847651
261,185119264.45369574,98597344.3886039,21581695.991658937
262,170671342.5985615,95057968.82498984,36165454.078555085
263,198030551.13419202,89341309.8985524,5637523.553803675
264,159188799.0564622,95107563.75384095,19517377.487732723
265,189925904.26195475,85943677.56849761,23138929.825490754
266,170525716.0644885,120240939.17318697,55886784.57720219
267,130888557.96683916,83442743.26592204,29488539.92019775
268,138902907.26503304,65264074.53153101,44725656.79513085
269,137493222.32292098,101225497.23219897,45327279.65716941
270,167633596.84026286,87796284.06164053,44387638.81230317
271,139495392.3301969,104319185.2497595,29755528.261862796
272,123715104.67635919,53589404.2948808,2059881.7976787165
273,164788689.7218853,72786984.52313133,37006373.528040454
274,129227635.86522873,54572266.26647537,3465273.947107042
275,185731414.7569888,59390256.71465473,1982115.8567982074
276,134757057.63995498,58122210.836987205,9355737.404531982
277,176434844.1533301,59520549.90889932,25478218.578093894
278,167810543.24622798,94076207.45284615,44145440.91532355
279,153889204.73515016,66823218.944123976,26702418.903303828
280,129530092.09589408,61528158.1061825,18023653.634077225
281,198763448.9018299,71167450.19611372,10048093.864848983
282,178813868.48038352,105137579.86381288,44795446.508023374
283,220135432.27280638,93785082.61075892,29742065.87265094
284,130482317.83497678,56692682.59138192,4794777.310005991
285,180108179.4198308,82474891.96442106,-2604612.656676879
286,203795078.46726486,84248495.12502868,51031463.28615572
287,175221820.11070827,90766102.10602686,33847434.98972755
288,113928964.5510947,42215073.32288691,32453284.66463478
289,182698339.21966478,52435416.2886958,-2524474.3350542933
290,184184840.1546365,77465882.63218094,16216728.34569318
291,138918968.19185793,79059621.27473308,12223561.560752809
292,146965040.898396,57502434.20733214,31941657.56138523
293,149747423.0240761,57827185.06407147,1934517.2362453272
294,150953213.20718437,52011638.886315316,15619708.017901894
295,141183286.85092363,47020333.21418149,17799943.93003769
296,188850459.24800545,58956322.30525809,8409753.855979742
297,159014848.50594783,65279243.8547145,4132881.9268570887
298,146548114.5098138,75196299.62693341,27483585.333997823
299,144763142.58428273,98173420.75550751,42612357.167431615
300,109879323.21144825,52696925.80473512,8984501.026403664
301,135317252.12660813,50103776.103554845,31122484.822806586
302,207864133.36556718,114687625.03573206,29371732.837622255
303,153126038.4752482,79776084.90788114,24637900.002205983
304,136791152.401906,73526193.91611491,40010452.68313842
305,152637231.6404098,71550621.74966227,4592069.202144705
306,161452368.5173412,104141615.01239876,50462945.75075471
307,121599097.85344774,85031466.40826876,50244173.84048247
308,165289815.89146125,73944295.78714412,25284266.659566294
309,141813867.8343094,57441767.07298357,17922841.08270609
310,118491020.59676212,53203838.45690561,16094743.761794351
311,120112613.30419177,64561895.74311207,35494185.715388946
312,123224643.07423812,49427239.248943135,7434647.20769094
313,124106367.81660189,77172826.18596609,37111460.90021453
314,134588200.12272584,68804603.05046858,33591944.815298945
315,77710360.43501489,66476471.374503076,14067092.527351948
316,111900998.95836958,49411388.643000364,8524867.235978307
317,170471812.98909488,67052489.84466517,29873160.086385414
318,139319506.96710935,59676459.44511111,16721771.319945952
319,141335923.86717147,83321871.64549704,9318537.651958823
320,119439934.51619595,53908132.87614017,12599405.78922663
321,141912546.5077144,72044048.6986553,28399644.91063643
322,136941377.6621871,91012904.48642413,35049855.20224875
323,160135470.6030702,66826819.89918802,20139861.759669635
324,106425293.60702793,83451228.5955003,37758975.572976895
325,129362874.2927866,95617461.03141087,37626395.382983714
326,162384280.6656623,73561537.67427497,18230163.405532863
327,107145320.9546352,49764807.51788688,32500925.47746584
328,146912060.78638655,65784976.59859161,49581542.78041356
329,80528326.38079314,61456724.98507131,26586937.15092101
330,84350099.6393321,53560052.344666205,27640847.74269437
331,110632143.56446005,51096801.65198873,39082371.44675642
332,115149479.43299179,49041352.29373029,30363645.94076704
333,101201604.75323705,76711502.07946019,44140756.37231295
334,101538379.32043654,69141887.14591181,50244440.34668656
335,98591338.12113094,56336072.74741351,1469503.6166988485
336,142800844.31125194,54019635.78377738,29169651.97041964
337,72625102.99734616,60812141.9927191,31099002.511895142
338,107100183.72502442,76364066.88424493,39679844.78639511
