bin_id,route_progress_center,route_progress_bin_center,latitude,longitude,verticalSpeed_ms,x_wrt0,y_wrt0,altitude_meters,speed_kmh,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep
0,0.00025,0.00025,14.498646,121.001549,0.0,50.059202587557415,27.13159957692404,0.0,24.1,0.0,9.200000000000003,0.0,0.0,0.5285714285714285,30.901852969646903
1,0.00075,0.00075,14.500405,121.0046995,0.0,355.68782681081154,220.0550637822515,0.0,148.2,0.0,19.450000000000003,0.0,0.0,8.20267857142857,97.89752868540269
2,0.00125,0.00125,14.501720250000002,121.00708,0.15,654.3979070949852,385.51334316943104,8.0,198.2,0.0,18.5,0.0,0.0,7.400000000000006,140.0340953533689
3,0.00175,0.00175,14.503179249999999,121.009682,0.3,938.1958956312712,550.5824397763763,23.0,231.5,0.0,17.599999999999994,0.0,0.0,6.950000000000003,154.30431260494024
4,0.00225,0.00225,14.5046745,121.01195899999999,0.7,1214.3292802196916,703.6424677178302,23.0,261.1,0.0,17.15,0.0,0.0,6.3841269841269845,180.9945841020953
5,0.00275,0.00275,14.5061,121.01436075000001,1.3,1485.7361666584693,865.7370959285266,30.0,282.45000000000005,0.0,14.799999999999969,0.0,0.0,5.285714285714284,203.10483112344
6,0.00325,0.00325,14.5074695,121.016762,7.2,1751.8740799517352,1018.9917152602744,53.5,295.4,22.0,10.200000000000017,0.0,0.0,3.4000000000000057,287.89398007246166
7,0.00375,0.00375,14.508889,121.019226,11.7,2028.693312747624,1190.621321600679,99.0,298.2,30.5,0.0,0.0,0.0,0.0,243.78323819739697
8,0.00425,0.00425,14.510286,121.021683,13.3,2288.129619600173,1352.354565800072,148.5,294.5,61.0,-1.8999999999999773,0.0,0.0,-0.6000000000000038,480.0592160038689
9,0.00475,0.00475,14.511729,121.024139,13.65,2565.755081514143,1509.6956043305563,198.0,291.70000000000005,68.0,-1.8999999999999773,0.0,0.0,-0.528571428571435,468.3020437644172
10,0.00525,0.00525,14.513219,121.026596,13.3,2839.8396565917324,1679.045711526267,251.0,290.8,69.0,-1.8499999999999943,0.0,0.0,-0.45000000000000284,492.71095311943304
11,0.00575,0.00575,14.514721999999999,121.02918025,12.7,3125.2486655897073,1838.7218467417824,301.0,288.9,61.0,-1.799999999999983,0.0,0.0,-0.31666666666667237,436.7561051663713
12,0.00625,0.00625,14.516245,121.031666,11.7,3395.27886456135,2005.1808818513955,351.0,288.9,61.0,0.0,0.0,0.0,0.0,464.3973901777339
13,0.00675,0.00675,14.517792,121.03428075,10.1,3666.028164204661,2182.370242203533,389.0,288.9,46.0,0.0,0.0,0.0,0.0,483.583693964385
14,0.00725,0.00725,14.5192135,121.03694924999999,8.8,3952.8227435056215,2338.6271287016093,426.5,291.25,46.0,1.8000000000000114,0.0,0.0,0.28571428571428026,496.8378320863751
15,0.00775,0.00775,14.520858749999999,121.039459,7.8,4206.622209567002,2526.602411836254,453.5,292.6,45.0,2.8000000000000114,0.0,0.0,0.6166666666666696,514.0954966379585
16,0.00825,0.00825,14.522369,121.0419235,7.5,4484.251247323951,2687.807479405013,483.5,295.85,45.0,3.6999999999999886,0.0,0.0,0.9249999999999972,553.5843957438506
17,0.00875,0.00875,14.523972,121.0443535,6.675000000000001,4746.20664142165,2861.3829996493296,511.0,300.0,45.0,4.650000000000006,0.0,0.0,1.2333333333333423,573.7151958985685
18,0.00925,0.00925,14.525215,121.046654,6.5,5002.021064793094,3006.2701891936636,533.0,307.4,46.0,5.600000000000023,0.0,0.0,1.6444444444444457,610.0939602117833
